Salangdixonreef,English Translation
-t͡sapm,1_one
i-rui,2_two
i-tɬ,3_three
i-sat,4_four
i-lim,5_five
-sout,6_six
-sauru,7_seven
-sɛtl,8_eight
-savat,9_nine
-laŋal,10_ten
galɪrui,11_twenty
ŋalilim,12_fifty
amulsatn,13_onehundred
aⁿdʳam,15_year
barlin,16_right
mʷir,17_left
naj,18_i
kopⁿ,19_weallexcl
aᵑkit-ⁿdʳu,20_webothincl
aᵑkit,22_weallincl
oŋ,23_thou
kam,25_youall
ei,26_heshe
ier,27_theyall
ier-min,28_theyboth
i-tik,29_nonot
sivek,30_what
asi,31_who
baŋ,32_where
i-tavak,34_how
elaŋ,35_this
etei,36_that
-ⁿdʳaɣai,37_above
-lapan,38_below
-ᵐʙut,39_ininside
ᵐbat-n,40_head
sʉvœlɛ-n,41_hair
mata-nə,42_eye
onos-n,43_nose
ⁿdiliŋa-n,44_ear
ᵐboŋo-n,45_mouth
lɛmɛ-n,46_tongue
lit-n,47_tooth
fara-n,48_hand
balawan,50_neck
ⁿdʳu-n,51_back
bologo-n,52_leg
ɛldʳre,53_blood
bolona-n,54_bone
ipme-n,55_skin
fat-n,56_belly
ʙurtan,57_intestines
a-sis,58_breast
mornan,59_liver
kaᵐbir,60_dog
a-man,61_bird
fʷiliak,62_fish
a-mat,63_snake
oⁿdalas,64_worm
a-ut,65_louse
busiᵐbok,66_rat
tɛkɛl,67_spider
fɪⁿdogas,68_mosquito
autn,69_egg
iᵐʙus-n,70_tail
bʷia-n,71_wing
loᵐbo-n,72_feather
muːt,73_man
momokʰ,74_woman
atⁿdæ,75_child
hi-sa-n,76_name
kalu-tanai,77_mother
mom,78_father
mut-tanai,79_husband
momo-tanai,80_wife
aᵐʙun,81_day
lipat,82_night
aᵐbasi,83_moon
fʷilmɛse,84_star
a-we,86_water
leᵐʙuᵐʙun,87_lake
tusue,88_sea
aːmʙ,89_fire
tɛltɛl,90_smoke
fʷilos,91_ash
a-fat,92_stone
a-tan,93_earthsoil
bisnap,94_dust
fɪlisilas,95_sand
aus,96_rain
alaŋ,97_cloud
malas,98_wind
urur,99_thunder
alaŋap,100_lightning
ivso-n,101_meatflesh
fanan,102_fruit
it͡soroi,103_woodsforest
kerewe-n,104_root
ᵐʙut-n,105_branch
a-run,106_leaf
a-ᵑgai,107_wood
fanan,109_flower
a-mal,111_house
sal,113_roadpath
-mɛt,114_black
-map,115_white
-mial,116_red
-mɛrɛk,117_green
i-lit,118_yellow
-lɛvɛlɛp,119_big
-lɛlɛɪ,120_small
-maŋal,121_sharp
ᵐbu-ᵐʙukmai,122_bluntdull
-ᵐbor,123_shyashamed
-tarai,124_old
-sal,125_painfulsick
i-rivɪk,126_good
i-se,127_bad
i-oŋort,129_dirty
i-mum,130_rotten
i-map,131_heavy
-saman,132_far
-lile,133_near
-malas,134_cold
-masamas,135_dry
i-miⁿdai,136_wet
-ʒiva,137_new
telemai,138_other
kɛ-vɛl,139_come
-solsol,140_walk
ku-tur,141_stand
iko-sum,142_sit
hi-wam,143_fall
-diŋdiŋβai,144_liedown
kɪ-ⁿdʳi,145_turn
-sak,146_climb
-lumluz,147_swim
i-al,148_flyverb
-sokai,149_throw
-lukun,150_hide
e-kan,151_eat
-mɪne,152_drink
-laᵐbari,155_dream
-matur,156_sleep
maor-ian,157_live
i-mat,158_die
-rit-ᵐʙun,159_kill
hi-lai,160_see
hɛ-raᵐbit,161_hear
-aᵐʙun,162_sniffsmell
e-waŋ,163_laugh
-ul,164_cry
hu-pwup,165_blow
-sulai,166_burn
ki-ririt,168_pound
ke-ris,169_hit
kɪ-ter,170_cut
kɪ-tɛrwɛl,171_split
ki-il,172_dig
ku-βurus,174_hold
i-mætak,175_fear
-ⁿdoŋon,176_count
-ŋarŋar,177_breathe
i-ok,178_vomit
ki-pis,179_tieup
ku-ᴩus,180_squeeze
ɪ-ᵐʙur,181_swell
ki-tir,182_say
ki-aras,184_stab
kɛ-lɛs,185_buy
ka-mari,186_steal
ka-lap,187_plant
-tntn,188_cook
ku-lui,189_shoot
kɪ-per,190_work
-savaŋ,191_open
