Esanasolokave,English Translation
kat̚wal,1_one
kero,2_two
ketal,3_three
keβet̚,4_four
keliɛm,5_five
keõ,6_six
keᵐbitu̥,7_seven
kewol,8_eight
kesiok̚,9_nine
saŋβul,10_ten
ŋoβulɣero,11_twenty
ŋoβulɣeliɛm,12_fifty
fuⁿdolɔ,13_onehundred
terβaˀtawal,14_onethousand
suɣʷaʊ,15_year
matuo,16_right
maxʷir,17_left
nou,18_i
kæmɛ,19_weallexcl
kitoro̥,20_webothincl
kamaru̥,21_webothexcl
kiɛt,22_weallincl
niok̚,23_thou
kimiru̥,24_youboth
kimiu,25_youall
niɛ,26_heshe
niɛr,27_theyall
niɛrkero,28_theyboth
hate,29_nonot
saβæk̚,30_what
sĩã,31_who
nilo,32_where
saftaro,33_when
kasæk̚,34_how
niŋa,35_this
faniŋɛ,36_that
namæk̚,37_above
fafæk̚,38_below
lolã,39_ininside
ᵑɡʷatu̥,40_head
ɸul,41_hair
mat̚,42_eye
ᵑɡʷaŋ,43_nose
ᵑɡʷearo̥,44_ear
kukʷam,45_mouth
meam,46_tongue
liof,47_tooth
liɛm,48_hand
tieᵑɡʷɛ,49_shoulder
ⁿdiol,50_neck
ᵑɡuru̥,51_back
ᵑɡaru̥,52_leg
ⁿdaɛ,53_blood
sui,54_bone
finu̥,55_skin
ᵐbʷoᵐbo,56_belly
taᵑɡʷɛŋ,57_intestines
sus,58_breast
æt,59_liver
wiriu,60_dog
manu̥,61_bird
ɛk,62_fish
ŋʷat̚,63_snake
nʷof,64_worm
kut̚,65_louse
karif,66_rat
taɣaɣ,67_spider
nam,68_mosquito
toli̥,69_egg
kolæ̃,70_tail
ᵐbaɪŋsĩ,71_wing
fulu̥,72_feather
mʷear,73_man
fafĩ,74_woman
maresu̥,75_child
æs,76_name
risɪŋ,77_mother
tat̚,78_father
tæmenituŋ,79_husband
tuᵐbulovaleŋ,80_wife
ræŋ,81_day
ᵐbʷoŋ,82_night
fʷol,83_moon
fitiu,84_star
maslɛ,85_sky
wæ,86_water
salɛ,87_lake
tæs,88_sea
æβ,89_fire
kakasu̥,90_smoke
ᵑɡʷie,91_ash
fat̚,92_stone
tano̥,93_earthsoil
ᵑɡʷie,94_dust
one̥,95_sand
wos,96_rain
ⁿdoⁿdo,97_cloud
læŋ,98_wind
mantak̚,99_thunder
fʲɛl,100_lightning
ᵐbik̚,101_meatflesh
naŋʷatik̚,102_fruit
laᵐbʷotfʷõ,103_woodsforest
kakʷarik,104_root
ræŋæk̚,105_branch
rauk̚,106_leaf
kæ,107_wood
ⁿduf,108_grass
fiɛr,109_flower
taᵑɡʷor,110_thatchroof
ɸæl,111_house
karo̥,112_rope
sal,113_roadpath
maɛto,114_black
maβutek̚,115_white
memeæk̚,116_red
ᵑɡʷaruᵑɡʷarkæk̚,117_green
aŋokæk̚,118_yellow
lokʷo,119_big
ᵐbitᵐbit,120_small
sʷok̚,121_sharp
ᵑɡʷato,122_bluntdull
mæmæ,123_shyashamed
malæk̚,124_old
kak̚ⁿdir,125_painfulsick
karɛ,126_good
soᵑɡok̚,127_bad
karʲæk,128_correcttrue
soᵑɡar,129_dirty
maᵐboᵐbo,130_rotten
mʷaβ,131_heavy
faksaʊ,132_far
ᵑɡæᵑɡərɛ,133_near
kakⁿdiⁿdi,134_cold
ᵑɡoru̥,135_dry
mimiek̚,136_wet
ᵑɡʷarok̚,137_new
tuɛk̚,138_other
fænɛ,139_come
ⁿdiɛk,140_walk
tu:,141_stand
tak̚,142_sit
sofi̥,143_fall
ɛno,144_liedown
tuⁿdori̥,145_turn
ᵑɡalo̥,146_climb
kakaro,147_swim
rof,148_flyverb
tuliɛ,149_throw
taβunik̚,150_hide
kẽkẽʲ,151_eat
inu̥,152_drink
mamao,153_yawn
lɔⁿdo,154_spit
ᵐbʷoᵐbʷɛr,155_dream
matur,156_sleep
ŋʷasu̥,157_live
mʷæt̚,158_die
kʷesfaɣ_mat̚,159_kill
leo,160_see
roŋe,161_hear
ᵐburoŋ,162_sniffsmell
mã:,163_laugh
tæŋ,164_cry
mɔser,165_blow
kaʊ,166_burn
tur,167_sew
ⁿdʳiⁿdʳin,168_pound
kʷes,169_hit
tæɪ,170_cut
tæⁿdær,171_split
kɛl,172_dig
rukruk,173_hunt
saᵑɡoβi̥,174_hold
matmatak̚,175_fear
faluo̥,176_count
maᵐbu̥,177_breathe
luoˀ,178_vomit
wet̚,179_tieup
kʷɔr,180_squeeze
luluoŋ,181_swell
fitiɛ,182_say
tæᵑɡær,183_scratch
tisu̥,184_stab
fol,185_buy
ᵐbalu̥,186_steal
rifu̥,187_plant
tutun,188_cook
fɛ̃:,189_shoot
ᵐbɔlʊk̚,190_work
roæ,191_open
