Ctlsungwadagarongnawo,English Translation
tuɣʷale,1_one
rua,2_two
tolu,3_three
ɸati,4_four
taβalima,5_five
laβtuwale,6_six
laβrua,7_seven
laβtolu,8_eight
leiβati,9_nine
saŋaɣulu,10_ten
saɣʷul_rua,11_twenty
saŋaɣulrua,11_twenty
saːɣʷul_taβalima,12_fifty
saŋaɣʷul_taβalima,12_fifty
ŋʷelⁿdolu,13_onehundred
tari_tuwale,14_onethousand
siβʷau,15_year
siwau,15_year
matawa,16_right
xalawa,17_left
nʲau,18_i
ɡomai,19_weallexcl
xiⁿda_rua,20_webothincl
xiⁿdae_rua,20_webothincl
ɡomai_rua,21_webothexcl
xiⁿda,22_weallincl
niŋɡo,23_thou
ɡam_rua,24_youboth
ɡamu,25_youall
ia,26_heshe
ira,27_theyall
ira_rua,28_theyboth
xʷatea,29_nonot
asa,30_what
ise,31_who
ᵐbeɣe,32_where
saβa_taro,33_when
ⁿdasina,34_how
ela,35_this
elβano,36_that
xuana,37_above
ɸaβana,38_below
lolona,39_ininside
ᵑɡʷatu-ɣi,40_head
ulu-ɣi,41_hair
mataɣi,42_eye
lisu-ɣi,43_nose
ᵑɡʷoro-ɣi,44_ear
xʷaxʷa-ɣi,45_mouth
xʷaxa-ɣi,45_mouth
luame,46_tongue
liwo-ɣi,47_tooth
lima-ɣi,48_hand
tiᵑɡʷa,49_shoulder
xawa-ɣi,50_neck
taɣu,51_back
roŋoɣi,52_leg
ⁿdai,53_blood
suri,54_bone
ɸinu,55_skin
xeteɣi,56_belly
tinai-ᵑɡu,57_intestines
susu,58_breast
ɸarak,59_liver
xʷiriu,60_dog
manu,61_bird
masi,62_fish
ŋʷaɣata,63_snake
sulate,64_worm
ŋʷandi,65_louse
xariβi,66_rat
taɣaɣa,67_spider
namu,68_mosquito
toli,69_egg
xolo-ɣi,70_tail
ᵐbani-x,71_wing
ulu,72_feather
tatu,73_man
tatuata,73_man
ɸaɸine,74_woman
ŋʷera,75_child
sasa,76_name
ᵑɡʷau-ᵑɡu,77_mother
tata,78_father
tuᵐbu-ᵑɡu,79_husband
ᵑɡʷauli-ŋɡu,80_wife
rani,81_day
ᵑɡʷoŋi,82_night
hula,83_moon
ɸitiu,84_star
maβindi,85_sky
ᵐbei,86_water
ᵐbuaᵑɡa,87_lake
tasi,88_sea
aβi,89_fire
asu,90_smoke
taniawu,91_ash
ɸatu,92_stone
tano,93_earthsoil
ⁿdiɣeʋu,94_dust
one,95_sand
usa,96_rain
tae_laŋi,97_cloud
laŋi,98_wind
manfara,99_thunder
xʷaŋa,100_lightning
ɸasiɣo,101_meatflesh
ɸasigo,101_meatflesh
wi_xai,102_fruit
uta_xʷono,103_woodsforest
xoro-na,104_root
xuri_xai,104_root
rai,105_branch
raina,105_branch
ⁿdau,106_leaf
xai,107_wood
ᵐbalis-i,108_grass
matas,109_flower
mat_ⁿdʲau,110_thatchroof
ɸale,111_house
xawe,112_rope
sala,113_roadpath
maeto,114_black
oxʷoxʷo,115_white
memea,116_red
xʷesaɣa,117_green
waŋoha,118_yellow
maŋas,119_big
riŋɡi,120_small
matʰxani,121_sharp
ᵑɡʷatolu,122_bluntdull
meɪmeɪ,123_shyashamed
tamaraɣai,124_old
soa,125_painfulsick
xʷia,126_good
sati,127_bad
tatarisa,128_correcttrue
oro,129_dirty
ⁿdaru,130_rotten
ⁿdemu,131_heavy
ɸanreⁿdu,132_far
ɸirɸirtaɣi,133_near
maⁿdiŋi,134_cold
mʷaⁿdiŋi,134_cold
mamasa,135_dry
ᵑɡoru,135_dry
saŋʷale,136_wet
waraᵑɡʷa,137_new
e-tuara,138_other
xuma,139_come
xau,140_walk
tulu,141_stand
taɣʷara,142_sit
soe,143_fall
weno,144_liedown
salarisi,145_turn
ɸene-ɣi,146_climb
xaxaru,147_swim
xʷaɣa,148_flyverb
xʷosaksoni,149_throw
xʷosaɣi_soni,149_throw
untau,150_hide
xani,151_eat
unu,152_drink
ŋʷaŋʷauβa,153_yawn
ŋʷauŋʷauβa,153_yawn
xura,154_spit
ᵑɡʷoreᵑɡʷore,155_dream
maturu,156_sleep
ŋʷaso,157_live
mate,158_die
wasɸaɣa_mate,159_kill
wasiɸaɣa_mate,159_kill
wete,160_see
ete,160_see
roŋo,161_hear
reβe_lisu-ɣi,162_sniffsmell
mana,163_laugh
ŋara,164_cry
uβi,165_blow
nosi,166_burn
tuɡuru,167_sew
waswasi,168_pound
wasi,169_hit
teβe,170_cut
tai,170_cut
ⁿdara,171_split
xili,172_dig
xawe_mata,173_hunt
tori,174_hold
mata_xuti,175_fear
ɸalu,176_count
mambusi-ɣi,177_breathe
lulue,178_vomit
liβitʰ,179_tieup
ɸiris,180_squeeze
riɣa,181_swell
ɸeʋe,182_say
taŋɡari,183_scratch
susuɰi,184_stab
xʷoli,185_buy
ᵐbalu,186_steal
rihu,187_plant
raraŋai,188_cook
ɸene,189_shoot
roᵐba,190_work
rani,191_open
