Nese,English
navaɾa-k,48_hand
namʷaeɾ,17_left
nanatu,16_right
nambalako-k,52_leg
vʷiʲal,140_walk
nasal,416_road
ma,139_come
mbosox,145_turn
suwo,147_swim
loŋ,129_dirty
namaxaɸ,94_dust
nəðelon,55_skin
nombuxtam,51_back
nesinom,444_stomach
necinom,54_bone
tembe-k,57_intestines
nembembe-m,59_liver
nasus,58_breast
nembilmbe,49_shoulder
əɾoŋvusoni,315_know_understand
romromi,458_to_think
noluxo,175_fear
nare,53_blood
nombulsalxa-m,50_neck
neð̼ilom,41_hair
nokusme,43_nose
ɾoŋɾoŋ,177_breathe
cifxe,434_sniff
nocuŋom,45_mouth
noluf-me,47_tooth
nem̼em̼em,46_tongue
neŋeɾsiʲan,163_laugh
ŋaɾ,164_cry
lulu,178_vomit
lifte,154_spit
wor,151_eat
ceme,464_to_chew
notutuniʲan,188_cook
numnum,152_drink
wocɾomxo,212_to_bite
cum nuʷa,448_suck
nomboɾom,44_ear
ɾoŋo,161_hear
nanata-m,42_eye
xə sekilkila,469_to_see
nanaɸ,153_yawn
natuɾ,156_sleep
nambse,144_liedown
netinmborpor,155_dream
iʲat,429_sit_down
təɾo maɾo,141_stand
nemeɾte,306_person
neneɾnaɾ,73_man
taðat,283_female
tercimblax,75_child
nau-me,79_husband
nau-k,80_wife
ⁿdeðe,77_mother
tete,78_father
nema-k,111_house
noɾoʲat,322_leaves_for_house
naŋse,76_name
xəse-vaɾ-i,182_say
nanaɾte,112_rope
xo-toŋi,179_tieup
cuc-i,167_sew
neseɾsaɾ ,362_needle
xoɾxoɾ ,173_hunt
coɾo,189_shoot
 ɾumb-u,159_kill
tuw-u,168_pound
ð̼anax,186_steal
 ɾumb-u,463_to_beat
nas,158_die
noɾvo,157_live
xoɾxoɾ-i,183_scratch
sind-e,170_cut
koc,183_scratch
naxa,107_wood
rorovox,171_split
mon,121_sharp
smbe-mon-te,122_bluntdull
saxsax,190_work
ɾuf-u,187_plant
tem̼b̼,302_to_grow
wuwun,181_swell
fʷisfʷis,180_squeeze
fʷursu,174_hold
xil,172_dig
vʷolvʷoliʲan,185_buy
nexm̼b̼e-n nato,71_wing
tasix,148_flyverb
naxarif virŋis,66_rat
teŋe mbonmbon,336_meat
onoɾwoce,258_fat
ⁿdaɾaɸ̚,451_tall
namat,63_snake
neveleclac,64_worm
naime,111_house
namxo,68_mosquito
nela,67_spider
nanac,62_fish
momo,130_rotten
neɾeŋen naxa,105_branch
noɾoxo naxa,106_leaf
noxoɾxa,104_root
nowoxa,102_fruit
nanus,108_grass
natan,93_earthsoil
nað̼at,92_stone
nuʷa,86_water
fʷala,286_flow
natas,419_salt
nanat,415_river
lanus,103_woodsforest
nem̼b̼eknaɾan,85_sky
navle,83_moon
nowoɸoɾ,84_star
nem̼b̼eknaɾan,97_cloud
nause,96_rain
nakuɾ,99_thunder
neð̼ilax,100_lightning
nalaŋ,98_wind
sufsufu,165_blow
nanaɾxaləx,483_hot
nanalxas,134_cold
naɾaŋ,135_dry
nanas,135_dry
nim,136_wet
roɸ,131_heavy
naxam̼b̼,89_fire
sulu,166_burn
iʲesjas,90_smoke
nembet naxaɸ,91_ash
loŋ,114_black
vəsafso,115_white
m̼iʲal,116_red
xecxecan,117_green
melex,118_yellow
velvele,120_small
lam̼b̼lam̼b̼,119_big
ⁿdaɾaɸ̚,328_long
ɾak,359_narrow
moɾol,456_thick
velvele,359_narrow
lemlem ce,489_wide
ɾuɾŋo,391_pain
xonxon,123_shyashamed
merce,124_old
nakis,126_good
sat,127_bad
loko,128_correcttrue
mbuŋ,82_night
ɾan,81_day
naɾan,81_day
nosuxaf,15_year
seðelŋe,33_when
kuksuʷax,150_hide
saxsax,146_climb
laim̼e,39_ininside
maɾo,37_above
atan,38_below
iʲexe,35_this
eð̼an loxsa,36_that
fʷiseɾiʲa,133_near
eð̼an loxsa,132_far
xam̼b̼e,32_where
xina,18_i
xunox,23_thou
xai,26_heshe
kanan,22_weallincl
kanan ɾu,20_webothincl
kani ɾu,28_theyboth
xaɾ,27_theyall
nese,30_what
xise,31_who
teŋe wos,138_other
xaɾ celex,196_everyone
ɾun,199_and
seve,311_if
seveɾse,34_how
sesixa,29_nonot
seɾteŋi,176_count
saxal,1_one
ɾu,2_two
til,3_three
ðat,4_four
line,5_five
xondit,7_seven
xoʷal,8_eight
xesve,9_nine
xon,6_six
saŋaðil,10_ten
ŋovulɾu,11_twenty
ŋovulxon,12_fifty
ŋovsaŋa,13_onehundred
