RedStone,English Translation
limana,48_hand
mwɛ:li,17_left
marua,16_right
la:na,52_leg
mijali,140_walk
de:va,416_road
wɛjmi,139_come
ojlomo:j,145_turn
okululu,147_swim
namname,129_dirty
supulu:ja,94_dust
kulusia,55_skin
kasmɛnena,51_back
mapɔna,444_stomach
purijuna,54_bone
snena,57_intestines
puriere,59_liver
dajuna,58_breast
siⁿdalimana,49_shoulder
okilia,315_know_understand
sɛnstome:na,458_to_think
omarau,175_fear
ta:na,53_blood
pa:na,40_head
komelikina,50_neck
ilupana,41_hair
konuna,43_nose
opurlaŋ,177_breathe
oⁿlopon᷈a,434_sniff
kuluŋgona,45_mouth
daluena,47_tooth
pumenena,46_tongue
opitale,163_laugh
otaŋi,164_cry
olualua,178_vomit
opla:siri,154_spit
oŋginana,151_eat
okaria,464_to_chew
oraᶯkap,188_cook
omun᷈a,152_drink
okararia,212_to_bite
omunmun᷈a,448_suck
kiliŋgam,44_ear
oⁿloŋgea,161_hear
komarama,42_eye
omalia,160_see
omʷeli,153_yawn
omono,156_sleep
omoⁿlopastɑj,144_liedown
omaninisuria,155_dream
odotono,142_sit
oⁿsumalŭ,141_stand
jaru,306_person
erumɛn,73_man
sira,74_woman
nuⁿgariki,75_child
somɛr marua,79_husband
somsiramarua,80_wife
aneu,77_mother
taːta,78_father
juma,111_house
dakinita,455_thatch
ki:,76_name
ojsa,182_say
kilika,112_rope
oja:ria,179_tieup
osŭluja,167_sew
kurusia,362_needle
ɔpikori,173_hunt
opinija,189_shoot
ojuria,184_stab
oweʰa,169_hit
ojnon᷈a,186_steal
wemaria,159_kill
mare,158_die
ma:li,157_live
kuparia,183_scratch
tea,170_cut
la:ki,107_wood
tepaja,171_split
meto:to,121_sharp
maʰo,122_bluntdull
jume,190_work
mapla,187_plant
naŋgani,465_to_choose
apitoj,302_to_grow
siropⁱ,181_swell
opun᷈a,180_squeeze
opuraria,174_hold
oŋgilia,172_dig
opulia,185_buy
opekea,191_open
omʷamʷea,168_pound
okʷan᷈a,149_throw
loru,143_fall
lekuli,60_dog
manu,61_bird
kuluto,69_egg
ilusia,72_feather
kupena,71_wing
ka:,148_flyverb
kawe,66_rat
kuᵐbui,336_meat
snajita,258_fat
kina,70_tail
lomerelomara,63_snake
lomerenaton,64_worm
kurusia,65_louse
namu,68_mosquito
koromalul,67_spider
ika,62_fish
menuni,130_rotten
koroalaki,105_branch
maki,106_leaf
puliŋgasia,104_root
inaki,109_flower
daki,102_fruit
mamuni,108_grass
tono,93_earthsoil
klaru,92_stone
none,95_sand
wi:,86_water
wikiriri,286_flow
loosi,88_sea
si:,419_salt
la:pa,87_lake
lokona tahura,103_woodsforest
sikorpomene,85_sky
kupario,83_moon
erue,84_star
sikorikojuwe,97_cloud
polu:lu,340_fog
juwa,96_rain
polu:li:,99_thunder
jokarpila,100_lightning
laŋi,98_wind
mijuwi,165_blow
ɛⁿgapapisusun,483_hot
mijaⁿgarku,134_cold
mama,135_dry
meme,136_wet
urumi,131_heavy
kapi,89_fire
ʋaŋga,166_burn
miwo,90_smoke
kulameme,91_ash
mokoliko,114_black
miwowo,115_white
pilil,116_red
leleru,118_yellow
meme,117_green
takito,120_small
tahura,119_big
plasia,426_short
opijaj,328_long
meniniv,457_thin
merorol,456_thick
punuaujo,359_narrow
lolopana,489_wide
mila:,125_painfulsick
majwa,123_shyashamed
marua,124_old
naʰu,137_new
po:,126_good
pulupuli,127_bad
linaŋga,128_correcttrue
poŋgena,82_night
lipaj,81_day
kasia,15_year
poŋgiɑj,33_when
kʷamlon᷈a,150_hide
pun᷈a,146_climb
loosia,39_ininside
mava,37_above
tono,38_below
naŋgani,35_this
naŋgaru,36_that
naŋgani,133_near
artena,132_far
naŋgape,32_where
nuni,18_i
kone,23_thou
naŋga,26_heshe
mɛmi,22_weallincl
italua,19_weallexcl
amjulua,20_webothincl
amjupujujana,21_webothexcl
itaŋ,23_thou
itaŋgalua,24_youboth
naŋalane,27_theyall
naŋganalua,28_theyboth
jane,30_what
ja:j,31_who
surlalara,138_other
naŋgalane,195_all
aljo,199_and
sa:ja,311_if
sepe,34_how
poli,29_nonot
oluja,176_count
taŋga,1_one
lualima,2_two
tolu,3_three
ʋari,4_four
limana,5_five
orɑj,6_six
olualua,7_seven
orol,8_eight
ovari,9_nine
lualima,10_ten
lualimalua,11_twenty
lualima lima,12_fifty
laulima taŋga,13_onehundred
manu taŋga pɛn taŋga,14_onethousand
