Nahavaqloorndavo,English Translation
i-siʔ,1_one
i-ru,2_two
i-tœl,3_three
i-vɛs,4_four
i-lim,5_five
-sosiʔ,6_six
-soru,7_seven
sotœl,8_eight
-sovei,9_nine
-laŋaβœl,10_ten
mʷorlalaʔ,11_twenty
mʷorlalaʔ_iru_nooron_laᵑgaBœl,13_onehundred
nɛ-teo,15_year
ᵐbaraŋin,16_right
mejɪr,17_left
ᵑginan,18_i
kamɛm,19_weallexcl
noon,20_webothincl
niŋin,22_weallincl
inu,23_thou
niŋim,24_youboth
ei,26_heshe
ruar,28_theyboth
nahavaʔ,30_what
iaʔ,31_who
aᵐbɛh,32_where
itɛmʷin,34_how
ɛtiŋ,35_this
ɛtaŋ,36_that
-vʷaanmɛhɛp,37_above
-silɛβœn,38_below
-luŋ,39_ininside
ᵐbatɪ-n,40_head
ʧɪᵐblɛn_ᵐbʷatin,41_hair
mɛtɛ-n,42_eye
ᵑginhu-n,43_nose
ⁿdiliŋɛ-n,44_ear
ᵐboŋo-n,45_mouth
mælæᵐʙœn,46_tongue
livʷo-n,47_tooth
vara-n,48_hand
ᵐbʷat_ava-n,49_shoulder
ⁿdolo-n,50_neck
taʔo-n,51_back
ᵐbolʉ-n,52_leg
nɛ-ⁿde,53_blood
nɔ-ʔɔlsin,55_skin
vɛti-n,56_belly
ni-hini-n,57_intestines
no-hoho-n,58_breast
na-mamb,59_liver
ᵑgɪlu,60_dog
nɛ-mɛn,61_bird
mæhæl,62_fish
na-mat,63_snake
ⁿdulɛs,64_worm
na-ot,65_louse
na-laᵐʙʊt,66_rat
ᵑgapleo,67_spider
ⁿduɛs,68_mosquito
nɔ-ʔɔnli-n,69_egg
ᵐʙɪsœ-n,70_tail
vara-n,71_wing
ᵐbʷimᵐbo-n,72_feather
morot˺,73_man
momʷɔʔ,74_woman
ᵐʙunoŋ,75_child
nɛ-ɛh,76_name
amɔʔ,77_mother
tatai,78_father
morot_tɪkina-n,79_husband
momʷɔʔ_tɪkina-n,80_wife
no-otɛraŋ,81_day
livʷaʔat,82_night
nɛ-vʉl,83_moon
musi,84_star
nɪ-vʷaʔan_mɛhɛp,85_sky
no-wei,86_water
nɛ-tɛs,88_sea
na-ʔam,89_fire
-ⁿduŋ,90_smoke
ᵐbʷisnɛp,91_ash
nɛ-βɛt,92_stone
nɛ-tɛn,93_earthsoil
ᵐbʷisnɛp˺,94_dust
ᵐbinuwɛn,95_sand
no-uh,96_rain
mɛli,97_cloud
na-laŋ,98_wind
nɛ-vʉl_varavar,99_thunder
-mælᵑgavʊt,100_lightning
mæru,101_meatflesh
na-vʷan,102_fruit
ᵐʙœnai,103_woodsforest
na-ara-n,104_root
næ-ᵐbal,105_branch
nɛ-rɛe,106_leaf
na-ʔai,107_wood
mʷane,108_grass
tɪvhʉn,109_flower
ni-ɛt,110_thatchroof
ne-um,111_house
nɛ-tɛl,112_rope
na-hal,113_roadpath
-mɛtɛmɛt,114_black
-mɛβʊš,115_white
-mæmal,116_red
-asɛn,117_green
-lʉtlʉt,118_yellow
-ᵐbo,119_big
-βʷariʔ,120_small
-makan,121_sharp
-mʷah,122_bluntdull
-mɪmaʔan,123_shyashamed
-marlam,124_old
-mɛhɛʔ,125_painfulsick
-lɛh,126_good
-hɛt,127_bad
-ᵐbaraŋin,128_correcttrue
-molol,129_dirty
-mom,130_rotten
-ⁿdip,131_heavy
-sile,132_far
-mʷasasaŋ,133_near
-mælah,134_cold
-mɛhɛmɛh,135_dry
-milmil,136_wet
-viveo,137_new
-βʷɛlɛn,139_come
-loŋ,140_walk
-taris,141_stand
-sum,142_sit
-sɛp˺,143_fall
-mɛtur_ⁿdeo,144_liedown
vɪʔɪs,145_turn
-haʔ,146_climb
-wahop˺,147_swim
-vɛmp,148_flyverb
-ʔɔm,149_throw
-toolalaʔ,150_hide
-aan,151_eat
-mɪn,152_drink
-mole,153_yawn
-vure,154_spit
-ᵐbʷɛrei,155_dream
-mɛtur,156_sleep
-mɛur,157_live
-mɛs,158_die
rum-ᵐʙœn,159_kill
-lɛs,160_see
-roŋ,161_hear
-ᵐmaf,163_laugh
-tɛŋ,164_cry
-hup,165_blow
-ⁿdur,167_sew
-ᵐbʷil,168_pound
-ᵐbʷil,169_hit
-tɛre,170_cut
-tarpor,171_split
-ʔil,172_dig
-sal,173_hunt
-wuravur,174_hold
-mætaʔ,175_fear
-ᵐbuluŋ,176_count
-ŋaraŋar,177_breathe
-lu,178_vomit
-ᵐʙus,180_squeeze
-timʙ,181_swell
-wɛr,182_say
-oi,183_scratch
-sim,184_stab
-vʊl,185_buy
-vænaʔ,186_steal
-ʔaᵐbʷiʔ,187_plant
-raʔ,190_work
-sɛvɛn,191_open
