Aulualoxseasolokh,English Translation
-ᵐboɣol,1_one
i-ⁿdʳua,2_two
i-ⁿdiɬ,3_three
i-ᵐbes,4_four
i-lma,5_five
i-ⁿdʳo-voɣol,6_six
i-ⁿdʳorua,7_seven
i-ⁿdʳɔɣtil,8_eight
i-ⁿdʳɔɣves,9_nine
saŋavul,10_ten
ŋavul_i-ⁿdʳua,11_twenty
ŋavul_i-lma,12_fifty
ŋot,13_onehundred
ni-ⁿdim,15_year
tuᵐbu,16_right
mir,17_left
ano,18_i
amiⁿdil,19_weallexcl
aⁿdara,20_webothincl
amarua,21_webothexcl
aⁿdil,22_weallincl
ɣaŋ,23_thou
amuⁿdul,25_youall
ɣɛn,26_heshe
xer,27_theyall
xaru,28_theyboth
ti-sɛra,29_nonot
nevax,30_what
asi,31_who
ambe,32_where
ŋesa,33_when
lasᵐbi,34_how
naɣal,35_this
namiŋ,36_that
-meve,37_above
-fevaɣte,38_below
-lilɣema,39_ininside
ᵐbatɪ-ⁿda,40_head
ne-vulo-n_ᵐbatɪ-ⁿda,41_hair
mɛtɛ-n,42_eye
ᵑguns-ⁿda,43_nose
xarsɛ-nd,44_ear
ᵐboŋo-nd,45_mouth
lɛmɛ-nd,46_tongue
nɛ-lfa-nd,47_tooth
fari-ŋ,48_hand
na-vus-ⁿda,49_shoulder
tavaŋa-n,50_neck
maⁿdi-ŋ,51_back
ne-lua-ŋ,52_leg
nɛ-ⁿdʳe,53_blood
ᵐboloŋo-n,54_bone
ⁿdraᵐbɪ-ⁿda,55_skin
ɣavtɛ-ŋ,56_belly
ne-sis-na,58_breast
maᵐb-ⁿda,59_liver
na-kuli,60_dog
nɪ-mɪn,61_bird
ne-ɣa,62_fish
na-matʰ,63_snake
ⁿduŋlis,64_worm
na-ɣut,65_louse
no-ɣova,66_rat
tɛᵐbluŋaŋo,67_spider
toɣas,68_mosquito
mɛⁿdul-na,69_egg
ᵑgar-na,70_tail
na-xavɪ-na,71_wing
ne-vul-na,72_feather
asmank,73_man
taᵐbalux,74_woman
hɛtoɣtamaɾe,75_child
na-ɣsɛ-nd,76_name
nana,77_mother
tata,78_father
sono,79_husband
sono_taᵐbalux,80_wife
tiⁿdʳin,81_day
melŋɔ,82_night
ɣaᵐbesa,83_moon
mʷose,84_star
ne-maf,85_sky
na-fe,86_water
ᵐbulesⁿduŋ,87_lake
ne-tis,88_sea
na-ɣamb,89_fire
ᵐbasua_ɣamp,90_smoke
nɛ-vmɛs_ɣamp,91_ash
nɪ-vɪt,92_stone
nɛ-tɛn,93_earthsoil
maraŋaɸ,94_dust
taᵐbawan,95_sand
no-sa,96_rain
ᵐboroᵐbor,97_cloud
ne-laŋ,98_wind
no-rfar,99_thunder
ne-ᵐbəla,100_lightning
ᵐbumis,101_meatflesh
fanaɣe,102_fruit
taᵐbi_taramb,103_woodsforest
xorore,104_root
ᵐbaseɣe,105_branch
nɛ-ɣar_ᵐbu-n,106_leaf
na-ɣe,107_wood
na-mɪne,108_grass
ne-pɪnaɣe,109_flower
ni-et,110_thatchroof
ne-ma,111_house
no-ɣo,112_rope
ɣavila,113_roadpath
-miɛt,114_black
-ᵐbsa,115_white
-miɛl,116_red
-nɛɣaᵐbuɣun,117_green
i-oŋoŋɔ,118_yellow
-loᵐbon,119_big
-kakas,120_small
ᵑga-ɣan,121_sharp
ᵐbox,122_bluntdull
-moɣmoɣon,123_shyashamed
-marsaram,124_old
-maɣta,125_painfulsick
i-ᵐbu,126_good
-samb,127_bad
-paŋasa,128_correcttrue
-miɛt,129_dirty
-ŋond,130_rotten
-marant͡s,131_heavy
-tɛmnɪs,132_far
-morokon,133_near
-meloɣo,134_cold
-mɛmɛs,135_dry
-ᵐborox,136_wet
i-ᵐbuvo,137_new
-fini,139_come
-beneven,140_walk
-ⁿdu,141_stand
-ᵑgaᵐbulux,142_sit
i-lit,143_fall
-titlaman,144_liedown
-ⁿdʳiana,145_turn
-sax,146_climb
-luɣlux,147_swim
-marax,148_flyverb
-kuᵐbarna,149_throw
-lɪŋsisuarna,150_hide
-ᵑgana,151_eat
-min,152_drink
-ᵑganmoŋ,153_yawn
-ᵐbivri,154_spit
-ien_ᵐbor,155_dream
-ien,156_sleep
i-mur,157_live
i-mis,158_die
-ᵐbules-atimis,159_kill
-ⁿdʳoŋe,161_hear
-ᵐbuɣte,162_sniffsmell
-mɛn,163_laugh
-ⁿdaŋ,164_cry
-ᵐbiᵐbil,165_blow
i-or,166_burn
-ᵐbɛᵐbɛlesa,168_pound
-ᵐbules_wuna,169_hit
u-tea,170_cut
-teɪᵐborea,171_split
-gila,172_dig
-ᵑgoɣo,173_hunt
-vusogove,174_hold
-metax,175_fear
-vuluŋa,176_count
-rivinelaŋ,177_breathe
-lua,178_vomit
-ᵐbaŋsa,179_tieup
-ᵐbumsa,180_squeeze
-ⁿdetimp,181_swell
-tena,182_say
-ᵑgorxore,183_scratch
-ⁿdira,184_stab
-ᵑgole,185_buy
-ᵐbinoɣe,186_steal
-ᵐboroɣna,187_plant
-ⁿdamax,188_cook
-ᵐbinia,189_shoot
-ma,190_work
-saŋave,191_open
