Sivitinjavwomol,English Translation
-soɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lim,5_five
-ɣɔn,6_six
-ɣɪᵐbʉt,7_seven
-xoɛl,8_eight
-ɣɛsju,9_nine
-səŋavʉl,10_ten
movil_i-ɾu,11_twenty
mov_i-lim,12_fifty
ŋo_sɛŋavʉl,13_onehundred
ᵑgaka,15_year
matu,16_right
mʷiɾ,17_left
nɛ,18_i
kemam,19_weallexcl
nekir_ʧilɪn,20_webothincl
nekir,22_weallincl
nox,23_thou
kemi,25_youall
xain,26_heshe
xair,27_theyall
xair_iru,28_theyboth
i-səɣe,29_nonot
ⁿzaβ,30_what
sena,31_who
ambe,32_where
-plakɛnzaβ,34_how
-limsax,37_above
-mɛlvɛna,38_below
-lalon,39_ininside
ᵐbati-n,40_head
vɛlo-n_ᵐbati-n,41_hair
mɛta-n,42_eye
ᵑguʃu-n,43_nose
ᵐboro-n,44_ear
ⁿzoŋo-n,45_mouth
mimɛ-n,46_tongue
lowo-n,47_tooth
wara-n,48_hand
ᵐbʷili-n,49_shoulder
ⁿzalɣa-n,50_neck
ⁿdaɣu-n,51_back
malɛ-n,52_leg
na-re,53_blood
ⁿʒi-n,54_bone
vɪlo,55_skin
lavoɣa-n,56_belly
ne-zuʃa-n,58_breast
na-re-na-n,59_liver
nu-ɣuli,60_dog
mænux,61_bird
nɪ-mat͡s,62_fish
nə-mat,63_snake
wulɪt͡slɪt͡s,64_worm
na-ɣut,65_louse
na-xariv,66_rat
ne-la,67_spider
na-mux,68_mosquito
rulu-n,69_egg
wilɣao-n,70_tail
na-ɣpa-n,71_wing
vɛlo-n,72_feather
ni-mɛrmɛɾ,73_man
nɛ-vɛnar,74_woman
lɪlɪt͡siplɛx,75_child
ni-ŋsa-m,76_name
mama_sa-n,77_mother
tate_sa-n,78_father
lilɛɣ_sa-n,79_husband
nɛ-vɛnar_sa-n,80_wife
laran,81_day
lapun,82_night
na-vil,83_moon
wuwoɾ,84_star
nu-a,86_water
malɛn,87_lake
ⁿdas,88_sea
na-ɣamb,89_fire
iɛs,90_smoke
woluvias,91_ash
nɪ-vat,92_stone
ⁿdan,93_earthsoil
na-un,95_sand
na-us,96_rain
na-ror,97_cloud
laŋ,98_wind
ᵐbʷɛtekuɾ,99_thunder
nɪ-vɪlax,100_lightning
nɪmbix,101_meatflesh
woŋana,102_fruit
no-vorɣa,103_woodsforest
lapʷɛna,104_root
nɛ-raŋ-na,105_branch
roɣo-na,106_leaf
na-ɣa,107_wood
na-mʉs,108_grass
ni-at,110_thatchroof
na-im,111_house
marit,112_rope
ⁿzal,113_roadpath
-mɛrmɛɾ,114_black
-pɪsax,115_white
-mial,116_red
-ɣet͡sɣet͡san,117_green
-məɣɛl,118_yellow
-lalamb,119_big
-wɪlwɪle,120_small
i-mʷon,121_sharp
i-papot,122_bluntdull
-muwonɣɛn,123_shyashamed
-tɛrtɛɾa,124_old
-ɾot͡s,125_painfulsick
i-nam,126_good
i-sat,127_bad
i-wuratin,128_correcttrue
i-lalo,129_dirty
-mɛrɛvrɪv,130_rotten
i-roɸ,131_heavy
-luhsɛ,132_far
-kʰəɹigəriβ,133_near
-malɣas,134_cold
i-mimas,135_dry
i-mimim,136_wet
-mɪlakɛl,137_new
-mʷẽ,139_come
i-vial,140_walk
-tuɾ,141_stand
iat,142_sit
i-t͡soɸ,143_fall
-ror,145_turn
-sax,146_climb
i-ɣiɣamp,148_flyverb
-wɛrɛn_lue,149_throw
-vitɛʃuʃun,150_hide
i-or,151_eat
i-min,152_drink
-tiβis,154_spit
metur_porpoɾ,155_dream
-metuɾ,156_sleep
-meruɸ,157_live
-mɛs,158_die
-rup-ɛ-mɛs,159_kill
i-lɪs,160_see
i-roŋa,161_hear
noɣo_nɛ-vtin,162_sniffsmell
-ŋiɾ,163_laugh
o-rat,164_cry
isɛɾ,165_blow
i-ɣan,166_burn
-rur_nain,167_sew
-ruprup,168_pound
-rup,169_hit
-vɛlɛ,170_cut
-tetuaɣe,171_split
-ɣil,172_dig
t͡so-xorxor,173_hunt
ustʰuɣun,174_hold
-mɛtaɣut,175_fear
-ʧɪpʷɪn,176_count
e-vɪ-laŋ,177_breathe
i-lulu,178_vomit
-mʷit͡s,179_tieup
-wis,180_squeeze
i-wuwun,181_swell
usu-wiɾ,182_say
siɾ,184_stab
-wʊl,185_buy
-vɪnaɣe,186_steal
-ruh,187_plant
-titin,188_cook
-sosoɾo,189_shoot
-pas,190_work
