ID,Name,Concepticon_ID,Concepticon_Gloss,Bislama_Gloss,Concepticon_SemanticField
1_one,one,1493,ONE,wan,Quantity
2_two,two,1498,TWO,tu,Quantity
3_three,three,492,THREE,tri,Quantity
4_four,four,1500,FOUR,fo,Quantity
5_five,five,493,FIVE,faiv,Quantity
6_six,six,1703,SIX,sikis,Quantity
7_seven,seven,1704,SEVEN,seven,Quantity
8_eight,eight,1705,EIGHT,eit,Quantity
9_nine,nine,1483,NINE,naen,Quantity
10_ten,ten,1515,TEN,ten,Quantity
11_twenty,twenty,1710,TWENTY,twenti,Quantity
12_fifty,fifty,1717,FIFTY,fifti,Quantity
13_onehundred,one hundred,1634,HUNDRED,wan hundred,Quantity
14_onethousand,one thousand,1843,THOUSAND,wan taosan,Quantity
15_year,year,1226,YEAR,yia,Time
16_right,right,1019,RIGHT,raet,Spatial relations
17_left,left,244,LEFT,lef,Spatial relations
18_i,I,1209,I,mi,Kinship
19_weallexcl,"we  (all, EXcl.)",1130,WE (EXCLUSIVE),mifala,Kinship
20_webothincl,"we  (both, INcl.)",2637,WE TWO (INCLUSIVE),yumitu,Kinship
21_webothexcl,"we  (both, EXcl.)",2636,WE TWO (EXCLUSIVE),mitufala,Kinship
22_weallincl,"we  (all, INcl.)",1131,WE (INCLUSIVE),yumi,Kinship
23_thou,thou,1215,THOU,yu,Kinship
24_youboth,you  (both),2111,YOU TWO,yutufala,Kinship
25_youall,you  (all),1213,YOU,yufala,Kinship
26_heshe,he/she,2642,HE OR SHE,hem,Kinship
27_theyall,they  (all),817,THEY,olgeta,Kinship
28_theyboth,they  (both),2635,THEY TWO,tufala,Kinship
29_nonot,"no, not",2279,NO OR NOT,no,Cognition
30_what,what,1236,WHAT,wanem,Cognition
31_who,who,1235,WHO,hu,Cognition
32_where,where,1237,WHERE,wea,Cognition
33_when,when,1238,WHEN,wanem,Cognition
34_how,how,1239,HOW,hao,Cognition
35_this,this,1214,THIS,hemia ia,Miscellaneous function words
36_that,that,78,THAT,hemia longwei,Miscellaneous function words
37_above,above,1741,ABOVE,antap,Spatial relations
38_below,below,1485,BELOW OR UNDER,andanit,Spatial relations
39_ininside,"in, inside",1460,IN,insaed,Spatial relations
40_head,head,1256,HEAD,hed,The body
41_hair,hair,1040,HAIR,hea,The body
42_eye,eye,1248,EYE,ae,The body
43_nose,nose,1221,NOSE,nus,The body
44_ear,ear,1247,EAR,sora,The body
45_mouth,mouth,674,MOUTH,maot,The body
46_tongue,tongue,1205,TONGUE,tang,The body
47_tooth,tooth,1380,TOOTH,tut,The body
48_hand,hand,1277,HAND,han,The body
49_shoulder,shoulder,1482,SHOULDER,solda,The body
50_neck,neck,1333,NECK,nek,The body
51_back,back,1291,BACK,baksaed,The body
52_leg,leg,2098,FOOT OR LEG,lek,The body
53_blood,blood,946,BLOOD,blad,The body
54_bone,bone,1394,BONE,bun,The body
55_skin,skin,763,SKIN,sikin,The body
56_belly,belly,1251,BELLY,bel,The body
57_intestines,intestines,1991,INTESTINES,kat,The body
58_breast,breast,1402,BREAST,titi,The body
59_liver,liver,1224,LIVER,leva,The body
60_dog,dog,2009,DOG,dog,Animals
61_bird,bird,937,BIRD,pijin,Animals
62_fish,fish,227,FISH,fis,Animals
63_snake,snake,730,SNAKE,snek,Animals
64_worm,worm,1219,WORM,wom,Animals
65_louse,louse,1392,LOUSE,laus,Animals
66_rat,rat,1490,RAT,rat,Animals
67_spider,spider,843,SPIDER,spida,Animals
68_mosquito,mosquito,1509,MOSQUITO,moskito,Animals
69_egg,egg,744,EGG,ek,Food and drink
70_tail,tail,1220,TAIL,tel,The body
71_wing,wing,1257,WING,win,The body
72_feather,feather,1201,FEATHER,feta,The body
73_man,man,2106,MALE PERSON,man,Kinship
74_woman,woman,2105,FEMALE PERSON,woman,Kinship
75_child,child,2099,CHILD,pikinini,Kinship
76_name,name,1405,NAME,nem,Speech and language
77_mother,mother,1216,MOTHER,mama,Kinship
78_father,father,1217,FATHER,papa,Kinship
79_husband,husband,1200,HUSBAND,man blong mi,Kinship
80_wife,wife,1199,WIFE,woman blong mi,Kinship
81_day,day,1225,DAY (NOT NIGHT),dei,Time
82_night,night,1233,NIGHT,naet,Time
83_moon,moon,1313,MOON,mun,The physical world
84_star,star,1430,STAR,sta,The physical world
85_sky,sky,1732,SKY,skae,The physical world
86_water,water,948,WATER,wota,The physical world
87_lake,lake,624,LAKE,"lek, lagun",The physical world
88_sea,sea,1474,SEA,solwota,The physical world
89_fire,fire,221,FIRE,faea,The physical world
90_smoke,smoke,778,SMOKE (EXHAUST),smok,The physical world
91_ash,ash,646,ASH,asis,The physical world
92_stone,stone,857,STONE,ston,The physical world
93_earthsoil,"earth, soil",1228,EARTH (SOIL),kraon,The physical world
94_dust,dust,2,DUST,tas,The physical world
95_sand,sand,671,SAND,sanbij,The physical world
96_rain,rain,658,RAIN (PRECIPITATION),ren,The physical world
97_cloud,cloud,1489,CLOUD,klaud,The physical world
98_wind,wind,960,WIND,win,The physical world
99_thunder,thunder,1150,THUNDER,tanda,The physical world
100_lightning,lightning,1654,LIGHTNING,laetning,The physical world
