Petel,English Translation
tar poe vaha tea,14_onethousand
havla lima raverua,424_seventy
vana mo lima,284_fifteen
haβla tolu,460_thirty
vane marave rua,423_seventeen
tar vaha tea,13_onehundred
tea,1_one
haβla tea,10_ten
marave pat,9_nine
haβla lima,12_fifty
rua,2_two
lima,5_five
haβla tea vana mo tea,257_eleven
vana mo marave,430_sixteen
havla lima rave tow,256_eighty
haβla limarave,431_sixty
βaːti,4_four
tolu,3_three
haβla vaːti,289_forty
marave tow,8_eight
haβla rua,11_twenty
haβla tea vana mo rua,477_twelve
vana mo vaːti,288_fourteen
marave rua,7_seven
havla lima rapat,368_ninety
maraβe,6_six
haβla tea vana mo tolu,459_thirteen
rena rot͡ʃo,478_umbilical_cord
wut t͡ʃora,290_full_moon
usa lahi losu,446_storm
matui,229_coconut
t͡ʃam,492_taro_wild
patina poe,402_pig_tusk
mahoto,411_rainy_season
poro,401_pig_male
napaʔa,208_banyan_tree
nahwita,371_octopus
narara,248_dry_season
hat͡ʃai leli,253_east
naʔira,216_breadfruit
oβo,417_sail
uma,291_garden
lae losu,232_cyclone
tolfin,246_dolphin
hapouara,370_north
t͡ʃama,314_kava
taha,483_hot
maso,450_sun
hapu,223_canoe
tiana,338_menstruation
t͡ʃure,398_pig_female
malo,412_reef
halow,496_yam
namoj,252_earthquake
pitom,494_womb
tihaβoʔe,425_shark
taʔa hina paule,227_chief
soe puhuti,230_coconut_sprout
t͡ʃihulu,485_taro_wet
moli,227_chief
poe,396_pig
t͡ʃurevju,399_pig_hermaphrodite
navia,249_taro_dry
poʔo,225_cave
napali,243_deep_ocean
t͡ʃura,474_wood_for_moving_stones
napeho,207_banana
kumala,333_manioc
vetal,493_yam_wild
hat͡ʃai roβo,488_west
mat͡ʃoe,84_star
lioe,189_shoot
tahi,164_cry
βarere,188_cook
marapati,9_nine
suim,54_bone
tahaβuj,137_new
βunuβunu,195_all
patim,47_tooth
βaβam,45_mouth
majmape,59_liver
tasi,88_sea
rahana,105_branch
matam,42_eye
urahi,199_and
losia,169_hit
tahat͡ʃia,489_wide
haβena toa,71_wing
tahat͡ʃia,119_big
tano,93_earthsoil
haβeʔu,48_hand
nao,18_i
hapatia,83_moon
otol,69_egg
maraβe rua,7_seven
pohi,82_night
aβanu,132_far
laho,148_flyverb
lohaloha,129_dirty
moae,85_sky
mano,61_bird
taha nonoho,138_other
hat tusia,212_to_bite
mamahan,123_shyashamed
loloso,147_swim
punina,162_sniffsmell
pupuheti,131_heavy
lolona,39_ininside
navreo rio,155_dream
susuia,465_to_choose
t͡ʃoβi,143_fall
rarua,28_theyboth
hisa,33_when
loslosia,168_pound
taun,15_year
pepeira,136_wet
mata,63_snake
at͡ʃileleitea,179_tieup
tula,362_needle
tolu,3_three
hariβi,66_rat
asaiʔ,36_that
posi,258_fat
aniʔi,35_this
maraw,17_left
tar poe βaha tea,14_onethousand
laholaho,140_walk
haβlarua,11_twenty
maʔoβi,94_dust
tajtalim,57_intestines
ririm,49_shoulder
pea,111_house
pei,86_water
t͡ʃepo,130_rotten
sasae,171_split
rua,2_two
hahara,116_red
melomelo,121_sharp
ʔamam,25_youall
loʔota,97_cloud
sahaβea,146_climb
warese,78_father
eʔu,52_leg
wuluna,72_feather
matua,16_right
tasi,419_salt
nie,26_heshe
mauri,157_live
βira,109_flower
ɸati,4_four
paleβe,34_how
tupuʔu,80_wife
taroroj,133_near
mahoso,177_breathe
wulum,41_hair
han,151_eat
asi,112_rope
tat͡ʃua,73_man
hisem,76_name
saβa,30_what
t͡ʃarua,20_webothincl
maraβe tow,8_eight
ʔojʔoj,64_worm
hutu,65_louse
βaeβae,359_narrow
ʔamrua,24_youboth
βaʔoj,311_if
βaβana,38_below
ʔamrua,21_webothexcl
βetia,182_say
lahi,98_wind
sihi,181_swell
tea,1_one
ʔoʔo,152_drink
lom,464_to_chew
woʔe,115_white
perehai,145_turn
hit͡ʃiletea,180_squeeze
ʔine,175_fear
palpaltuhu,87_lake
t͡ʃoʔia,184_stab
t͡ʃoa,29_nonot
lahi roβo,165_blow
moʔoβi,91_ash
tupuʔu talamane,79_husband
het͡sa,117_green
haw,107_wood
wosam,125_painfulsick
rem,40_head
hamariri,134_cold
pahia,170_cut
mat͡ʃina,118_yellow
pinis,315_know_understand
mat͡si,62_fish
piniʔu,55_skin
lolo lopolopo,103_woodsforest
usa,96_rain
mena,202_at
tahaoso,127_bad
palala,99_thunder
mohi,68_mosquito
taʔiti,120_small
rauna,106_leaf
eβia,176_count
at͡ʃaβu,340_fog
pihi,122_bluntdull
makua,77_mother
sule,92_stone
lua,178_vomit
βanana,102_fruit
pej mororo,286_flow
haβlalima,12_fifty
one,95_sand
purupuru,456_thick
reʔa,135_dry
haroβia,183_scratch
taho,128_correcttrue
t͡ʃalom,50_neck
nanaeβin,457_thin
saplea,149_throw
sej,31_who
tiaʔu,56_belly
sihe,142_sit
sumaj,139_come
maeto,114_black
rohoj,161_hear
han mamauvi,153_yawn
naβu,156_sleep
tahamine,124_old
asu,90_smoke
turia,167_sew
βohea,191_open
t͡ʃaem,53_blood
tahonaj,126_good
renren,160_see
helia,172_dig
wolia,185_buy
pesi,60_dog
mate,158_die
losi mate,159_kill
t͡ʃila,100_lightning
susu,448_suck
hit͡ʃia,174_hold
pere,108_grass
laβoe,187_plant
memem,46_tongue
loto,154_spit
uru,163_laugh
punia,150_hide
miβe,32_where
hoena,104_root
tutun,483_hot
palihoe,186_steal
βarahina,173_hunt
haβlatea,10_ten
hire,27_theyall
hat͡ʃae,74_woman
hapu,89_fire
tar βaha tea,13_onehundred
wut͡ʃina,70_tail
t͡ʃiha,302_to_grow
asahe,37_above
rio,416_road
ran,81_day
niho,23_thou
t͡ʃalham,44_ear
βaeβae,426_short
susum,58_breast
marohi,144_liedown
paraβu,328_long
ninima,458_to_think
paham,51_back
tanioso,336_meat
hit͡ʃe,22_weallincl
talaua,455_thatch
ratat͡ʃua,306_person
paule,75_child
turi,141_stand
maraβe,6_six
βarao,190_work
hohom,43_nose
lima,5_five
napara,67_spider
