Tanbok_Suru Bo,English Translation
cibiŋgi,268_grandfather_paternal
ciɸiŋgi,269_grandmother_paternal
kiɸsan tefaŋga,259_uncle_paternal
cihin tadat,280_uncle_paternal_younger
wəwa,273_aunt_paternal_older
tad̚at,262_uncle_paternal_older
cihin wawa,281_aunt_paternal_younger
cibiŋgi,298_grandfather_maternal
tokon bwawa,346_uncle_maternal_older
bæ:,77_mother
cihin aloaŋga,354_uncle_maternal_younger
mbiɸi,299_grandmother_maternal
tokon da:ciŋgi,347_aunt_maternal_older
cihin da:ciŋgi,354_uncle_maternal_younger
cihin da:ciŋgi,355_aunt_maternal_younger
kinsaŋga,373_brother_older
cihin kinsaŋga,499_younger_brother
toxon hociŋgi,381_sister_older
cihin hociŋgi,498_younger_sister
cihin kinsaŋga,264_first_cousin_male_paternal_uncle
cihin hociŋgi,264_first_cousin_male_paternal_uncle
tædat,277_first_cousin_male_paternal_aunt
wawa,275_first_cousin_female_paternal_aunt
ælowaŋga,277_first_cousin_male_paternal_aunt
nucuŋgu,344_first_cousin_female_maternal_uncle
nucuŋgu,351_first_cousin_male_maternal_aunt
nucuŋgu,350_first_cousin_female_maternal_aunt
taslaŋga,260_father_in_law
taslaŋga,341_mother_in_law
bwalikaŋga,261_father_in_law_of_woman
bwalikaŋga,310_mother_in_law_of_woman
atle:maŋga,80_wife
hoan,79_husband
bwalikaŋga,235_daughter_in_law
ɸa:ɸiŋgi,300_grandson_son
ɸa:ɸiŋgi,296_granddaughter_son
nucuŋgu,435_son
nucuŋgu,234_daughter
ɸa:ɸiŋgi,238_grandson_daughter
taslaŋga,237_son_in_law
ma:mbiŋgi,236_granddaughter_daughter
nucuŋgu,376_nephew_fraternal_older
nucuŋgu,375_niece_fraternal_older
nucuŋgu,501_nephew_fraternal_younger
nucuŋgu,500_niece_fraternal_younger
aloaŋga,385_nephew_sororal_older
aloaŋga,506_nephew_sororal_younger
aloaŋga,384_niece_sororal_older
aloaŋga,505_niece_sororal_younger
bʷale,1_one
kaɾu,2_two
kacil,3_three
kavet,4_four
kalim,5_five
telaɸʷale,6_six
telæɨɾu,7_seven
telapcil,8_eight
telapet,9_nine
tesaxəwul,10_ten
tesaxəwul vep nan bale,257_eleven
tsaxəwul vep nan kaɾu,477_twelve
tsaxəwul vep nan kacil,459_thirteen
tsaxəwul vep nan kavet,288_fourteen
tsaxəwul vep nan kalim,284_fifteen
tsaxəŋwul vep nan talæpwale,430_sixteen
tsaxəŋwul vep nan telæɨɾu,423_seventeen
tsaxəŋwul vep nan telapcil,255_eighteen
tsaxəŋwul vep nan telapet,367_nineteen
ŋaul kaɾu,11_twenty
ŋaul kacil,460_thirty
ŋaul kavet,289_forty
ŋaul kalim,12_fifty
ŋaul təlæpʷale,431_sixty
ŋaul təlæɨɾu,424_seventy
ŋaul təlæpcil,256_eighty
ŋaul təlæpet,368_ninety
tewədəlɨ a ɸʷale,13_onehundred
