Kerepua,English Translation
naβul tol,460_thirty
naβil βaʔ ehe,13_onehundred
ehe,1_one
hanaβulu,10_ten
rapat,9_nine
naβul lima,12_fifty
hua,2_two
liːma,5_five
hanaβul t͡ʃuma ehe,257_eleven
naβul raptol,256_eighty
naβul limaraβe,431_sixty
βaːti,4_four
tolu,3_three
naβul βat,289_forty
raptolu,8_eight
naβul rua,11_twenty
hanaβul t͡ʃuma rua,477_twelve
raβerua,7_seven
limaraβe,6_six
ile narot͡ʃo,478_umbilical_cord
uha hojlot,446_storm
matuj,229_coconut
uha cilecile,325_sun_shower
torowila,492_taro_wild
ut͡ʃuna,402_pig_tusk
ran arat͡ʃ,411_rainy_season
laho,401_pig_male
hartejmʷat͡ʃa,410_rainbow
woro marua,413_restricted_place
paka,208_banyan_tree
wita,371_octopus
ran koru,248_dry_season
pahiʔa arat͡ʃ,364_new_moon
leβu,216_breadfruit
oβo,417_sail
uma,291_garden
lan,232_cyclone
urakue,246_dolphin
laβina hwej,408_pregnant
tana,483_hot
mʷaho,450_sun
aːβi,223_canoe
teana,338_menstruation
mat͡ʃuʔa,398_pig_female
mʷalo,412_reef
oloʔu,496_yam
moj,252_earthquake
putono,494_womb
paʔoe,425_shark
tana imʷaroho,227_chief
matuj tuβ,230_coconut_sprout
loma,485_taro_wet
moli,227_chief
pʷeʔi,396_pig
rawe,399_pig_hermaphrodite
tahwej,461_tsunami
pʷete ina uma,249_taro_dry
papahula,225_cave
tah poʔa,243_deep_ocean
hori,474_wood_for_moving_stones
βatal,207_banana
paloa,333_manioc
olowila,493_yam_wild
teʔaoro,488_west
βitu,84_star
βinej,189_shoot
ceɦi,164_cry
βat͡ʃβat͡ʃo,188_cook
rapat,9_nine
hwim,54_bone
ira βunβun,195_all
ut͡ʃum,47_tooth
lompʷam,45_mouth
mʷapʷem,59_liver
tahe,88_sea
tawana,105_branch
matam,42_eye
roj,199_and
βitej,169_hit
hujlot,489_wide
apaʔuna,71_wing
hujloti,119_big
tano,93_earthsoil
limam,48_hand
nao,18_i
pahiʔa,83_moon
tolina,69_egg
raβerua,7_seven
poni,82_night
paraɸ,132_far
hala,148_flyverb
loʔoloʔo,129_dirty
t͡ʃot͡ʃo,85_sky
mano,61_bird
haβajtaʔa,138_other
lamolamo,212_to_bite
mamaʔan,123_shyashamed
lololoho,147_swim
ponopono,162_sniffsmell
puruna,131_heavy
lolono,39_ininside
nura porapora,155_dream
t͡ʃuri,465_to_choose
t͡ʃovi,143_fall
irerua,28_theyboth
ʔeniha,33_when
vitviti,168_pound
taoni,15_year
luluhi,136_wet
marita,63_snake
vihteten,179_tieup
ʔaw tuturu,362_needle
tolu,3_three
ʔariβ,66_rat
aβanie,36_that
βuʔuβuʔu,258_fat
cenie,35_this
maraum,17_left
alel,140_walk
naβul rua,11_twenty
taptap,94_dust
talim,57_intestines
pʷilim,49_shoulder
vanua,111_house
t͡ʃano,86_water
mapuʔu,130_rotten
terej cele,171_split
rua,2_two
kara,116_red
maʔat,121_sharp
kamiu,25_youall
t͡ʃot͡ʃo,97_cloud
haʔahaʔa,146_climb
tata,78_father
harim,52_leg
βuluna,72_feather
tutuwam,16_right
palt͡ʃot͡ʃo,419_salt
nie,26_heshe
maur,157_live
kakali,109_flower
βati,4_four
haβajpʷele,34_how
nam laβina,80_wife
teβuj,133_near
wut na mahmahum,177_breathe
wulum,41_hair
ʔanʔan,151_eat
ahi,112_rope
taut͡ʃu,73_man
heʔem,76_name
haβaʔaw,30_what
it͡ʃerua,20_webothincl
raptol,8_eight
mat͡ʃleo,64_worm
ʔutu,65_louse
cilecile,359_narrow
kamrua,24_youboth
werej,311_if
βaβana,38_below
kamirua,21_webothexcl
wurej,182_say
lan,98_wind
pure,181_swell
ehe,1_one
koko,152_drink
lamolamo,464_to_chew
hulu,115_white
porʔen,145_turn
firi,180_squeeze
mataʔo,175_fear
cirej,184_stab
t͡ʃoteh,29_nonot
lajlani,165_blow
majaβu,91_ash
nam taut͡ʃu,79_husband
βeoβeo,117_green
ʔaw,107_wood
βarmah,125_painfulsick
pʷatum,40_head
maʔariri,134_cold
t͡ʃevi,170_cut
mʷat͡ʃina,118_yellow
loloran,315_know_understand
mat͡ʃi,62_fish
βinum,55_skin
lono ʔaw,103_woodsforest
uha,96_rain
la,202_at
vahkoj,127_bad
pʷɪrin,99_thunder
βuβu,68_mosquito
cile,120_small
rauna,106_leaf
eβeβi,176_count
at͡ʃaβ,340_fog
pupu,122_bluntdull
aci,77_mother
hula,92_stone
lulua,178_vomit
wanana,102_fruit
taʔaβura,286_flow
naβul lima,12_fifty
wuhwuh,95_sand
porotuʔa,456_thick
koru,135_dry
rujrut,166_burn
ʔaroʔaro,183_scratch
tataʔolo,128_correcttrue
t͡ʃolom,50_neck
t͡ʃomt͡ʃom,457_thin
plaʔ punen,149_throw
hej,31_who
team,56_belly
hariʔi,142_sit
tanonovale,139_come
loʔo,114_black
rone,161_hear
ʔan mamaoβ,153_yawn
nunura,156_sleep
warehe,124_old
aho,90_smoke
turuj,167_sew
tiβe,191_open
t͡ʃaem,53_blood
mʷaʔu,126_good
ile,160_see
celi,172_dig
woli,185_buy
βoj,60_dog
mat,158_die
βitej βun,159_kill
βileʔ,100_lightning
im nahuhu,448_suck
kawi,174_hold
palih,108_grass
laβo,187_plant
mimim,46_tongue
loto,154_spit
uru,163_laugh
punen,150_hide
βiʔa,32_where
ʔarina,104_root
mʷamʷa,483_hot
paliʔe,186_steal
t͡ʃurβoj,173_hunt
hanaβul,10_ten
ire,27_theyall
lavina,74_woman
aβi,89_fire
naβil βaʔ ehe,13_onehundred
wut͡ʃina,70_tail
mauri,302_to_grow
uhana,37_above
hala,416_road
rani,81_day
niko,23_thou
t͡ʃalnam,44_ear
putu,426_short
huhum,58_breast
nunura,144_liedown
paraβu,328_long
t͡ʃomim,458_to_think
taʔum,51_back
vihʔono,336_meat
it͡ʃe,22_weallincl
ato,455_thatch
tawahaw,306_person
maruhu,75_child
turi,141_stand
limaraβe,6_six
ruaj,190_work
malhum,43_nose
lima,5_five
pʷipara,67_spider
