Tesmbolmelaklak,English Translation
-sai,1_one
-ⁿdʳo,2_two
-ⁿdil,3_three
-ⁿbɛs,4_four
-limɛ,5_five
ⁿdʳu-sai,6_six
ⁿdʳu-ru,7_seven
ⁿdʳu-til,8_eight
ⁿdʳu-vɛs,9_nine
ⁿdʳu-alme,10_ten
namʷot͡sai,11_twenty
namut_lime,13_onehundred
ⁿdɛm,15_year
atᵐbʷi,16_right
mʷaɛr,17_left
ᵑgan,18_i
ⁿdelᵐbʷati,19_weallexcl
ⁿdaʒ,20_webothincl
ⁿdalu,21_webothexcl
ⁿdɛl,22_weallincl
aᵑgu,23_thou
mur,24_youboth
mul,25_youall
ai,26_heshe
aⁿdʳɪl,27_theyall
aⁿdʳu,28_theyboth
seχ,29_nonot
sɛvɪn,30_what
asni,31_who
aiᵐbi,32_where
ŋaisie,33_when
savani,34_how
-ajaᵑga,35_this
aia,36_that
-ramali,37_above
-fɛvi,38_below
-vɛnua,39_ininside
ᵐbʷat-i,40_head
nɛ-fl-i,41_hair
mɛt-i,42_eye
ᵑgors-i,43_nose
ⁿdaliŋa-i,44_ear
ᵐboŋ-i,45_mouth
melw-i,46_tongue
nɛlvʷi,47_tooth
væ_ri-,48_hand
lelu,49_shoulder
ⁿdel-i,50_neck
tax-o,51_back
ɣɛl-i,52_leg
ⁿdʳe,53_blood
fʷiᵑgai,54_bone
ulmɛt,55_skin
fʷot-i,56_belly
mert-i,57_intestines
nɛ-sis,58_breast
ᵐbuᵐbur,59_liver
na-kuli,60_dog
nɪ-mɛn,61_bird
ne-ge,62_fish
-mʷat,63_snake
na-wut,65_louse
wosu,66_rat
ᵑgaᵑgao,67_spider
na-was,68_mosquito
lɛti,69_egg
ᵐʙusi,70_tail
vɛli,72_feather
mut,73_man
sava,74_woman
kakal,75_child
nɪs-i,76_name
nɛne,77_mother
tata,78_father
a-mut_na-ŋ,79_husband
aᵐbute-i,80_wife
ⁿdrɛn,81_day
lafat,82_night
ᵐbɛsi,83_moon
vɛlvit,84_star
nɪ-map˺,85_sky
na-wai,86_water
lɪlɛm,87_lake
nɪ-tɛs,88_sea
nɐ-ɣaᵐʙ,89_fire
ʙurlo,90_smoke
iɛɸ,91_ash
nɪ-vɛt,92_stone
ten,93_earthsoil
movsuwun,95_sand
na-use,96_rain
maɸ,97_cloud
malgas,98_wind
na-ur,99_thunder
ᵐbəle,100_lightning
nɪ-vso,101_meatflesh
fonvʷi,102_fruit
ᵑgartɪf,103_woodsforest
na-ruai,104_root
saŋai,105_branch
rowai,106_leaf
na-i,107_wood
mʷəne,108_grass
tivsi,109_flower
na-riɛt,110_thatchroof
ne-imʷɔ,111_house
tɛl,112_rope
-buləmɛt,114_black
-ᵐbov,115_white
-loŋ,116_red
-mɛmɛlɣɛs,117_green
-iaŋiaŋ,118_yellow
-ᵐbau,119_big
-kakal,120_small
-maŋal,121_sharp
-ᵐʙugə,122_bluntdull
-mʷomiel,123_shyashamed
-mʷotiɛne,124_old
-kures,125_painfulsick
-ᵐbʷi,126_good
-saᵐʙ,127_bad
ᵐbaraŋan,128_correcttrue
bitɛn,129_dirty
-ᵑgoⁿd,130_rotten
-nɪᵐʙ,131_heavy
i-ᵑglᵑgl,132_far
-soŋsoŋ,133_near
-malgas,134_cold
-luᵐʙ,136_wet
-ᵐboβo,137_new
anbi,138_other
-bʷalɛ,139_come
-balwal,140_walk
-ⁿduar,141_stand
-sumʙsuᵐʙ,142_sit
-ragai,143_fall
tu-mʷɔnmʷɔn,144_liedown
-ⁿdri,145_turn
t-aŋaⁿdʳan,146_climb
-lɛlɛs,147_swim
-marax,148_flyverb
tu-wəᵐʙu,149_throw
tɛ-suɔ,150_hide
-gan,151_eat
ta-mun,152_drink
-mʷiel,153_yawn
-mɛmsir,154_spit
-ᵐbʷari,155_dream
-mʷɔn,156_sleep
-mɛs,158_die
-mus-tɛ-mɛs,159_kill
tɛ-lei,160_see
-ⁿdʳoŋ,161_hear
-ᵐbu,162_sniffsmell
-ʙusiŋal,163_laugh
-ⁿdaŋ,164_cry
-ⁿdʳɛk,165_blow
-loŋ,166_burn
-tir,167_sew
-mutmus,168_pound
-mus,169_hit
-goruʃ,170_cut
-ᵐbori,171_split
-warwar,173_hunt
-ᵑgamɪs,174_hold
-mætau,175_fear
-ⁿdʳev,177_breathe
-lua,178_vomit
ta-ᵑgit,180_squeeze
-mɛvug,181_swell
tɛ-tɛn,182_say
-ᵑgʷiwi,183_scratch
-t͡sar,184_stab
-ᵑgolɛ,185_buy
-gava,187_plant
-sɛv,188_cook
-ⁿdʳau,190_work
-saŋap,191_open
