Tiraxmae,English Translation
haɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lin,5_five
i-ɣoɛn,6_six
i-ɣɛⁿdit,7_seven
i-ɣewel,8_eight
i-ɣesiɸ,9_nine
i-hiŋavil,10_ten
i-ŋovil-ru,11_twenty
i-ŋov_i-lin,12_fifty
i-ŋosiŋavil,13_onehundred
kaka,15_year
matu,16_right
mair,17_left
xono,18_i
knɛn,19_weallexcl
nekir_aru,20_webothincl
knɛn_aru,21_webothexcl
nekir,22_weallincl
nox,23_thou
kɛni_raru,24_youboth
kɛni,25_youall
xain,26_heshe
xair,27_theyall
haɣa,30_what
hena,31_who
ande,32_where
hɛvɛliŋ,33_when
-ⁿdlahaɣa,34_how
xuwe,36_that
-lihina,37_above
-nɛlvɛn,38_below
-lalɛn,39_ininside
ᵐbɪt-,40_head
fɪlɪ-n_ᵐbɪt,41_hair
məta-,42_eye
kuhu-,43_nose
ⁿdʳɪlɪŋe,44_ear
soŋɔ-,45_mouth
nɛ-nɛ-,46_tongue
lɪvo-,47_tooth
vra-,48_hand
vtiɣ_ᵐbo-vre,49_shoulder
ᵐbitir-ⁿdʳal,50_neck
tox,51_back
male-,52_leg
na-ⁿdʳe,53_blood
su-,54_bone
vle-,55_skin
tᵐbax,56_belly
tan_hɛnɪ-na,57_intestines
na-sus,58_breast
liⁿdax,60_dog
na-nix,61_bird
nas,62_fish
nə-mat,63_snake
vɪlɛslɛs,64_worm
na-ɣut,65_louse
na-ɣariv_ⁿdɪknali,66_rat
ne-la,67_spider
na-mux,68_mosquito
ⁿdʳul,69_egg
balɣa-,70_tail
naɣaⁿde,71_wing
fəle,72_feather
nɛrnɛr,73_man
finaⁿdʳ,74_woman
tɛᵐbiʰ,75_child
na-haɣe,76_name
ⁿdɪⁿde,77_mother
tate,78_father
tata,78_father
leəx,79_husband
finaⁿdʳ,80_wife
laran,81_day
laᵐbuŋ,82_night
na-vil,83_moon
fivor,84_star
ⁿdakran,85_sky
nu-ã,86_water
na-nɛnd,87_lake
ⁿtah,88_sea
n-eh,90_smoke
ᵐbɪtɪɸ_navi,91_ash
nə-vat,92_stone
ⁿtan,93_earthsoil
ᵐbɛtkuʰ,94_dust
na-wɛn,95_sand
na-uh,96_rain
n-laŋ,98_wind
ᵐbɪtᵐbɪtekur,99_thunder
vlax,100_lightning
nɪ-ŋor,101_meatflesh
na-vəŋa,102_fruit
ⁿdʳohotɛra,103_woodsforest
lɪᵐba,104_root
raŋ,105_branch
ro,106_leaf
na-ɣa,107_wood
nɪ-nih,108_grass
nɪᵐbrax,109_flower
ni-at,110_thatchroof
na-in,111_house
na-rit,112_rope
na-hal,113_roadpath
-nɛt,114_black
-wuh,115_white
-nial,116_red
-xsan,117_green
-məɣɛl,118_yellow
-laⁿdlaⁿd,119_big
-ᵐbiʰ,120_small
-mon,121_sharp
-ᵐbatot,122_bluntdull
-nɣan,123_shyashamed
-trtəra,124_old
-ros,125_painfulsick
-nam,126_good
-hat,127_bad
-vratin,128_correcttrue
-lalo,129_dirty
-ⁿdʳivⁿdʳiɸ,130_rotten
-ⁿdʳoɸ,131_heavy
awe,132_far
-xəriɸ,133_near
-nalɣa,134_cold
-nɪnah,135_dry
-wair,136_wet
-məⁿdʳax,137_new
-mɛ,139_come
-fɪvial,140_walk
-tur,141_stand
-at,142_sit
-soɸ,143_fall
-ⁿdʳor,145_turn
-hɛx,146_climb
-huɸ,147_swim
-xaxaⁿd,148_flyverb
-sɛrɛɣe,149_throw
-tohuwɛɣi,150_hide
-wɛⁿdʳ,151_eat
-ninin,152_drink
-mamaɸ,153_yawn
-tⁿdi,154_spit
-netur_ᵐborbor,155_dream
-netur,156_sleep
-seliɸ,157_live
-nɛʰ,158_die
-ruᵐbɪ-ⁿdi-ni,159_kill
-roŋo,161_hear
-ŋuʰ,162_sniffsmell
-vɣaur,163_laugh
-ŋar,164_cry
-xan,166_burn
-ruᵐbruᵐbi,168_pound
-ruᵐbi,169_hit
-tɛsi,170_cut
-ⁿdʳeri,171_split
-ɣili,172_dig
-ⁿdʳɛlⁿdʳɛl,173_hunt
-uɣi,174_hold
-mtaɣit,175_fear
sɪᵐbeɣi,176_count
e-vɪn-laŋ,177_breathe
-lu,178_vomit
-miši,179_tieup
-ᵐbɣusi,180_squeeze
i-hol,181_swell
-vɛri,182_say
-koskosi,183_scratch
-voli,185_buy
-vnaɣe,186_steal
-lav,187_plant
-titin,188_cook
-vini,189_shoot
-ⁿdah,190_work
təɣahi,191_open
navil_ivnot,290_full_moon
soso_navil,303_half_moon
navil_ilu,364_new_moon
naut_imraŋ,248_dry_season
nau_iju,411_rainy_season
nta_itmbil,243_deep_ocean
nesiɸ_isiɸ,461_tsunami
nami,252_earthquake
ndlanŋ_irumb,232_cyclone
nau_ikikirax,325_sun_shower
naut_itndoɸ,446_storm
nevijal,410_rainbow
mbəlon_navat,225_cave
nijal,450_sun
ndak,208_banyan_tree
naut,291_garden
neni_mraŋ,229_coconut
nambomb,337_coconut_sprout_meat
tendr_nambomb,230_coconut_sprout
mbuwak,485_taro_wet
mbet,249_taro_dry
kaka,496_yam
nahor,207_banana
merev_mbuwak,453_taro_terrace
naut_lijar,497_yam_garden
mbətav,216_breadfruit
ndat,224_casava
kumala,316_sweet_potato
navi,492_taro_wild
nembus_navi,493_yam_wild
mboxo,396_pig
mboxo_ndro,401_pig_male
verend,398_pig_female
tombtomb,399_pig_hermaphrodite
nawel,421_sea_worm
naɸŋalaitretra,389_owl
krenet,287_flying_fox
nemre,254_eel
mbaxux,425_shark
mbilix,213_magic
mbarum_ndrondroman,467_deaden_ones_thoughts
mar_te_ixalenronte,247_traditional_dreamer
mar_te_ivembilix,405_man_who_makes_poison
nan,329_magic_for_love
roxa,317_traditional_medicine
mor_tite_ive_roxa,318_traditional_doctor_male
vinarte_ive_roxa,192_traditional_doctor_female
təmat,395_peace_ceremony
məleun,227_chief
rente_morti_ive_məleun,462_chief_ceremony
smbate_məleun,462_chief_ceremony
mboxo_ndimbal,400_pig_killing_ceremony
naŋki,400_pig_killing_ceremony
məleun_iwes_ndroɸe,226_ceremony_of_the_first_harvest
məleun_ikenken,372_offerings_to_ancestors
rəɸwul_ɸinandr,487_wedding
rətəlox_vinandr,217_bride_price
rəkelkel,428_sister_exchange
ləval,324_woman_who_married_brother_of_dead_husband
maŋgo,406_polygamy
tənetatra_tesne,198_ancestor
nemun_te_iselip,442_spirit_human
nemu:tna,242_spirit
mbɪalo,194_afterlife
ermarov_mbetli,475_direction_inland
ivan_erwa_lalta,476_direction_sea
ivalermaroɸ,370_north
ivalerwa,438_south
imelalta,253_east
ivalotenjal_itmbil,488_west
laxanditerververte,422_secret
lote_itlo:,413_restricted_place
ltexalte_rəverxoroi,414_restriction_taboo
xa_ɸaɸrax_tembaɸeɸente_itlo:,409_prepare_taboo
selivalham,304_heart
mbətɪm,478_umbilical_cord
nuwe_lau,197_amniotic_fluid
ntaŋ_nan_tembimbi,403_placenta
rundrurkur,360_piercing_nose
rurdrurelŋe,250_ear_piercing
nəmba,357_penis_sheath
naxotxar,334_mask
mbet_mbaraŋ,320_leaves_for_dance
mbotxot,320_leaves_for_dance
nijat,322_leaves_for_house
nen_məleun,332_gathering_house_for_men
naxnal,332_gathering_house_for_men
lialdral_notə_məleun,228_clearing_in_front_of_chiefs_house
loter_vavraxsar,440_space_for_dancing_ceremony
nuwaŋg,223_canoe
ndaxo,312_initiation_male
ɸinandr_itker,338_menstruation
ɸinandrə_atat,408_pregnant
iŋavil_romanahaxal,257_eleven
iŋavil_romananiru,477_twelve
