Niku,English Translation
luwas,48_hand
pa mwɛl,17_left
pa marua,16_right
laːna,52_leg
mial,140_walk
ᵐbrapa,113_roadpath
ovrim,139_come
obyluⁿko,145_turn
oje,147_swim
kototak,129_dirty
jaə,94_dust
kuliɛpena,55_skin
matuna,51_back
mapona,444_stomach
purijuna,54_bone
sĭnena,57_intestines
puriara,59_liver
ᵐbrajuna,58_breast
purkaɔnena,49_shoulder
kilia,315_know_understand
stomiana,458_to_think
merau,175_fear
saːna,53_blood
parna,40_head
komɛlkiːna,50_neck
ʷiluna,41_hair
pulkununa,43_nose
blopoña,177_breathe
ŋg̊ona,434_sniff
ᵐralijema,45_mouth
minema,47_tooth
pisaːle,163_laugh
saŋgĭ,164_cry
mĭlulua,178_vomit
siloro,154_spit
kinaːna,151_eat
karja,464_to_chew
praɛkap,188_cook
muña,152_drink
karpaja,212_to_bite
preʰa,448_suck
kiliŋgana,44_ear
ᵐblõŋge,161_hear
kinamerana,42_eye
opsuja,160_see
omaːmaljo,153_yawn
omono,156_sleep
oloru,144_liedown
omununuja,155_dream
ososano,142_sit
osmalu,141_stand
jererina,306_person
jerumene,73_man
sira,74_woman
niⁿsisi,75_child
oʰu,79_husband
oʰu,80_wife
aʰuja,77_mother
aːta,78_father
lumajaro,455_thatch
saⁿki,76_name
oʷere,182_say
kilka,112_rope
oʋiar,179_tieup
osuluja,167_sew
miliaŋ kuli,173_hunt
apinija,189_shoot
mijuria,184_stab
mʷea,169_hit
pinaun,186_steal
mʷemaria,159_kill
mɛre,158_die
maːal,157_live
koparia,183_scratch
asivija,170_cut
laki,107_wood
ase:paja,171_split
maːl,121_sharp
butubut,122_bluntdull
ᵐjuma,190_work
mapla,187_plant
sneman,465_to_choose
kapur,302_to_grow
mĭlapa,181_swell
buña,180_squeeze
ᵐblaraːria,174_hold
kilja,172_dig
pulja,185_buy
misaʷa,191_open
mʷea,168_pound
kuaⁿlua,149_throw
mĭloru,143_fall
kuli,60_dog
mɐnu,61_bird
kututusia,69_egg
ʷilulusia,72_feather
kupeːna,71_wing
ka,148_flyverb
kaʷe,66_rat
data,336_meat
mura,258_fat
eːna,70_tail
mara,63_snake
kular,64_worm
kurŭ,65_louse
nam,68_mosquito
kotomalil,67_spider
ika,62_fish
menuːn,130_rotten
korowas,105_branch
lumak,106_leaf
piliŋgas,104_root
ʷinak,109_flower
ᵐbralak,102_fruit
wilumene,108_grass
kotosano,93_earthsoil
klaʍer,92_stone
noːne,95_sand
wiː,86_water
wiːkiriːri,286_flow
si,88_sea
siʷe,419_salt
wiːmare,87_lake
lokoːna,103_woodsforest
sinapane,85_sky
kuparijo,83_moon
ʷerue,84_star
lul,97_cloud
maʰu,340_fog
juwa,96_rain
pulul,99_thunder
jepla,100_lightning
laŋgĭ,98_wind
oᵐjuja,165_blow
pisusun,483_hot
mĭjaʷa,134_cold
mema,135_dry
metu,136_wet
urum,131_heavy
kap,89_fire
miɔl,166_burn
miju,90_smoke
pɔsnojal,91_ash
malelɒ,114_black
miwe,115_white
piaŋga,116_red
perero,118_yellow
mak,117_green
takak,120_small
keviju,119_big
plaːsja,426_short
piaʰu,328_long
minini,457_thin
mererɔl,456_thick
brapa tekak,359_narrow
brapa keviju,489_wide
manuka,125_painfulsick
memawa,123_shyashamed
urŭmarua,124_old
urviju,137_new
po,126_good
piuwaŋa,127_bad
mɛsmɛsŭ,128_correcttrue
lemelɒ,82_night
lɛŋgiena,81_day
kasia,15_year
poŋgoaj,33_when
sapulu,150_hide
apwiju,146_climb
enene,202_at
laʰuma,39_ininside
maʷa,37_above
ʷaːsano,38_below
naŋa nani,35_this
nagarnaŋi,36_that
lavis,133_near
pɛrna,132_far
pe,32_where
onu,18_i
kɒ,23_thou
naŋga,26_heshe
iⁿsa,22_weallincl
sata,19_weallexcl
iⁿsalua,20_webothincl
omɛmlua,21_webothexcl
kamju,25_youall
kamlua,24_youboth
laːla,27_theyall
lalaŋgalua,28_theyboth
ia,30_what
aːj,31_who
tapona,138_other
laːla,195_all
amĭjo,199_and
pona,311_if
sanaːpe,34_how
meraːe,29_nonot
apuluːja,176_count
saŋga,1_one
lua,2_two
selu,3_three
ʷaːri,4_four
lima,5_five
orɑj,6_six
olua,7_seven
aʷɛri,8_eight
avɛri,9_nine
lualima,10_ten
lualima ʷa lua,11_twenty
lua ʷa lima,12_fifty
lualima ʷa lualima,13_onehundred
ponoti,14_onethousand
