Piamatsina,English Translation
tar βaha senaβul,14_onethousand
naβlapitu,424_seventy
senaβul raβe lima,284_fifteen
ŋaβlatol,460_thirty
senaβul raβe pitu,423_seventeen
tar βaha tewa,13_onehundred
teːwa,1_one
senaβul,10_ten
t͡ʃiwa,9_nine
ŋaβlalima,12_fifty
rua,2_two
lima,5_five
senaβul raβe tewa,257_eleven
senaβul raβe ono,430_sixteen
senaβul raβe t͡ʃiwa,367_nineteen
ŋaβlaaːlu,256_eighty
ŋaβlaono,431_sixty
βat,4_four
tol,3_three
ŋaβlaβaːti,289_forty
alu,8_eight
ŋaβlarua,11_twenty
senaβul raβe rua,477_twelve
senaβul raβe βaːt,288_fourteen
pitu,7_seven
ŋaβlat͡ʃiːwa,368_ninety
ono,6_six
senaβul raβe alu,255_eighteen
senaβul raβe tol,459_thirteen
ⁿᵈroⁿᵈro,82_night
rot͡ʃo,478_umbilical_cord
motina torow,290_full_moon
usa t͡ʃia,446_storm
namatui,229_coconut
heβheβ,325_sun_shower
toro wila,492_taro_wild
pata poj,402_pig_tusk
ran hina usa,411_rainy_season
taharuhu,401_pig_male
merena maraj,410_rainbow
napaka,208_banyan_tree
hoita,371_octopus
narara,248_dry_season
laŋ ina tasahao,253_east
napeho,216_breadfruit
naoβo,417_sail
umʷa,291_garden
laŋ los,232_cyclone
sosocere,246_dolphin
laŋ hi tas lamane,370_north
t͡ʃamʷa hina oβo,314_kava
taŋa,483_hot
mʷaso,450_sun
nahapu,223_canoe
tiana,338_menstruation
ⁿᵈrure,398_pig_female
laŋ hina cerenataua,438_south
mʷalo,412_reef
ⁿᵈram,496_yam
namuj,252_earthquake
pitona,494_womb
tihaβoce,425_shark
taŋa hina paule,227_chief
soj puhuti,230_coconut_sprout
pʷeta hina βura,485_taro_wet
moli,227_chief
poj,396_pig
narawe,399_pig_hermaphrodite
tastup,461_tsunami
pʷeta ⁿᵈriŋi,249_taro_dry
pʷana sule,225_cave
namo,243_deep_ocean
t͡ʃula,474_wood_for_moving_stones
βatali,207_banana
ⁿᵈram haw,333_manioc
halow,493_yam_wild
laŋ hina taβala,488_west
mʷat͡ʃoi,84_star
sulia,189_shoot
taŋi,164_cry
moru,188_cook
t͡siwa,9_nine
suiku,54_bone
varihi,137_new
nire βunβun,195_all
patiku,47_tooth
wawaku,45_mouth
mʷapʷeku,59_liver
taːsi,88_sea
raŋana,105_branch
matam,42_eye
mena,199_and
lusia,169_hit
matat͡sia,489_wide
haβena,71_wing
tahat͡sia,119_big
tano,93_earthsoil
limam,48_hand
nao,18_i
hapatia,83_moon
otoli,69_egg
pitu,7_seven
ⁿᵈroⁿᵈro,82_night
paraβu,132_far
sale,148_flyverb
moⁿᵈromonⁿᵈro,129_dirty
masau,85_sky
mano,61_bird
tanonoho,138_other
hatmotia,212_to_bite
