Neverversakan,English Translation
-sɐɣam,1_one
i-ru,2_two
i-tɬ,3_three
i-vas,4_four
i-lim,5_five
-ⁿt͡sos,6_six
-ⁿt͡soru,7_seven
-ⁿt͡sotɬ,8_eight
-ⁿt͡sovas,9_nine
-nɐŋaβul,10_ten
nɐŋaβul_i-ru,11_twenty
nɐŋaβul_i-lim,12_fifty
ni-siɣa,15_year
ᵐbaratn,16_right
nɛ-mʷɛr,17_left
ina,18_i
ᵑgit,22_weallincl
iox,23_thou
iᵑgam,25_youall
ei,26_heshe
i-sɪgen,29_nonot
nɛ-sɛɣan,30_what
isix,31_who
aᵐbi,32_where
i-tma,34_how
-arɣa,37_above
-laᴩan,38_below
-buxut,39_ininside
ᵐbat-n,40_head
no-roᵐbat-n,41_hair
nɛ-md-an,42_eye
na-ɣaⁿt͡s-un,43_nose
nɪ-ⁿdliŋ-am,44_ear
no-ᵐboŋ-om,45_mouth
ne-lɛm-ɛn,46_tongue
nu-luv-uŋ,47_tooth
nɛ-vɛɾa-m,48_hand
ᵑgutuvɛram,49_shoulder
nɛ-ⁿdl-an,50_neck
ᵑgal-ɛm,51_back
nɛ-gɛl-ɪm,52_leg
nɛ-ⁿdʳe,53_blood
ᵐboloŋ-on,54_bone
ni-vy-n,55_skin
nɛ-ⁿdɛmug-ɛm,56_belly
nɛ-sɛn,57_intestines
na-sus,58_breast
nɛ-ᵐbaᵐbʷ-in,59_liver
na-ɣaᵐbʷir,60_dog
ne-man,61_bird
nɛ-mat,63_snake
no-ɣoⁿdɛlas,64_worm
na-ɣut,65_louse
ni-ᵐbusᵐboh,66_rat
nɪ-toɣaⁿt͡s,68_mosquito
nu-ᵑgovi-n,69_egg
ni-vily-n,72_feather
nu-muɣʊt,73_man
no-mormox,74_woman
nɛ-tɛrix,75_child
nɪ-liⁿʧ-am,76_name
ni-ⁿda,77_mother
mama,78_father
xaβut-ox,79_husband
nu-moɣomoɣ-tox,80_wife
na-vʉl,83_moon
nɪ-vinəmt͡sɔ,84_star
ni-o,86_water
nɪ-tusu,88_sea
na-ɣɑmp,89_fire
-tɛltɛl,90_smoke
nɛ-vat˺,92_stone
nɪ-ᵐbʷɪtan,93_earthsoil
nɪ-βulansɛlans,95_sand
na-us,96_rain
ne-laŋ,97_cloud
nɛ-ᵐbalvar,99_thunder
lɛlɛŋau,100_lightning
ni-visɛɣo-n,101_meatflesh
nɪ-voᵑgen,102_fruit
nɪvon_ɣatɛɾo,103_woodsforest
no-ᵑgorɛ-n,104_root
nɪ-taβɛra-n,105_branch
na-xa,107_wood
nu-soŋsoŋ,108_grass
nɪ-voᵑgen,109_flower
ni-at,110_thatchroof
na-xamal,111_house
no-xɔ,112_rope
nɛ-sal,113_roadpath
-mɛtmɛt,114_black
-ioviop˺,115_white
i-mial,116_red
i-mɪlaɣɪⁿt͡s,117_green
-iaŋiaŋ,118_yellow
-laᵐblaᵐb,119_big
-lele,120_small
i-maŋal,121_sharp
i-mimɛɣan,123_shyashamed
-tɪɾo,124_old
i-ⁿt͡sal,125_painfulsick
i-ruβix,126_good
i-is,127_bad
i-momo,130_rotten
i-map˺,131_heavy
-ale,132_far
-lile,133_near
i-masɪmas,135_dry
i-mɪⁿda,136_wet
i-βiβa,137_new
aⁿdlean,138_other
ᵐʙu-lɛm,139_come
go-βaβo,140_walk
-tur,141_stand
ku-vorvor,142_sit
-ⁿdake,143_fall
-ⁿdʳiox,145_turn
gu-saka,146_climb
ᵑgui-lɛs,147_swim
i-al,148_flyverb
kan-ian,151_eat
ku-mimin,152_drink
-pəre,154_spit
bu-gitᵑgitᵐbori,155_dream
-matur,156_sleep
i-maor,157_live
i-mas,158_die
kup-te-i-mas,159_kill
ⁿʧuŋʧuŋ,162_sniffsmell
-tɛx,163_laugh
-ŋar,164_cry
i-βoβu,165_blow
ku-tete,168_pound
-te,169_hit
kuᵐbu-gil,172_dig
-koko,173_hunt
-lis,175_fear
-tutmon,176_count
-brɛvninoq,177_breathe
-ᵑga_tata,179_tieup
ku-ᵐʙul,185_buy
-lapinoq,186_steal
-titn,188_cook
ᵐbu-lu,189_shoot
