Wusi,English Translation
naβul raβerua,424_seventy
hanaβul t͡ʃuma lima,284_fifteen
naβul toːlu,460_thirty
hanaβul t͡ʃuma raβerua,423_seventeen
naβil βaʔɑ ehe,13_onehundred
ehe,1_one
hanaβul,10_ten
rapaːti,9_nine
naβul liːma,12_fifty
rua,2_two
liːma,5_five
hanaβul t͡ʃuma ehe,257_eleven
hanaβul t͡ʃuma limaraːβe,430_sixteen
hanaβul t͡ʃuma rapaːte,367_nineteen
naβul raptoːlu,256_eighty
naβul limaraːβe,431_sixty
βaːti,4_four
tolu,3_three
naβul βaːte,289_forty
raptoːlu,8_eight
naβul rua,11_twenty
hanaβul t͡ʃuma rua,477_twelve
hanaβul t͡ʃuma βaːte,288_fourteen
raβerua,7_seven
naβul rapaːte,368_ninety
limaraːβe,6_six
hanaβul t͡ʃuma raptoːlu,255_eighteen
hanaβul t͡ʃuma tolu,459_thirteen
rot͡ʃo,478_umbilical_cord
uha hwej,446_storm
matui,229_coconut
pʷwete ila,492_taro_wild
ut͡ʃui pʷeʔi,402_pig_tusk
rani nauha,411_rainy_season
laho,401_pig_male
hartejmat͡ʃa,410_rainbow
woromarua,413_restricted_place
napaka,208_banyan_tree
uita,371_octopus
rani namaho,248_dry_season
oho arat͡ʃi,364_new_moon
leβu,216_breadfruit
oβo,417_sail
umʷa,291_garden
laːni,232_cyclone
urakue,246_dolphin
laβina,408_pregnant
ruru,314_kava
tana,483_hot
mʷaho,450_sun
aːβi,223_canoe
tiana,338_menstruation
mʷat͡ʃuʔa,398_pig_female
mʷalo,412_reef
olou,496_yam
mui,252_earthquake
putono,494_womb
paʔoe,425_shark
tana ima   ruhu,227_chief
tuβuna,230_coconut_sprout
loma,485_taro_wet
moli,227_chief
pʷeʔi,396_pig
rawe,399_pig_hermaphrodite
tah poren,461_tsunami
uma,249_taro_dry
papamʷalo,225_cave
liwantahe,243_deep_ocean
cira,474_wood_for_moving_stones
βatali,207_banana
paloa,333_manioc
olowila,493_yam_wild
