Taolia,English Translation
limana,48_hand
mʷɛli,17_left
lima marua,16_right
laʰu mʷeli,52_leg
emjali,140_walk
depa,416_road
wɛjmi,139_come
ojlomoj,145_turn
okulu,147_swim
kororoki,129_dirty
suplujaj,94_dust
kulusia,55_skin
kasmanena,51_back
mopʷena,444_stomach
puriuna,54_bone
snena,57_intestines
puriere,59_liver
tajuna,58_breast
sivina limana,49_shoulder
niŋgilia,315_know_understand
stomena,458_to_think
nemaraʰu,175_fear
ta:,53_blood
puli:kina,50_neck
ilupa:na,41_hair
kunu:na,43_nose
mijeve,177_breathe
lopon᷈a,434_sniff
kuluŋgona,45_mouth
daluʷena,47_tooth
kumenena,46_tongue
pitale,163_laugh
taŋgi,164_cry
lualua,178_vomit
pla:siri,154_spit
kinana,151_eat
karia,464_to_chew
mʷɛn nginanona,188_cook
mun᷈a,152_drink
karija,212_to_bite
momomja,448_suck
kiliŋgana,44_ear
loŋgea,161_hear
komɛrana,42_eye
malja,160_see
mɛli,153_yawn
mamaljo,156_sleep
toveve,144_liedown
muninija,155_dream
totono,142_sit
sumalu,141_stand
jererina,306_person
jerumene,73_man
si:ra,74_woman
si:si:,75_child
sɛrmarua,79_husband
sesare marua,80_wife
aneu,77_mother
satata,78_father
juma,111_house
dakenita,455_thatch
ki:,76_name
ojsa,182_say
kilĭka,112_rope
ojtearja,179_tieup
osuluja,167_sew
kurumoli,362_needle
tɛj kori,173_hunt
evinija,189_shoot
mʷjurja,184_stab
namʷeʰa,169_hit
vinao,186_steal
mʷemaria,159_kill
mare,158_die
ma:li,157_live
kuparia,183_scratch
tea,170_cut
laki,107_wood
tepaja,171_split
meto:oto,121_sharp
maʰo,122_bluntdull
mʷumʷe,190_work
mavila,187_plant
viloʰa,465_to_choose
pitojĭ,302_to_grow
siropⁱ,181_swell
pun᷈a,180_squeeze
puraria,174_hold
okilija,172_dig
puli:a,185_buy
pikea,191_open
mᵚemᵚea,168_pound
kuparia,149_throw
loru,143_fall
lekuli,60_dog
ma:nu,61_bird
kuluto,69_egg
ilusia,72_feather
kupena,71_wing
ka:,148_flyverb
kawe,66_rat
kuᵐbui,336_meat
mura,258_fat
kina,70_tail
lemʷara,63_snake
kulari,64_worm
ku:ru,65_louse
na:mu,68_mosquito
koromalulu,67_spider
i:ka,62_fish
menuni,130_rotten
koroʰasia,105_branch
maki,106_leaf
luŋgasia,104_root
inaki,109_flower
da:ki,102_fruit
damweni,108_grass
snatono,93_earthsoil
klaru,92_stone
no:ne,95_sand
wi:,86_water
wikiriri,286_flow
loosi,88_sea
la:pa,87_lake
lokon marua,103_woodsforest
skorkomeme:,85_sky
kupario,83_moon
erue,84_star
sikoriko,97_cloud
polu:lu,340_fog
juwa,96_rain
polu:lu,99_thunder
jokarpila,100_lightning
laŋĭ,98_wind
mʷuwui,165_blow
ʋitunu,483_hot
miaʋa,134_cold
ma,135_dry
meme,136_wet
urumi,131_heavy
ja:to,89_fire
ʋaŋga,166_burn
jopuwa,90_smoke
lelameme,91_ash
mugoluko,114_black
miwowo,115_white
pili:l,116_red
leleru,118_yellow
meme,117_green
taki:to,120_small
tahura,119_big
pla:sia,426_short
pi:aj,328_long
meniniʋ,457_thin
merorɔl,456_thick
mataʋa,359_narrow
lolopan,489_wide
mila:,125_painfulsick
mʷawa,123_shyashamed
pɛrmarua,124_old
naʰu,137_new
po:,126_good
puluʷil,127_bad
mɛsmɛs,128_correcttrue
poŋgɛn,82_night
lipaj,81_day
kasia,15_year
poŋgiaj,33_when
kʷanlon᷈a,150_hide
pumaja,146_climb
loosia,39_ininside
ma:ja,37_above
tomopʷɛn,38_below
naŋani ,35_this
naŋaru,36_that
lajisiŋga,133_near
pɛrŭna,132_far
pe:,32_where
nu,18_i
ko,23_thou
naŋa,26_heshe
ita,22_weallincl
mɛmi,19_weallexcl
italua,20_webothincl
italuaŋa,21_webothexcl
amju,23_thou
amjulua,24_youboth
naŋgala,27_theyall
naŋgalaluaŋa,28_theyboth
ja:,30_what
ja:j,31_who
pasia,138_other
naŋgala,195_all
aljo,199_and
ŋge,311_if
se:pe,34_how
po:li,29_nonot
oʰuluja,176_count
taŋga,1_one
lua,2_two
tolu,3_three
ʋari,4_four
lima,5_five
orɑ:j,6_six
olua,7_seven
orɔlu,8_eight
ovari ,9_nine
lualima,10_ten
lualima lua,11_twenty
lualima lima,12_fifty
ponotia taŋ,13_onehundred
mantaŋ,14_onethousand
