Axambsmallisland,English Translation
-ʧkai,1_one
a-ru,2_two
a-rur,3_three
a-faʧ,4_four
a-rm,5_five
harm_ro_ʧkai,6_six
arm_ra_ha-ru,7_seven
arm_ra_ha-rur,8_eight
arm_ra_ha-paʧ,9_nine
sɪŋavur,10_ten
nɛ-sɪɣa,15_year
tiɣawi,16_right
timʷair,17_left
anao,18_i
ⁿdato_pa_rune,19_weallexcl
ⁿdaru,20_webothincl
maru,21_webothexcl
ⁿdato,22_weallincl
xaiuŋk,23_thou
nto_pa_rune,24_youboth
aɲe,26_heshe
ato,27_theyall
ivorsai,30_what
asi,31_who
aᵐbi,32_where
samɪriar,33_when
ivorsai,34_how
ɲeɣa,35_this
ɲea,36_that
tɛvn,38_below
na-ᵐbun_ᵐburun,39_ininside
ᵐbʷarɪ-n,40_head
suvur_ᵐbarɪ-n,41_hair
na-mɪrɛ-n,42_eye
ᵐʙoroᵑgonsu-n,43_nose
ⁿdarɪŋɛ-n,44_ear
ᵐbaŋo-n,45_mouth
maluwɛ-n,46_tongue
na-ruvʷo-n,47_tooth
na-fɪrɛ-n,48_hand
ᵐbarvoso-n,49_shoulder
xaluwɛ-n,50_neck
nɪ-mʷaⁿdʳ-n,51_back
na-ri-n,52_leg
ⁿdʳe,53_blood
na-ᵐbulᵐbul,54_bone
na-vru-n,55_skin
ᵐbaɣavu-n,56_belly
na-ɣavtɪlam,57_intestines
na-sus,58_breast
nɪ-mamf,59_liver
lipax,60_dog
nɪ-mæn,61_bird
na-jɪx,62_fish
na-mʷɛr,63_snake
ⁿdʳuŋlæʧ,64_worm
na-xur,65_louse
na-ɣasu,66_rat
na-ᵑgao,67_spider
nam,68_mosquito
mavɪⁿdʳor,69_egg
na-ᵐʙuʧʊ-n,70_tail
na-xaᵐbɛ-n,71_wing
na-vurvur,72_feather
reɛn,73_man
na-pɪnevʊr,74_woman
tete,75_child
naxs,76_name
nana,77_mother
tata,78_father
suom_ne_na-ɣavuwi,79_husband
suom_ne_pɪnevur,80_wife
urⁿdas,81_day
limaroŋ,82_night
xambaʧi,83_moon
mʷaʧi,84_star
mælᵐbuʃ,85_sky
nu-woi,86_water
na-ras,88_sea
xamp,89_fire
-tuŋ,90_smoke
ⁿdʳɪlɪwilax,91_ash
nɪ-vær,92_stone
na-ran,93_earthsoil
ni-af,94_dust
na-ᵐboŋan,95_sand
na-uʃ,96_rain
nɪ-mæroŋk,97_cloud
nɪ-raŋ,98_wind
na-xorve,99_thunder
kaᵐbl,100_lightning
nɪ-vɪsox,101_meatflesh
na-vʷɛn,102_fruit
liɣaiɣai,103_woodsforest
ɣaʧɪ-n,104_root
paʧɪ-n,105_branch
raun,106_leaf
na-ɣai,107_wood
na-ᵐbolᵐbol,108_grass
na-ᴩusʊ-n,109_flower
ni-ar,110_thatchroof
likalim,111_house
na-ɣao,112_rope
na-ser,113_roadpath
-mɛrmɛɾ,114_black
-rɛnrɛⁿdʳ,115_white
-paŋpaŋ,116_red
-kɪʧɛn,117_green
-lʉtlʉt,118_yellow
-lɛmb,119_big
-kiki,120_small
-kan,121_sharp
-siᵐba_kan,122_bluntdull
-mɪmɣan,123_shyashamed
-xaivur,124_old
-msax,125_painfulsick
-fui,126_good
-samp,127_bad
-lɛmlɛm,128_correcttrue
-ʧaŋʧaŋk,129_dirty
-mom,130_rotten
-mɛv,131_heavy
-aʧuⁿdʳ,132_far
-pɛrɪʧaŋk,133_near
-susmʷɛl,134_cold
-fuvu,137_new
-fan,140_walk
-ruaŋk,141_stand
-sumasump,142_sit
-ⁿdʳɪm,143_fall
-paʧ_vivɛn,144_liedown
-kovsani,145_turn
-sax,146_climb
-ᵑgar,147_swim
-mɪrax,148_flyverb
-ᵐbuli,149_throw
-suwani,150_hide
-kan,151_eat
-mʉn,152_drink
-malol,153_yawn
-ᴩure,154_spit
na-ᵐbure,155_dream
-paʧ,156_sleep
-maur,157_live
-mæʧ,158_die
tamɪsᵐʙuni,159_kill
ka-rɪf,160_see
-paloni,161_hear
-ᵐbalo_na-ᵐbʷon,162_sniffsmell
-mɛn,163_laugh
-raŋ,164_cry
-uvuf,165_blow
-paŋ,166_burn
-tamtamzi,168_pound
-ʧavi,170_cut
-xəri,172_dig
-kao,173_hunt
-tɪŋao,174_hold
-mɪrax,175_fear
-pəxəni,176_count
-ɲarsao,177_breathe
-lu,178_vomit
-pɪsi,179_tieup
-ᵐʙusi,180_squeeze
-tœmʙ,181_swell
-kare,182_say
-xalumʷi,183_scratch
-ruri,184_stab
-furi,185_buy
-fɪnaɣɔ,186_steal
-lumʷi,187_plant
-tanun,188_cook
-fɪni,189_shoot
-ŋas,190_work
-siŋavani,191_open
