Sahaa,English Translation
hu,1_one
ɾu,2_two
til,3_three
it,4_four
mbelim,5_five
lim,5_five
lɪtɛ,6_six
liuɾu,7_seven
bwelitil,8_eight
beliapat,9_nine
hɔŋil,10_ten
wahɛ,15_year
ɾanmamtu,16_right
mamtu,16_right
ɾanbamɪɾ,17_left
ni,18_i
ŋɡema,19_weallexcl
kaku,20_webothincl
wankɔβɔŋa,21_webothexcl
ɡema,22_weallincl
ɪk,23_thou
koande,24_youboth
ɡɪmɪ,25_youall
e,26_heshe
eɾante,27_theyall
ɾakʊ,28_theyboth
ehe,29_nonot
ompepeha,30_what
hiɾɛ,31_who
orpe,32_where
naŋe,33_when
wamɾe,37_above
bwapan,38_below
lon,39_ininside
butuk,40_head
walʊk,41_hair
kilintak,42_eye
ɡuhuk,43_nose
dalŋik,44_ear
mbabuŋuk,45_mouth
mɛk,46_tongue
lum,47_tooth
rak,48_hand
hinban,49_shoulder
mbiknak,50_neck
haluk,51_back
lim,52_leg
da,53_blood
bahaɾun,54_bone
belam,55_skin
teβwak,56_belly
mare,57_intestines
sun,58_breast
melam,59_liver
kuli,60_dog
mbwɛhɪl,61_bird
mahalɔ,62_fish
taltil,63_snake
ʊt,65_louse
barkɛ,67_spider
waŋkan,68_mosquito
asun,69_egg
ɡeren,70_tail
alben,71_wing
arman,73_man
ɛhɪn,74_woman
walɪtɪ,75_child
sɪn,76_name
tahik,77_mother
temak,78_father
oɾmaran,81_day
mɪlɪk,82_night
ʊl,83_moon
toŋtoŋ,85_sky
wa,86_water
tah,88_sea
yap,89_fire
suap,90_smoke
kilibul,91_ash
iat,92_stone
tan,93_earthsoil
on,95_sand
ɔh,96_rain
laŋ,98_wind
bwaɾuɾut,99_thunder
bɪlbɪl,100_lightning
ehinak,101_meatflesh
waptua,102_fruit
roti,104_root
heɾeti,105_branch
ɾaptua,106_leaf
rasuli,108_grass
im,111_house
aʊli,112_rope
pwahil,113_roadpath
mwamlimlik,114_black
palpal,115_white
miŋiŋi,116_red
mahahakan,117_green
mamlolo,118_yellow
berlap,119_big
ndoɾeɾe,120_small
kan,121_sharp
mbetu,126_good
mbɔr,130_rotten
ma,131_heavy
ɔɾnau:t,132_far
bɛlɪn,133_near
mɛla,134_cold
maɾkol,135_dry
meh,136_wet
ɔrma,139_come
ɛhɛpɛl,140_walk
atah,142_sit
epat,144_liedown
ɛplanɛ,146_climb
ɛlɔh,147_swim
pahane,149_throw
ɛnɛ,151_eat
iyan,151_eat
min,152_drink
paɾmɛlɛ,155_dream
ɛntur,156_sleep
mwamiɾ,157_live
matan,158_die
bahalɛ,160_see
ɔɾɔŋne,161_hear
mbon,162_sniffsmell
manman,163_laugh
mau,165_blow
elholo,167_sew
ɛhɛwɪ,169_hit
ɛrɛbutua,170_cut
kil,172_dig
taŋkete,174_hold
mamta,175_fear
ɛpulŋɛ,176_count
lu,178_vomit
ebɔɾketeŋa,179_tieup
kumti,180_squeeze
puhune,180_squeeze
maklɔ,181_swell
ompepe,182_say
karmu,183_scratch
eom,190_work
esiane,191_open
