Ngatataremb,English Translation
suai,1_one
-ru,2_two
ni,18_i
nɪᵑgit,22_weallincl
ᵑgu,23_thou
ti,26_heshe
nevak,30_what
ᵑgu,31_who
ɛve,32_where
-araxai,37_above
-ᵐbʷisĩ,38_below
-suŋ,39_ininside
mɛti-n,42_eye
ᵐborman,60_dog
maklam,73_man
naɣai_tuai,74_woman
nɛti,75_child
maⁿda-i,77_mother
ⁿdata-i,78_father
livaɣat,82_night
woi,86_water
suwe,88_sea
na-us,96_rain
laku,103_woodsforest
na-ɣai,107_wood
me-tal,112_rope
ni-sɛl,113_roadpath
-map,115_white
lam,119_big
lele,120_small
maklam,124_old
naɣai,126_good
i-si,127_bad
-ᵐbʷɛl,139_come
-tɛr,141_stand
-for,142_sit
-sɛlɛs,147_swim
-tao,151_eat
-mɪn,152_drink
-mɛtavuk,156_sleep
-mas,158_die
kɪ-ᵑgis_i-mas,159_kill
ᵐbʷit_ᵑgis,169_hit
-tɛ,170_cut
-βul,185_buy
-savuk,187_plant
