Avoksmallisland,English Translation
-ʧɪkɪnene,1_one
o-ru,2_two
o-rɛr,3_three
o-væʧ,4_four
ŋo-rm,5_five
mɛr-ʧukai,6_six
mɛɣvaivɪ-ru,7_seven
mɛɣvaivɪ-rʊr,8_eight
mɛɣvaivɪ-vaʧ,9_nine
sɪŋavʊr,10_ten
sɪŋavur_vaɣavu,11_twenty
sɪŋavur_vaɣarm,12_fifty
ha-sɪɣa,15_year
tiɣavoi,16_right
timʷair,17_left
arnao,18_i
ⁿdaru,20_webothincl
xamto,21_webothexcl
xaiŋk,23_thou
xamto,24_youboth
xamɪru,25_youall
aŋai,26_heshe
ito,27_theyall
ɛru,28_theyboth
awa,29_nonot
nɪsavi,30_what
hasi,31_who
ambi,32_where
savᵐbon,33_when
o-ᵑgɪᵐbi,34_how
hənaiəɣa,35_this
ha-miɛx,37_above
-pevaxər,38_below
-lʉnalʉn,39_ininside
ᵐbʷarə-n,40_head
sɪvr_ᵐbʷarɪ-n,41_hair
mær-n,42_eye
xonsu-n,43_nose
ⁿdariŋə-n,44_ear
ᵐbaŋo-n,45_mouth
meluwu-n,46_tongue
na-ruvʷo-n,47_tooth
na-viɛ-n,48_hand
ᵐbarvosu-n,49_shoulder
xalu-n,50_neck
maⁿdʳɪ-n,51_back
na-riɛ-n,52_leg
næ-ⁿde,53_blood
ᵐʙulᵐʙul,54_bone
xorxor,55_skin
ᵐbəɣavʊ-n,56_belly
ʧɪnɪ-n,57_intestines
susu-n,58_breast
lipax,60_dog
mæn,61_bird
na-jɛx,62_fish
na-mʷər,63_snake
ⁿdunlæʧ,64_worm
na-xur,65_louse
ɣasu,66_rat
liŋesiŋes,67_spider
n-nam,68_mosquito
ⁿdavʊr_imæn,69_egg
ᵑgexər,70_tail
xaᵐbiɛ-n,71_wing
a-vʊrxor,72_feather
na-rɛn,73_man
pɪnaɣevʊr,74_woman
xoɣortete,75_child
na-ɣəs,76_name
næna_sa-ŋ,77_mother
tata_sa-ŋk,78_father
xeavʊr_sa-ŋ,79_husband
ᵐbʷariɛm_sa-ŋ,80_wife
vurmatas,81_day
limæroŋ,82_night
xəᵐbæʧi,83_moon
mʷaʧɪ,84_star
mæroŋ,85_sky
nu-woi,86_water
limliᵐbor,87_lake
na-ras,88_sea
na-ɣamᴩ,89_fire
-ᵐbʷas,90_smoke
maʧiav,91_ash
nɪ-vær,92_stone
nɪ-ran,93_earthsoil
masiav,94_dust
na-ᵐbuŋan,95_sand
na-us,96_rain
mæroŋ,97_cloud
-ᵐbariɛŋ,98_wind
na-xurve,99_thunder
kaᵐbl,100_lightning
ha-vʷisox,101_meatflesh
fʷaxər,102_fruit
narorɔ_ɣat͡saɣat͡s,103_woodsforest
xaʧərər,104_root
ᵐbʷaʧexər,105_branch
nu-xur,106_leaf
na-ɣai,107_wood
miɛⁿdʳʊv,108_grass
ᴩusexər,109_flower
niar,110_thatchroof
na-lejim,111_house
na-mɪrse,113_roadpath
-mɛrmɛr,114_black
-pəɣaᴩʊx,115_white
-paŋəpaŋ,116_red
-iaŋəiaŋ,118_yellow
-ᵐbʷao,119_big
-keke,120_small
-kan,121_sharp
ᵐʙut,122_bluntdull
-mɪmaɣan,123_shyashamed
roviɛ-xaiavʊr,124_old
-mæsax,125_painfulsick
ho-vʷoi,126_good
vo-samᴩ,127_bad
kɪ-naɣanax,128_correcttrue
amom,130_rotten
ho-miɛʧ,131_heavy
-aʧʉⁿdʳ,132_far
-pɪʧaŋ,133_near
susus,134_cold
-mɪmɛs,135_dry
-mʉʧəmʉʧ,136_wet
-veveo,137_new
væ-mi,139_come
-fanvan,140_walk
-šealaŋ,141_stand
-tɛɪx,143_fall
-pair,145_turn
-saxani,146_climb
-ᵑgəᵑgar,147_swim
-miɛx,148_flyverb
-ᵐbʷɪlni,149_throw
-susuwani,150_hide
ŋo-ɣan,151_eat
ŋo-mʉn,152_drink
-malʉl,153_yawn
ŋo-ᴩule,154_spit
-paʧ_ᵐbʷɛrɪᵐbʷɛr,155_dream
-paʧ,156_sleep
-maur,157_live
-mæʧ,158_die
-tamɪs-ᵐʙuni,159_kill
-karəv,160_see
-pæloŋni,161_hear
naᵐbon,162_sniffsmell
ŋo-mɪn,163_laugh
no-raŋ,164_cry
ŋo-vuv,165_blow
ŋo-pæŋ,166_burn
-tʊɣtoɣi,168_pound
-tamsi,169_hit
-ʧavi,170_cut
-ʧapoi,171_split
-xəri,172_dig
-kəkao,173_hunt
-taŋaʧi,174_hold
mærax,175_fear
-pɪpɛxɪni,176_count
-pɪlɪv-ᵐbʷariɛn,177_breathe
ŋo-lu,178_vomit
-pɪsi,179_tieup
ᵐʙusini,180_squeeze
ho-tɛʊᵐʙ,181_swell
ᵑgo-ke,182_say
-xaruwi,183_scratch
-ʧuɣi,184_stab
-vuri,185_buy
-vɪnaɣo,186_steal
-lumʷi,187_plant
-pænun,188_cook
-vɪni,189_shoot
-ᵑgas,190_work
-ʧɪŋavɪni,191_open
