Larevatfwishile,English Translation
saɣaŋk,1_one
ru,2_two
tl,3_three
fes,4_four
tlɪm,5_five
ⁿʧos,6_six
ⁿʒoru,7_seven
ⁿʒotl,8_eight
ⁿʒovɪs,9_nine
ni-soɣɔ,15_year
ⁿdɪlɪmɛt,16_right
xamɛr,17_left
ᵑgn,18_i
ᵑgomom,19_weallexcl
ᵑgar_ru,20_webothincl
kam_i-ru,21_webothexcl
ᵑgar,22_weallincl
ᵑgum,23_thou
kam_ɪ-ru,24_youboth
ᵑgam,25_youall
ar,27_theyall
ar_ru,28_theyboth
ⁿʧaɣan,30_what
taɣan,31_who
aɪmbe,32_where
ᵐbaŋaz,33_when
vɪsax,34_how
ivis,35_this
ivɛɾ,36_that
-axus,37_above
-avɛn,38_below
ᵐboɣʊt,39_ininside
ᵐbatɛr,40_head
naɣavʷɪn_ʧilɪn,41_hair
mɛtɛr,42_eye
nɪ-ᵑgoⁿʧɪn,43_nose
ⁿdɛliŋar,44_ear
ᵐboŋor,45_mouth
mɪmɛr,46_tongue
lɪvr,47_tooth
far,48_hand
arbarr,49_shoulder
ʧɪlɛr,50_neck
ᵐbəlɛr,51_back
ⁿdalr,52_leg
nɪⁿdʳ,53_blood
ⁿʧi-n,54_bone
nɛ-ᵐbr,55_skin
ⁿdaᵐbaɣar,56_belly
ni-sɪnɛr,57_intestines
ⁿʒɪs,58_breast
liᵐbax,60_dog
nɪ-mɪn,61_bird
nɪ-mɪⁿʧ,62_fish
n-mat,63_snake
ʧɪlas,64_worm
no-ɣʊt,65_louse
laᵐbət,66_rat
nɛl,67_spider
nam,68_mosquito
na-ran_ⁿdʳɪzn,69_egg
nɪvɪlɣan,70_tail
no-xo_var-n,71_wing
mowɛn,72_feather
moɣman,73_man
nevɪn,74_woman
ⁿdeⁿde,75_child
nɪ-ᵑgɪs,76_name
nunu,77_mother
ᵐbatu,78_father
nelax,79_husband
nevɪn_so-ŋk,80_wife
irɛn,81_day
iᵐbuŋ,82_night
na-vəl,83_moon
manʧe,84_star
na-we,86_water
ⁿdes,88_sea
na-ɣamp,89_fire
tɛl,90_smoke
nɛ-avɪn,91_ash
nɪ-vɪt,92_stone
ⁿdemp,93_earthsoil
naɸ,94_dust
no-on,95_sand
no-os,96_rain
ⁿdoŋⁿdoŋ,97_cloud
n-laŋ,98_wind
ᵐbelevar,99_thunder
nɛ-vlvl,100_lightning
nɪ-vɪshaɣn,101_meatflesh
na-vɪɣan,102_fruit
lɛmp,103_woodsforest
no-xor-n,104_root
ŋaraz-n,105_branch
na-ro-n,106_leaf
na-ɣe,107_wood
vɛlvɪlɪs,108_grass
nɪ-vuŋʊn,109_flower
nat,110_thatchroof
nɛ-m,111_house
no-x,112_rope
nɪ-sɛl,113_roadpath
-muʧ,114_black
-uvəɣe,115_white
-miɛl,116_red
-xanʧɛn,117_green
-waⁿʧ,118_yellow
-tɪlɛmp,119_big
-falo,120_small
-fɪvɪl,121_sharp
-pɪᵐbuʧ,122_bluntdull
-moxomoɣan,123_shyashamed
-tɛrɛmp,124_old
-mɪsax,125_painfulsick
-ⁿdʳɛs,126_good
-sœt,127_bad
-faⁿdk,128_correcttrue
-mɪʧ,129_dirty
-momoh,130_rotten
-ⁿdʳav,131_heavy
-aso,132_far
-faxᵐbɔx,133_near
-melaɣas,134_cold
-mɪmɪs,135_dry
-wɛr,136_wet
-mɛⁿdʳ,137_new
-fɛl,139_come
-ləŋləŋ,140_walk
-tar,141_stand
-ʧox,142_sit
-ⁿdʳəm,143_fall
-mɪtmetr,144_liedown
-fɪlɪs,145_turn
-saxən,146_climb
-ᵑgor,147_swim
-mɛrax,148_flyverb
-ivsaɣan,149_throw
-sɪlaɣn,150_hide
-haxan,151_eat
-mɪn,152_drink
mɪmɛr,153_yawn
-vre,154_spit
-metrxəmp,155_dream
-metr,156_sleep
-mor,157_live
-mɛs,158_die
-xɔʧ_ᵐbn,159_kill
-rɛs,160_see
-roŋ,161_hear
-mevɪn,162_sniffsmell
-xar,163_laugh
-taŋ,164_cry
-smp,165_blow
-faŋ,166_burn
lɛlɤmᴮ,167_sew
-xoʧrʊʧ,168_pound
-xoʧ,169_hit
-tar,170_cut
ɲar_avr,171_split
-xl,172_dig
-rorox,173_hunt
-roxov,174_hold
-mɪtitox,175_fear
-ivivox,176_count
-ᵑgus,177_breathe
-lu,178_vomit
-ᵐbaŋk,179_tieup
-fus,180_squeeze
-lɪlʊmp,181_swell
-far,182_say
-xarxarɛs,183_scratch
-fərər,184_stab
-fl,185_buy
-fenox,186_steal
-lav,187_plant
-lu,189_shoot
-maŋar,190_work
-ⁿʒevan,191_open
