Narango,English Translation
taw,14_onethousand
mo navravrua,424_seventy
mo sanaβul ⁿᵈroman mo limə,284_fifteen
mo navultul,460_thirty
mo sanaβul ⁿᵈroman mo raβrua,423_seventeen
lavul,13_onehundred
maːte,1_one
mo sanaβul,10_ten
mo rapat,9_nine
mo navlima,12_fifty
mo rua,2_two
mo lima,5_five
mo sanaβul ⁿᵈroman maːt,257_eleven
mo sanaβul ⁿᵈroman mo limraːβ,430_sixteen
mo sanaβul ⁿᵈroman mo raɸpaːt,367_nineteen
mo navravtul,256_eighty
mo navlimraɸ,431_sixty
mo vaːt,4_four
mo tul,3_three
-nafulfaːt,289_forty
mo raβtul,8_eight
mo navulrua,11_twenty
mo sanaβul ⁿᵈroman mo rua,477_twelve
mo sanaβul ⁿᵈroman mo vaːt,288_fourteen
mo raβrua,7_seven
mo nafrapat,368_ninety
m limraβ,6_six
mo sanaβul ⁿᵈroman mo raβtul,255_eighteen
mo sanaβul ⁿᵈroman mo tul,459_thirteen
moj te roⁿt͡ʃ san,478_umbilical_cord
muᵐbuⁿt͡ʃi,290_full_moon
usa tareo,446_storm
niu,229_coconut
usausa kar,325_sun_shower
fia,492_taro_wild
nasaraj saputa,372_offerings_to_ancestors
uⁿᵈrna,402_pig_tusk
t͡ʃarmo wetwet,411_rainy_season
po laman,401_pig_male
taravt͡s̠a,410_rainbow
patu ⁿt͡s̠ar,413_restricted_place
fuᵐbaᵑk,208_banyan_tree
wita,371_octopus
t͡ʃarmo mamas,248_dry_season
aᵐbatia parparu,364_new_moon
tokolau,253_east
fule,216_breadfruit
aːka,417_sail
ndaj,291_garden
lan βil,232_cyclone
tolfin,246_dolphin
pita unvo,408_pregnant
t͡s̠aman,314_kava
taːna,483_hot
maːso,450_sun
aːᵐpu,223_canoe
moᵐbane,338_menstruation
po pita,398_pig_female
uⁿᵈruᵐbaran,412_reef
ⁿᵈram,496_yam
mi,252_earthquake
malten tinen,494_womb
paheo,425_shark
tanan tunar,227_chief
motuf,230_coconut_sprout
pet en kolkol,485_taro_wet
mul,227_chief
po,396_pig
rave,399_pig_hermaphrodite
pet en ᵐbaris,249_taro_dry
palmur,225_cave
lameⁿt͡s̠eⁿt͡s̠,243_deep_ocean
aːⁿt͡s̠a,474_wood_for_moving_stones
fotal,207_banana
manjok,333_manioc
at͡s̠aβria,493_yam_wild
arua,488_west
fit͡ʃart͡ʃar,84_star
osⁿᵈrina,189_shoot
otani,164_cry
oveanan,188_cook
morapat,9_nine
fakarim,54_bone
ulvow,137_new
nirakat,195_all
uⁿᵈrum,47_tooth
t͡ʃinum,45_mouth
turmaⁿᵈrunim,59_liver
taːs,88_sea
panan,105_branch
matam,42_eye
fasper,199_and
oβila,169_hit
motareu,489_wide
aᵐbapan,71_wing
motareu,119_big
fleᵐp,93_earthsoil
luman,48_hand
nao,18_i
aᵐpatea,83_moon
eslen,69_egg
morafrua,7_seven
moᵐbon,82_night
faᵐbil,132_far
moal,148_flyverb
t͡ʃat͡ʃaw,129_dirty
aⁿᵈrua,85_sky
maːt͡ʃ,61_bird
t͡ʃaroj,138_other
oᵐbereta,212_to_bite
maⁿtaw,123_shyashamed
ololos,147_swim
oroᵐbon,162_sniffsmell
moᵐbuin,131_heavy
nalon,39_ininside
malaporpor,155_dream
oβirona,465_to_choose
muⁿt͡ʃuf,143_fall
nirarua,28_theyboth
nanes,33_when
oᵐbarpara,168_pound
taun,15_year
mowet,136_wet
fmat,63_snake
oᵐpaka loktaja,179_tieup
netel,362_needle
motol,3_three
arif,66_rat
karfan,36_that
tariw,258_fat
neoami,35_this
marau,17_left
laβul,14_onethousand
fanfan,140_walk
monaβurua,11_twenty
