Sageneral,English Translation
su,1_one
mbeɾu,2_two
mbetil,3_three
mbe:it,4_four
mbelim,5_five
lica,6_six
leuɾu,7_seven
letil,8_eight
liapat,9_nine
saŋul,10_ten
dam,15_year
aɾaxanmwiɾ,16_right
auteanmwiɾ,16_right
ɾaxanmwiɾ,17_left
ne,18_i
ŋɡema,19_weallexcl
kaku,20_webothincl
maɾaxo,21_webothexcl
kit,22_weallincl
ik,23_thou
maɾaxo,24_youboth
ŋɡimi,25_youall
i,26_heshe
iɾ,27_theyall
maɾaxo,28_theyboth
ehe,29_nonot
saɾe,30_what
si,31_who
mbe,32_where
naŋis,33_when
mbapon,37_above
pan,38_below
lonum,39_ininside
mbutuk,40_head
waluk,41_hair
kilintak,42_eye
ɡusuk,43_nose
ŋɡalnik,44_ear
ilo,44_ear
ŋalo,44_ear
lonpwak,45_mouth
mek,46_tongue
luk,47_tooth
rak,48_hand
mbwak,49_shoulder
mitnak,50_neck
ahaluk,51_back
lik,52_leg
danak,53_blood
baɾsuk,54_bone
bwalak,55_skin
tewak,56_belly
itnik,57_intestines
suk,58_breast
melak,59_liver
kuli,60_dog
mbwisil,61_bird
mahalo,62_fish
taltil,63_snake
ut,65_louse
wancuɾŋwa,66_rat
tamla,67_spider
maŋkin,68_mosquito
asuwin,69_egg
ŋɡerep,70_tail
alɸin,71_wing
antun,73_man
isin,74_woman
watlote,75_child
sik,76_name
asi,77_mother
temak,78_father
mwaɾan,81_day
oɾpwas,82_night
ul,83_moon
cuɸuwuɾ,84_star
lomtaɾan,85_sky
wa,86_water
tas,88_sea
ap,89_fire
suap,90_smoke
mbiŋ,91_ash
at,92_stone
tan,93_earthsoil
on,95_sand
us,96_rain
laŋ,98_wind
baɾuɾut,99_thunder
mbilbil,100_lightning
isnak,101_meatflesh
mbwa:te,102_fruit
bubu:t,103_woodsforest
ʃuli,104_root
eɾsete,105_branch
ɾa,106_leaf
oɾaculus,108_grass
waŋembutua,109_flower
im,111_house
aula,112_rope
malimlik,114_black
pwalpwal,115_white
mwiɾeɾe,116_red
maxsan,117_green
litlit,118_yellow
mbetlap,119_big
mbeɾkan,120_small
mwaŋkan,121_sharp
tawi,125_painfulsick
mbetu,126_good
mokonon,128_correcttrue
telel,129_dirty
mamlilis,129_dirty
mwamdat,130_rotten
mea,131_heavy
teɾut,132_far
awilan,133_near
melas,134_cold
maɾoxol,135_dry
memes,136_wet
oɾma,139_come
mla,140_walk
mwa:lu,142_sit
mamot,143_fall
mamcuɾ,144_liedown
mwapala,146_climb
mlos,147_swim
ŋɡa,148_flyverb
tuni,149_throw
maxnesa,151_eat
min,152_drink
kuɸwe,154_spit
paɾmwele,155_dream
mamcuɾ,156_sleep
miɾan,157_live
meat,158_die
mwalsi,160_see
mwaɾoŋo,161_hear
bon,162_sniffsmell
mean,163_laugh
mawi,165_blow
mwalolo,167_sew
ɾeci,169_hit
madi,170_cut
maɣali,172_dig
taŋete,174_hold
mamta,175_fear
mbwili,176_count
lu,178_vomit
mbuɾkete,179_tieup
puʃni,180_squeeze
mwokolo,181_swell
pe,182_say
mwako,183_scratch
maɾui,187_plant
mu:m,190_work
tesiani,191_open
