Namaram_Catholic Mission,English Translation
tadat,78_father
tadat,280_uncle_paternal_younger
kinsan tadat,262_uncle_paternal_older
tsibik,269_grandmother_paternal
tsibik,268_grandfather_paternal
wəwa,273_aunt_paternal_older
cihin wawa,281_aunt_paternal_younger
tsibik,298_grandfather_maternal
bəwap,346_uncle_maternal_older
bæ:,77_mother
tsihin,354_uncle_maternal_younger
bu:bu,299_grandmother_maternal
ba:,347_aunt_maternal_older
ba:,355_aunt_maternal_younger
kinsaŋga,373_brother_older
tsihiŋgi,499_younger_brother
otsiŋgi,381_sister_older
otsiŋgi,498_younger_sister
nutsuŋgu,265_first_cousin_male_paternal_uncle_older
nutsuŋgu,272_first_cousin_female_paternal_uncle_older
aloæŋga,277_first_cousin_male_paternal_aunt
aloaŋga,275_first_cousin_female_paternal_aunt
nucuŋgu,343_first_cousin_male_maternal_uncle
nucuŋgu,344_first_cousin_female_maternal_uncle
kinsaŋga,351_first_cousin_male_maternal_aunt
kinsaŋga,350_first_cousin_female_maternal_aunt
taslaŋga,260_father_in_law
balikaŋga,341_mother_in_law
balikaŋga,261_father_in_law_of_woman
bwalikaŋga,310_mother_in_law_of_woman
ætlɛ:maŋga,80_wife
noŋgosuŋu,79_husband
bwalikaŋga,235_daughter_in_law
mæ:mbiŋgi,300_grandson_son
mæ:mbiŋgi,296_granddaughter_son
mæ:mbiŋgi,238_grandson_daughter
mæ:mbiŋgi,236_granddaughter_daughter
nutsuŋgu,435_son
nutsuŋgu,234_daughter
taslaŋga,237_son_in_law
nutsuŋgu,376_nephew_fraternal_older
nutsuŋgu,375_niece_fraternal_older
nutsuŋgu,501_nephew_fraternal_younger
nutsuŋgu,500_niece_fraternal_younger
alowaŋga,385_nephew_sororal_older
alowaŋga,384_niece_sororal_older
alowaŋga,506_nephew_sororal_younger
alowaŋga,505_niece_sororal_younger
wawa,274_aunt_paternal
mbawap,342_uncle_maternal
kinsŋga,374_brother
ociŋgi,382_sister
bale,1_one
kaɾu,2_two
katsil,3_three
kavet,4_four
kalim,5_five
læpʷale,6_six
læɸ̚eɾu,7_seven
lapcil,8_eight
lap̚et,9_nine
tesaŋwul,10_ten
tsaŋwul ɸʷep̚ nan bale,257_eleven
tsaŋwul ɸʷep̚ nan kaɾu,477_twelve
tsaŋwul ɸʷep̚ nan katsil,459_thirteen
tsaŋwul ɸʷep̚ nan kavet,288_fourteen
tsaŋwul ɸʷep̚ nan kalim,284_fifteen
tsaŋwul ɸʷep̚ nan telæpʷale,430_sixteen
tsaŋwul ɸʷep̚ nan telæɸ̚eɾu,423_seventeen
tsaŋwul ɸʷep̚ nan telapcil,255_eighteen
tsaŋwul ɸʷep̚ nan telap̚et,367_nineteen
ŋaul kaɾu,11_twenty
ŋaul katsil,460_thirty
ŋaul kavet,289_forty
ŋaul kalim,12_fifty
ŋaul tlapʷale,431_sixty
ŋaul tlaɸeɾu,424_seventy
ŋaul tlaɸ̚cil,256_eighty
ŋaul tlapet,368_ninety
tewendelu,13_onehundred
