Burmbartengan,English Translation
soɣa,1_one
ɛ-ru,2_two
ɛ-tɛr,3_three
ɛ-fɛt,4_four
ɛ-rim,5_five
marov-tɛs,6_six
marov-ru,7_seven
rov-tɛr,8_eight
rof-pe,9_nine
sɪŋafur,10_ten
ɲavur_ɛ-ru,11_twenty
ɲavur_ɛ-rim,12_fifty
maŋat,13_onehundred
na-ⁿdʳam,15_year
tin,16_right
maɛr,17_left
inau,18_i
imⁿdʳo,19_weallexcl
ⁿdʳa_ru,20_webothincl
ⁿdʳato,22_weallincl
ɣauŋ,23_thou
imnro,24_youboth
ɛmru,25_youall
ŋai,26_heshe
rato,27_theyall
ra_ru,28_theyboth
mɛⁿdaɣai,29_nonot
ʧɛve,30_what
ise,31_who
hambeɪ,32_where
ɲais,33_when
kasiŋɛᵐbe,34_how
ɲaŋ_ɪⁿdʳ,35_this
ɲamoŋk,36_that
-raxai,37_above
-rapapaɣte,38_below
-raroxum,39_ininside
ᵐbatu-m,40_head
ne-furo-n_ᵐbatɪ-m,41_hair
mata-m,42_eye
na-ɣunʧu-m,43_nose
xɛrsa-n,44_ear
ᵐbaŋo-m,45_mouth
nɪ-mɛ-m,46_tongue
nɛ-rufo-m,47_tooth
fara-m,48_hand
nɛ-vsu-m,49_shoulder
ⁿdofɛ-m,50_neck
maⁿdʳu-m,51_back
nɛ-ruɛ-m,52_leg
ⁿdʳiɛ-m,53_blood
no-xorxuᵐbɛ-m,55_skin
ⁿdaᵐba-m,56_belly
mɛrta-m,57_intestines
na-sus,58_breast
ᵐbaᵐbɛm,59_liver
no-kɪri,60_dog
ᵐbasir,61_bird
na-ix,62_fish
na-mat,63_snake
na-tuŋalaʧ,64_worm
na-ɣut,65_louse
na-ɣasuv,66_rat
ⁿdumarao,67_spider
na-nam,68_mosquito
ⁿdʳuru-n,69_egg
ᵑgarɛ-n,70_tail
ɣafɛ-n,71_wing
nɛ-furu-n,72_feather
fan,73_man
na-fafin,74_woman
ⁿdumare,75_child
na-xsa-m,76_name
nana,77_mother
ta-ŋk,78_father
fana_sa-m,79_husband
fafin_sa-m,80_wife
riɛr,81_day
ᵐbaso,82_night
na-ɣaᵐbati,83_moon
maso,84_star
na-maf,85_sky
nu-wai,86_water
nu-ai_parapur,87_lake
nɛ-tis,88_sea
na-ɣamp,89_fire
-ᵐbaso,90_smoke
ⁿdaᵐbɛ_ɣamp,91_ash
nɪ-vɛt,92_stone
na-tan,93_earthsoil
ᵐbaraŋaf,94_dust
na-on,95_sand
na-us,96_rain
na-ᵐborᵐbor,97_cloud
nɛ-rɛŋ,98_wind
na-urfar,99_thunder
na-ᵐbir,100_lightning
nɛ-vɪsox,101_meatflesh
fenahar-te,102_fruit
na-max,103_woodsforest
nɪ-panahar-te,104_root
ᵐbasiɣ-te,105_branch
na-ɣahar-te,106_leaf
na-ɣai,107_wood
na-munwai,108_grass
nɛ-pnax-te,109_flower
na-mat,110_thatchroof
na-im,111_house
no-ɣɔ,112_rope
na-pesar,113_roadpath
-mɛrmɛr,114_black
-pʊx,115_white
-ᵐbisᵐbis,116_red
na-rahuᵐbuɣun,117_green
ma-ɲiaŋ,118_yellow
-ɣɔvon,119_big
-kakɪs,120_small
-kan,121_sharp
-sɪᵐbakan,122_bluntdull
-maxmaxan,123_shyashamed
-taramp,124_old
-fo,126_good
-se,127_bad
-ketin,128_correcttrue
-ⁿdʳanu,129_dirty
-mɛrɪs,131_heavy
-tɛmnis,132_far
-morokon,133_near
-raxas,134_cold
-mamas,135_dry
-ᵐbarox,136_wet
-fovo,137_new
-ᵑgune,139_come
ma-fɪnɛvɛn,140_walk
-tu,141_stand
-non,142_sit
-kuⁿdʳum,143_fall
-mokⁿdrum,144_liedown
-ⁿdʳɛɣni,145_turn
-psax,146_climb
-ⁿdʳohorox,147_swim
-kuᵐbax,148_flyverb
-resɪni,149_throw
-susuaxani,150_hide
-xan,151_eat
-mɪn,152_drink
-xɛnmoŋ,153_yawn
-pre,154_spit
na-ᵐbor,155_dream
-pat,156_sleep
-maur,157_live
mɪ-mɪt,158_die
-ras-ᵐbuni,159_kill
-mɛsi,160_see
-ŋoni,161_hear
ᵐbon,162_sniffsmell
-man,163_laugh
-ⁿdʳaŋ,164_cry
-ᵐbiᵐbir,165_blow
-prur,166_burn
-ʧaⁿdʳɔ,167_sew
-tuɣutuɣi,168_pound
-vurasi,169_hit
-tai,170_cut
-tɛfroi,171_split
-ɣaɣi,172_dig
-torox,173_hunt
-ᵐbatᵐbati,174_hold
ma-matax,175_fear
-furuŋi,176_count
-ve_nɛ-rɛŋ,177_breathe
ma-ru,178_vomit
-ᵐbɛŋsi,179_tieup
-vuvsi,180_squeeze
-tɪmbə,181_swell
-wutke,182_say
-karkaro,183_scratch
-t͡sari,184_stab
-ᵑgare,185_buy
-fɪnaɣɔ,186_steal
-rɪvi,187_plant
-pɪsoŋ,188_cook
-fɪne,189_shoot
ma-ᵑgas,190_work
-sɪŋavi,191_open
