Nkep,English Translation
nmœn ða teː,14_onethousand
mɣol lynrajru,424_seventy
mɣolteː βan lyn,284_fifteen
mɣolðœl,460_thirty
mɣolteː βan rajru,423_seventeen
mtere,13_onehundred
teː,1_one
saɣyl,10_ten
repeð,9_nine
mɣol lyn,12_fifty
tu,2_two
kɔlyn,5_five
mɣolteː βan tetkyn,257_eleven
mɣolteː βan lynra,430_sixteen
mɣolteː βan lynrajpeð,367_nineteen
mɣol lynrajtøl,256_eighty
mɣol lynra,431_sixty
jet,4_four
tøl,3_three
mɣoljeð,289_forty
ratœl,8_eight
mɣolru,11_twenty
mɣolteː βan ru,477_twelve
mɣolteː βan jeð,288_fourteen
kɒru,7_seven
mɣol lynrajpeð,368_ninety
kɔra,6_six
mɣolteː βan rajtøl,255_eighteen
mɣolteː βan ðœl,459_thirteen
nesβað hewakœr,478_umbilical_cord
naði βyxsi,290_full_moon
toxβriβ,446_storm
nøð,229_coconut
mɒnːørkɒr,325_sun_shower
nrerβyl,492_taro_wild
nᵈryra,402_pig_tusk
rɒly,411_rainy_season
nᵈβor,401_pig_male
neneanu,410_rainbow
nmɔn ðem,413_restricted_place
nðax,208_banyan_tree
nið,371_octopus
ren βrah,248_dry_season
naði hka,364_new_moon
jahu,253_east
niðia,216_breadfruit
nᵈrakwax,417_sail
nujara,291_garden
nxɒr,232_cyclone
nes βeli,246_dolphin
jel,370_north
naren rakwax,314_kava
nðax,483_hot
nme,450_sun
naβ,223_canoe
merjan,338_menstruation
nᵈrasa,398_pig_female
ys,438_south
nmal,412_reef
niːna,496_yam
mnyn,252_earthquake
nða,425_shark
nøðry,230_coconut_sprout
nβɒð ru,485_taro_wet
nuatyr,227_chief
ndra,396_pig
nᵈre,399_pig_hermaphrodite
nðe kyky,461_tsunami
nβɒð kara,249_taro_dry
nory,225_cave
ðepax,243_deep_ocean
naɣra,474_wood_for_moving_stones
niðel,207_banana
nakyrɣeni,333_manioc
nal,493_yam_wild
jaha,488_west
nið,84_star
xypː,189_shoot
mŋaɹː,164_cry
mokœː,188_cook
repeð,9_nine
naːkryn,54_bone
oɣraβ,137_new
erip,195_all
ndrøn,47_tooth
nujan,45_mouth
nrepyl,59_liver
ðɛ,88_sea
neβŋan,105_branch
mɛmðan,42_eye
xe,199_and
ilp,169_hit
oβɾiβ,489_wide
naβilian,71_wing
oβriβ,119_big
nlɑð,93_earthsoil
nwɑlcim,48_hand
jøn,18_i
naði,83_moon
nuatløn,69_egg
kɒru,7_seven
npoɹ,82_night
olru jetːøɹ,132_far
moxol,148_flyverb
mɒŋyn,129_dirty
naðihøl,85_sky
nes,61_bird
opel,138_other
poltyt,212_to_bite
ŋysŋys,123_shyashamed
liː,147_swim
βøn,162_sniffsmell
βxyn,131_heavy
lotari,39_ininside
βosβos,155_dream
mcenip,465_to_choose
mrɛr,143_fall
jɑru,28_theyboth
hinɑðme,33_when
lymlym,168_pound
nxiːje,15_year
mekla,136_wet
nju,63_snake
wesirin,179_tieup
tœl,3_three
nɒ,66_rat
wunjo,36_that
poxpox,258_fat
wanon,35_this
jɛnaɾa,17_left
nmøn,14_onethousand
jaljal,140_walk
mɣɒlru,11_twenty
taŋtaŋ,94_dust
nsys,57_intestines
nðɒlβace,49_shoulder
nlom,111_house
nru,86_water
mormor,130_rotten
tusɒɹ,171_split
tuː,2_two
mkaɹa,116_red
mɣen,121_sharp
xaðøl,25_youall
neðran,97_cloud
røðp,146_climb
ðnan,78_father
nwelim,52_leg
nuløn,72_feather
jɛrː,16_right
nðe xal,419_salt
ni,26_heshe
mɛlhɛ,157_live
nørɑn,109_flower
jɛt,4_four
heðmeð,34_how
wɒkøɾhœn,80_wife
olru pipir,133_near
naraŋɡyn,177_breathe
nulym,41_hair
mɣen,151_eat
noe,112_rope
nuari,73_man
nuasin,76_name
nia,30_what
jeru,20_webothincl
ratœl,8_eight
neslet,64_worm
nyð,65_louse
mekri,359_narrow
xaru,24_youboth
memɹe,311_if
latan,38_below
xamru,21_webothexcl
wɒrp,182_say
nxɒɹ,98_wind
msɔp,181_swell
teː,1_one
msym,152_drink
msamsam,464_to_chew
βoh,115_white
jɑːɾtyn,145_turn
iɾp,180_squeeze
meskal,175_fear
nru maβɣere,87_lake
sypː,184_stab
mris,29_nonot
mhɑrhɑr,165_blow
nœː,91_ash
waɾihœn,79_husband
oreɣeni,117_green
nɣeni,107_wood
βoe,125_painfulsick
nyβðym,40_head
køkryr,134_cold
topː,170_cut
mnelia,118_yellow
ɣyðeɣk,315_know_understand
nes,62_fish
lykøn,55_skin
nwyð,103_woodsforest
tox,96_rain
lon,202_at
oheð,127_bad
pryrval,99_thunder
nsyk,68_mosquito
okɾi,120_small
nren,106_leaf
jetpyn,176_count
nœmxœ,340_fog
maβɣen,122_bluntdull
ðiøn,77_mother
nieð,92_stone
mlu,178_vomit
noanin,102_fruit
mɣere,286_flow
mxɒlyn,12_fifty
non,95_sand
ðəŋi,456_thick
mxœɹ,135_dry
mhyl,166_burn
krøð,183_scratch
mnøtux,128_correcttrue
nœrlœm,50_neck
kœɹkœɹ,457_thin
pøty,149_throw
hiː,31_who
nøðŋɒn,56_belly
mraβsux,142_sit
lam,139_come
βylβyl,114_black
mrɒx,161_hear
wujaxme,153_yawn
mŋoro,156_sleep
oɣœr,124_old
pyljɛ,90_smoke
tirː,167_sew
rup,191_open
nekara,53_blood
oβohβoh,126_good
moxyð,160_see
xœlp,172_dig
wɔlp,185_buy
nbøs,60_dog
mneð,158_die
ilsœβ,159_kill
prep,100_lightning
misːi,448_suck
jeryr,174_hold
nmys,108_grass
mtej,187_plant
nɑn,46_tongue
kolsym,154_spit
βyr,163_laugh
cerasŋen,150_hide
jeðin,32_where
nakyrɣeni,104_root
mjɛtoβ,483_hot
cɛsiap,186_steal
sara,173_hunt
saɣœl,10_ten
juɹː,27_theyall
nuakør,74_woman
nakaɹa,89_fire
mteɹe,13_onehundred
nolœn,70_tail
mlu,302_to_grow
tyl,37_above
nahal,416_road
nren,81_day
iː,23_thou
noβron,44_ear
opipi,426_short
nisi,58_breast
mrersux,144_liedown
opre,328_long
dremrem,458_to_think
