Naruwa_Suru Mwerani,English Translation
tadat,78_father
cihin wæwa,281_aunt_paternal_younger
tsibik,298_grandfather_maternal
tokon mætsijak,346_uncle_maternal_older
mbæ:,77_mother
tsihin mætsijak,354_uncle_maternal_younger
tsibin datsik,299_grandmother_maternal
tokon mbæ:,347_aunt_maternal_older
tsihin mbæ:,355_aunt_maternal_younger
tokon ki:sak,373_brother_older
tsihin ki:sak,499_younger_brother
tokon hotsik,381_sister_older
tsihin hotsik,498_younger_sister
nitsun ki:sak,264_first_cousin_male_paternal_uncle
tokon nitsun ki:sak,264_first_cousin_male_paternal_uncle
nitsun bilæk wawa,277_first_cousin_male_paternal_aunt
nɪtsun  bilæk wawa hæɸwin ,275_first_cousin_female_paternal_aunt
nɪtsun mætsijak,343_first_cousin_male_maternal_uncle
nɪtsun mætsijak hæɸwin,344_first_cousin_female_maternal_uncle
nɪtsun ki:san mbæ:,351_first_cousin_male_maternal_aunt
hotsik,350_first_cousin_female_maternal_aunt
taslak,260_father_in_law
taslak,341_mother_in_law
taslak,490_parents_in_law
bwalikan,261_father_in_law_of_woman
bwalikan,310_mother_in_law_of_woman
bwalikak,235_daughter_in_law
mæbik,300_grandson_son
mæbik æhɛwin,296_granddaughter_son
nucuk,75_child
dancuk,80_wife
hɜak,79_husband
mæbik,238_grandson_daughter
taslak,237_son_in_law
mæbik æhɛwin,236_granddaughter_daughter
nutsuk,376_nephew_fraternal_older
tokon tsun ki:sak,375_niece_fraternal_older
tsihin tsun ki:sak,501_nephew_fraternal_younger
tsihin tsun ki:sak,500_niece_fraternal_younger
æloæk,385_nephew_sororal_older
mæbik,385_nephew_sororal_older
æloæk,506_nephew_sororal_younger
mæbik æhɛwin,505_niece_sororal_younger
tokon tædat,262_uncle_paternal_older
tsihin tædat,280_uncle_paternal_younger
tokon wæwa,273_aunt_paternal_older
tsihin wæwa,281_aunt_paternal_younger
tsibik,270_grandparent_opposite_sex_of_parent
bʷaleh,1_one
kaɾu,2_two
katsil,3_three
kavet,4_four
kalim,5_five
lapæle,6_six
lɛuɾu,7_seven
lapcil,8_eight
tlapet,9_nine
tsaŋwul,10_ten
tsaŋwulep nan bʷale,257_eleven
tsaŋwulep nan kaɾu,477_twelve
təsaŋwulep nan kacil,459_thirteen
təsaŋwulep nan kavet,288_fourteen
təsaŋwulep nan kalim,284_fifteen
təsaŋwulep nan telapæle,430_sixteen
təsaŋwulep nan telæɛuɾu,423_seventeen
təsaŋwulep nan telapcil,255_eighteen
təsaŋwulep nan təlæpet,367_nineteen
ŋawul kaɾu,11_twenty
ŋawul kacil,460_thirty
ŋawul kavet,289_forty
ŋawul kalim,12_fifty
ŋawul telapæle,431_sixty
ŋawul telæuɾu,424_seventy
ŋawul telapcil,256_eighty
ŋawul telapet,368_ninety
tewudəlu,13_onehundred
