Axambsmallislandmaliambor,English Translation
ŋa-ʧkai,1_one
ŋa-ru,2_two
ŋa-rul,3_three
ŋa-vaʧ,4_four
ŋa-rm,5_five
ro-ʧkai,6_six
ra-ru,7_seven
ra-ruɾ,8_eight
ra-paʧ,9_nine
sɪŋavur,10_ten
rɛnaɣawi_aʧkɛnene,11_twenty
rɛnaɣawi_aru_sɪŋavur,12_fifty
rɛnaɣawi_arɪm,13_onehundred
rɛnaɣawi_asɪŋavur,14_onethousand
na-sɪɣa,15_year
tiɣavui,16_right
timʷaiɾ,17_left
aɣanao,18_i
nato,19_weallexcl
ⁿdʳaru,20_webothincl
ⁿdʳarubonbon,21_webothexcl
ⁿdʳato,22_weallincl
ɣaiuŋk,23_thou
ⁿto,24_youboth
ⁿto,25_youall
aŋe,26_heshe
naʧərai,29_nonot
nisvai,30_what
asi,31_who
æᵐbi,32_where
na-mɪriar,33_when
na-korsai,34_how
aŋeɣa,35_this
aŋea,36_that
muɣar,37_above
hapɪn,38_below
na-ᵐbuᵐburun,39_ininside
ᵐbʷarə-ŋk,40_head
na-suɾu-,41_hair
na-mɛraŋk,42_eye
na-ᵑgonsu-ŋk,43_nose
ⁿdʳoliŋa-ŋk,44_ear
ᵐbaŋo-ŋk,45_mouth
na-luwə-ŋk,46_tongue
na-rɪvo-ŋk,47_tooth
na-vuɾɛ-n,48_hand
ᵐbarvosʊ-n,49_shoulder
aluwə-ŋk,50_neck
maⁿdʳə-ŋk,51_back
na-ari-ŋk,52_leg
ⁿdʳe,53_blood
na-ᵐbulᵐbul,54_bone
na-ɣurɣur,55_skin
na-ᵐbaɣavu-ŋk,56_belly
xavutilamp,57_intestines
na-zuis,58_breast
nu-mamb,59_liver
lipax,60_dog
nɪ-mæn,61_bird
na-jix,62_fish
mavɪⁿdʳur,69_egg
na-ɣaᵐbɪ-n,71_wing
na-vhur_imæn,72_feather
nɪ-riɛn,73_man
na-pɪnevʊr,74_woman
na-rere,75_child
na-ɣəs,76_name
nana_sa-ŋk,77_mother
na-tata_sa-ŋk,78_father
nɛrɛn_sa-ŋk,79_husband
na-pɪnevur_sa-ŋk,80_wife
mɪtas,81_day
limæroŋ,82_night
na-ɣambaʧi,83_moon
mʷaʧi,84_star
nu-woi,86_water
woi_ⁿdʳalⁿdʳal,87_lake
nɪ-ras,88_sea
na-ɣamb,89_fire
a-tuŋ,90_smoke
mʷaʧiaβ,91_ash
nɪ-var,92_stone
nɛ-ran,93_earthsoil
ni-av,94_dust
na-ᵐbəŋan,95_sand
na-wus,96_rain
mæroŋk,97_cloud
nɛ-raŋ,98_wind
na-ɣurve,99_thunder
kaᵐbl,100_lightning
na-vʷɪn,102_fruit
na-liɣaiɣai,103_woodsforest
na-ɣaɣɛ-n,104_root
paʧɪ-n,105_branch
na-raun,106_leaf
na-ɣai,107_wood
na-ᵐbolᵐbol,108_grass
na-pɪsun,109_flower
ni-ar,110_thatchroof
na-likanim,111_house
ɣau,112_rope
na-sieɾ,113_roadpath
a-mirmiɾ,114_black
a-renərieⁿdʳ,115_white
-paŋpaŋ,116_red
-kəkʧiɛn,117_green
-lʉtlʉt,118_yellow
na-lɛmb,119_big
na-kiki,120_small
ᵑga-kan,121_sharp
a-ᵐbʊt,122_bluntdull
-məməɣan,123_shyashamed
na-ɣaivur,124_old
a-mɪsax,125_painfulsick
ŋa-vui,126_good
ŋa-samb,127_bad
-lɛməlɛm,128_correcttrue
-ʧaŋəsaŋk,129_dirty
ŋa-mom,130_rotten
ŋa-mɪv,131_heavy
aʧuⁿdʳ,132_far
perɪʧaŋk,133_near
navur_a-pur,134_cold
a-mɛs,135_dry
-muʧmuʧ,136_wet
na-vuwu,137_new
ᵑgə-maɛ,139_come
na-ðan,140_walk
na-ruaŋk,141_stand
na-sumusumu,142_sit
-naⁿdʳəm,143_fall
na-ⁿdʳur_nihitiɛn,144_liedown
ko-vsani,145_turn
na-saχ,146_climb
na-ᵑgaɾ,147_swim
nanɡau,148_flyverb
-ᵐbulni,149_throw
-suani,150_hide
na-kan,151_eat
na-mun,152_drink
-malʊl,153_yawn
na-pure,154_spit
na-ᵐbure,155_dream
na-paʧ,156_sleep
a-maur,157_live
na-mæʧ,158_die
-tamʷɪs-ᵐbuni,159_kill
na-rsi,160_see
-paloŋ,161_hear
na-ᵐbon,162_sniffsmell
na-mɛn,163_laugh
na-raŋ,164_cry
na-ovuv,165_blow
-paŋ,166_burn
-tɛɣtɪɣi,168_pound
na-tamsi,169_hit
-ʧavi,170_cut
-ʧavi,171_split
-xɛri,172_dig
-kaovekao,173_hunt
-raŋuve,174_hold
na-mɪrax,175_fear
-pɪpəɣəni,176_count
na-roŋ_arsau,177_breathe
na-lu,178_vomit
na-rpɛsi,179_tieup
-ᵐbuši,180_squeeze
na-tʊmb,181_swell
-kare,182_say
na-ɣalumʷi,183_scratch
na-ruri,184_stab
-ɣəri,185_buy
na-vɪnaɣɔ,186_steal
na-lumʷi,187_plant
-panun,188_cook
na-vɪni,189_shoot
a-ŋas,190_work
-ʧəŋavuni,191_open
