Nsungwadiauta,English Translation
tewa,1_one
rua,2_two
tolu,3_three
ɸati,4_four
taβalima,5_five
laβatea,6_six
laβarua,7_seven
laβatolu,8_eight
laβat,9_nine
saŋʷul,10_ten
sawul_rua,11_twenty
sawul_taβalima,12_fifty
ŋʷel_ⁿdolu,13_onehundred
tari,14_onethousand
tau,15_year
matoa,16_right
xalawa,17_left
nau,18_i
xiⁿda_rua,20_webothincl
ɡaimi_rua,21_webothexcl
xinda,22_weallincl
niko,23_thou
ɡam_rua-ŋa,24_youboth
ɡam_wur_wuri,25_youall
ia,26_heshe
ira-ŋa,27_theyall
ira_rua,28_theyboth
ⁿdiɣai,29_nonot
saβa,30_what
sei,31_who
ᵐbea,32_where
saβ_taro,33_when
ⁿdaɰasnia,34_how
ɡika,35_this
woŋana,37_above
ɸeina,38_below
lolona,39_ininside
ɡʷatu-i,40_head
ulu-i,41_hair
matai,42_eye
lisu-i,43_nose
ᵐboro-i,44_ear
ɸala-i,45_mouth
lueme,46_tongue
liwo-i,47_tooth
lima-i,48_hand
tikʷaŋi,49_shoulder
ⁿdalo-i,50_neck
tawuⁿda,51_back
roŋo-i,52_leg
ⁿdai,53_blood
suri,54_bone
ɸinu-i,55_skin
taᵏpʷaŋi,56_belly
tine-i,57_intestines
susu,58_breast
ɸara-i,59_liver
wiriu,60_dog
manu,61_bird
masi,62_fish
ŋʷaɣata,63_snake
sulate,64_worm
wutu,65_louse
xariβi,66_rat
taɣaɣa,67_spider
namu,68_mosquito
toli,69_egg
xoloi,70_tail
ᵐbani-na,71_wing
ului,72_feather
tatua,73_man
taiŋʷa,74_woman
mamai,75_child
sasa-ku,76_name
ɸeβe,77_mother
tata,78_father
tuᵐbu-ku,79_husband
nok_taiŋʷa,80_wife
marani,81_day
ᵑɡʷoŋi,82_night
wula,83_moon
ɸitiu,84_star
taetae,85_sky
ᵐbei,86_water
ᵐbuaka,87_lake
tasi,88_sea
aβi,89_fire
asu,90_smoke
ⁿdiɣeβu,91_ash
ⁿdiɣewu,91_ash
ɸatu,92_stone
tano,93_earthsoil
ⁿdiɣevu,94_dust
one,95_sand
reu,96_rain
taetae_laŋi,97_cloud
laŋi,98_wind
manɸara,99_thunder
manβara,99_thunder
waŋa,100_lightning
ɸisiɣo,101_meatflesh
oina,102_fruit
lolwono,103_woodsforest
lolowono,103_woodsforest
xoari,104_root
raiɣi,105_branch
ⁿdou-na,106_leaf
xaiɣa,107_wood
ɸalisi,108_grass
mamtasi,109_flower
ɸiⁿdo_ⁿdau,110_thatchroof
ɸale,111_house
xae,112_rope
sala_saluma,113_roadpath
ososo,114_black
siŋara,115_white
memea,116_red
maleɣsaɣa,117_green
aŋoɣa,118_yellow
menasi,119_big
riki,120_small
xaxani,121_sharp
ᵏpʷat_ᵏpʷato,122_bluntdull
eᵐbe_meamea,123_shyashamed
xaⁿdiri,125_painfulsick
wia,126_good
seseta,127_bad
harawia,128_correcttrue
ᵐbuluwa,129_dirty
ⁿdaru,130_rotten
weⁿda,131_heavy
soai,132_far
ɸirtaɣi,133_near
di_maⁿdiŋara_naiatea,134_cold
mamasa,135_dry
ᵏpʷoᵏpʷoɣa,136_wet
xaraᵏpʷa,137_new
tuara,138_other
sumai,139_come
rasu,140_walk
turβatura,141_stand
toɣosuwo,142_sit
ŋʷaⁿdaŋe,143_fall
eβa,144_liedown
ⁿdiɣeko,145_turn
ɸenaɣa,146_climb
xaxaru,147_swim
xaxa,148_flyverb
xaɣa,148_flyverb
wusaɣia,149_throw
wusaɣsonia,149_throw
tau_niɣi,150_hide
xani,151_eat
ima,152_drink
tariŋaβa,153_yawn
wura,154_spit
ᵐbore,155_dream
maturu,156_sleep
awe,157_live
mate,158_die
ᵏpʷisian_mate,159_kill
ete,160_see
roŋo,161_hear
reβe_ⁿdaβi,162_sniffsmell
mana,163_laugh
ŋara,164_cry
uβi,165_blow
aᵏpʷa,166_burn
tuwuru,167_sew
ɸaβaɣisia,168_pound
ᵏpʷisia,169_hit
teβe,170_cut
titia,171_split
xili,172_dig
toria,174_hold
ruwaɣa,175_fear
ɸalu,176_count
maᵐbusa,177_breathe
lulua,178_vomit
liβitia,179_tieup
ᵏpʷetᵏpʷetia,180_squeeze
loloᵐbu,181_swell
ɸeti,182_say
takaria,183_scratch
susuɣia,184_stab
wolia,185_buy
ᵐbalua,186_steal
riwu,187_plant
nasnasu,188_cook
ɸene,189_shoot
ⁿdamasiŋa,190_work
saŋaβia,191_open
