Kitano,English Translation
naβul raβrua,424_seventy
sanaβul molima,284_fifteen
naβultolu,460_thirty
sanaβul moraβrua,423_seventeen
laβul βaes,13_onehundred
naβul.lima,12_fifty
sanaβul moaes,257_eleven
sanaβul molimaraβ,430_sixteen
sanaβul moraβaːtĕ,367_nineteen
monaβul raptolŭ,256_eighty
naβul.limaraβe,431_sixty
naβulrua,11_twenty
sanaβul morua,477_twelve
sanaβul movaːtĕ,288_fourteen
monaβul raβaːt,368_ninety
sanaβul moraptol,255_eighteen
sanaβul motolŭ,459_thirteen
wupae,478_umbilical_cord
olo,229_coconut
peta βuko,492_taro_wild
akona,402_pig_tusk
poe,401_pig_male
laplape maraj,410_rainbow
paka,208_banyan_tree
wita,371_octopus
leβu,216_breadfruit
cenu,417_sail
uma,291_garden
lan,232_cyclone
tolfin,246_dolphin
kova anan,408_pregnant
taːna,483_hot
mataj alo,450_sun
wiapo,223_canoe
teana,338_menstruation
kura,398_pig_female
kam,496_yam
muj,252_earthquake
puto,494_womb
paoe,425_shark
tanae mera,227_chief
loma,485_taro_wet
moli,227_chief
poe,396_pig
raβe,399_pig_hermaphrodite
peta euma,249_taro_dry
papaj puria,225_cave
parana,243_deep_ocean
βujasuro,474_wood_for_moving_stones
βatal,207_banana
paloa,333_manioc
suma,493_yam_wild
vitu,84_star
koβinaβina,189_shoot
kotani,164_cry
roroci,188_cook
mosanaβul,9_nine
suika,54_bone
ta.aβul,137_new
βŭβut,195_all
aːkoka,47_tooth
t͡ʃinoka,45_mouth
mapeka,59_liver
taːsi,88_sea
tavajao,105_branch
matam,42_eye
kolokotaia,169_hit
talapa,489_wide
papauna,71_wing
talapa,119_big
eone,93_earthsoil
limaka,48_hand
nao,18_i
wula,83_moon
tolina,69_egg
moraptolu,7_seven
pon,82_night
kukuːe kukue,132_far
taensale,148_flyverb
t͡s̠at͡s̠ao,129_dirty
tuka,85_sky
manu,61_bird
semera,138_other
koatroːto,212_to_bite
tanvaepena,123_shyashamed
loloso,147_swim
ponana,162_sniffsmell
pʷetĭ,131_heavy
lalolo ima,39_ininside
porporo,155_dream
pulam,465_to_choose
kot͡ʃoβi,143_fall
rarua,28_theyboth
anːisa,33_when
koileila,168_pound
taun,15_year
mekmecin,136_wet
mata,63_snake
koβilβilsae,179_tieup
matajat͡s̠ina,362_needle
movaːti,3_three
ariβi,66_rat
kukunia,36_that
tenpolpol,258_fat
cenia,35_this
marauka,17_left
alali,140_walk
monaβul.lima,11_twenty
poaβu,94_dust
talika,57_intestines
pilika,49_shoulder
ima,111_house
pej,86_water
tanutĭ,130_rotten
takalakala,171_split
morua,2_two
takara,116_red
tamate,121_sharp
komiu,25_youall
pota,97_cloud
teːsaːri,146_climb
tamam,78_father
sarika,52_leg
wuluna,72_feather
matuaka,16_right
tasaβori,419_salt
nie,26_heshe
tanmauri,157_live
βusona,109_flower
molima,4_four
aɸsena,34_how
nom pita,80_wife
cen teβuj,133_near
masmasuka,177_breathe
wuluka,41_hair
koanan,151_eat
eas,112_rope
tauku,73_man
esem,76_name
saβa,30_what
karua,20_webothincl
moraβaːti,8_eight
ruma,64_worm
utu,65_louse
taβakokon,359_narrow
komarua,24_youboth
maka,311_if
laβaβana,38_below
kamrua,21_webothexcl
kokone,182_say
laelan,98_wind
tapolpol,181_swell
mwes,1_one
kokoːko,152_drink
kous,464_to_chew
tawuko,115_white
kupːailu,145_turn
komani,180_squeeze
komamatau,175_fear
noːpu,87_lake
kot͡ʃina,184_stab
tiae,29_nonot
iβiβ,165_blow
mamaβu,91_ash
nom tauku,79_husband
taparparo,117_green
wiao,107_wood
met͡ʃmet͡ʃo,125_painfulsick
patuka,40_head
tamaripĭ,134_cold
kotae,170_cut
tamat͡s̠ina,118_yellow
komkomika,315_know_understand
maːt͡s̠i,62_fish
βenβenuka,55_skin
loβeau,103_woodsforest
usa,96_rain
la,202_at
talokloko,127_bad
prin,99_thunder
muj,68_mosquito
taβaβaˈri,120_small
rauna,106_leaf
koeβi,176_count
kapkapŭ,340_fog
talol,122_bluntdull
ret nana,77_mother
esule,92_stone
lulua,178_vomit
βaena,102_fruit
taβuraβura,286_flow
ewuswus,95_sand
tapronŭ,456_thick
kotaːni,135_dry
tarurut,166_burn
karkarum,183_scratch
taβurea,128_correcttrue
koloka,50_neck
tarokroku,457_thin
kopĭlej,149_throw
isej,31_who
tapaneka,56_belly
kosio maloa,142_sit
koβiano,139_come
taloː,114_black
korono,161_hear
lalana βaβa,153_yawn
malapoe,156_sleep
takorkoru,124_old
paice,90_smoke
koturu,167_sew
aːre,191_open
kaem,53_blood
tamamasa,126_good
koreren,160_see
kokoru,172_dig
koβoli,185_buy
βriu,60_dog
tanmate,158_die
kotaile matmateia,159_kill
βĭlejβĭlej,100_lightning
susu,448_suck
kokao,174_hold
raːpalis,108_grass
kolaβlaβo,187_plant
memeka,46_tongue
loːto,154_spit
konisa,163_laugh
tani punaj,150_hide
aβea,32_where
arina,104_root
araro,186_steal
t͡ʃur βliu,173_hunt
monaβulrua,10_ten
ire,27_theyall
pita,74_woman
aːpu,89_fire
monaβulβaes,13_onehundred
βikina,70_tail
tamauɾi,302_to_grow
alon,37_above
sala,416_road
taran,81_day
iko,23_thou
kalnaka,44_ear
taputput,426_short
susuka,58_breast
konormaloa,144_liedown
taparaβŭ,328_long
pipinis,458_to_think
kuka,51_back
taraβi,336_meat
ika wuwut,22_weallincl
aːto,455_thatch
narone tumʷes,306_person
natimera,75_child
koturi,141_stand
moraβrua,6_six
koβanlaβarea,190_work
lansuka,43_nose
molimaraβe,5_five
para,67_spider
