Tiraxorap,English Translation
haɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-ɣoɛn,6_six
i-ɣɛⁿdit,7_seven
i-ɣewel,8_eight
i-ɣesiɸ,9_nine
i-hiŋavil,10_ten
i-ŋovil-ru,11_twenty
i-ŋov_i-lin,12_fifty
i-ŋosiŋavil,13_onehundred
ᵑgaka,15_year
matu,16_right
ɣaur,17_left
xono,18_i
nekir,22_weallincl
nox,23_thou
kɛni_raru,24_youboth
kɛni,25_youall
xaɪn,26_heshe
xair,27_theyall
xair_iru,28_theyboth
ɪ-hɪŋe,29_nonot
haɣa,30_what
hena,31_who
anɣaⁿde,32_where
ⁿtanial_levhi,33_when
ɪ-ⁿdlaɣa,34_how
-linha,37_above
-nɛlvɛna,38_below
-lalɛn,39_ininside
ᵐbati-m,40_head
vɪlɛ-n,41_hair
vɪlɛ-n_ᵐbati-n,41_hair
mta-m,42_eye
kuhu-m,43_nose
ⁿdʳɪlaŋa-m,44_ear
soŋo-n,45_mouth
nɛ-nɛ-m,46_tongue
lɪlɪvo-m,47_tooth
vra-r,48_hand
ⁿdʳalɪ-m,50_neck
taɣu-m,51_back
male-r,52_leg
na-ⁿdʳe,53_blood
su-r,54_bone
vlɛ-r,55_skin
ᵐbaɣɪ-f,56_belly
hɛnɛ-na-nd,57_intestines
ne-susa-m,58_breast
liⁿdax,60_dog
na-nix,61_bird
nas,62_fish
n-mat,63_snake
na-hʊt,65_louse
xariv,66_rat
xariv_ⁿdɪknali,66_rat
na-mux,68_mosquito
ⁿdʳul-na,69_egg
ᵐbalɣa-na,70_tail
naɣaⁿde-na,71_wing
vɪlɛ-na,72_feather
nɛrnɛr,73_man
vinaⁿdʳ,74_woman
tɛᵐbiᵐbiʰ,75_child
na-haɣa-k,76_name
ⁿdɪⁿde,77_mother
tate,78_father
leəx_ho-k,79_husband
vinaⁿdʳ_ho-k,80_wife
no-trɛn,81_day
na-vil,83_moon
vivor,84_star
ⁿdakran,85_sky
nu-ã,86_water
ⁿtah,88_sea
na-ⁿdə,89_fire
na-ⁿdə_ɣan,89_fire
nɪ-hɪna,90_smoke
ᵐbɛtɪv,91_ash
n-vat,92_stone
ⁿtan,93_earthsoil
ᵐbɛtkuʰ,94_dust
na-wɛn,95_sand
na-uh,96_rain
ⁿdakran,97_cloud
n-laŋ,98_wind
ᵐbɛtekuro,99_thunder
nɪ-hovɛ-na-n,101_meatflesh
lɪᵐba-na,104_root
ha-raŋ-na-n,105_branch
na-ɣa,107_wood
ni-at,110_thatchroof
na-in,111_house
na-rit,112_rope
na-hal,113_roadpath
i-nɛt,114_black
i-wus,115_white
i-nial,116_red
i-ɣsan,117_green
i-mɣɛl,118_yellow
i-laⁿdlaⁿd,119_big
ɪ-ᵐbih,120_small
-mon,121_sharp
-ᵐbatot,122_bluntdull
i-nɣan,123_shyashamed
-trtəra,124_old
i-ros,125_painfulsick
i-nam,126_good
ɪ-hat,127_bad
i-lalo,129_dirty
aweh,132_far
-xariv,133_near
-nalɣa,134_cold
-nanah,135_dry
-waɛr,136_wet
-mərah,137_new
-mɛ,139_come
ho-vial,140_walk
ho-tur,141_stand
xa-at,142_sit
i-soɸ,143_fall
-tur,145_turn
hi-hɛx,146_climb
-huɸ,147_swim
-xaxaⁿd,148_flyverb
-sɛrɛri,149_throw
-tawɛɣi,150_hide
ho-wɛⁿdʳ,151_eat
hə-nini,152_drink
xa-mamaɸ,153_yawn
hə-tⁿdi,154_spit
ᵐborbor,155_dream
ha-netur_ᵐborbor,155_dream
ha-netur,156_sleep
i-seliɸ,157_live
i-nɛ,158_die
-ruⁿbi-ni,159_kill
ho-roŋɔ,161_hear
xa-vɣaur,163_laugh
ha-ŋar,164_cry
i-hir,165_blow
-ⁿdʳuri,167_sew
-ruᵐbruᵐbi,168_pound
ruᵐbi,169_hit
-tɛsi,170_cut
-ⁿdʳeri,171_split
-ɣili,172_dig
ⁿdʳɛlⁿdʳɛl,173_hunt
-mtaɣet,175_fear
ha-sᵐbeɣe,176_count
ɣe-vɪn-laŋ,177_breathe
ho-lu,178_vomit
-milsi,179_tieup
-ᵐbusi,180_squeeze
-ᵐbur,181_swell
-vɛri,182_say
-koskosi,183_scratch
-hɛri,184_stab
-voli,185_buy
-vnaɣe,186_steal
-lavi,187_plant
-titin,188_cook
-vini,189_shoot
-ⁿdaha,190_work
-vʷale,191_open
navʉl,290_full_moon
tevcen_navʉl,303_half_moon
vanu_memes,248_dry_season
nous_us,411_rainy_season
onembʉ,243_deep_ocean
namʷi,252_earthquake
liŋravic,232_cyclone
liwaliw,410_rainbow
nuʷal_impʷeren,225_cave
niʲal,450_sun
nout,291_garden
nani,229_coconut
nawoɸ,337_coconut_sprout_meat
pʷeren_nani,230_coconut_sprout
nambʷet_piʲok,485_taro_wet
nambʷeta_memes,249_taro_dry
ⁿdram,496_yam
navic,207_banana
melŋen_nambʷet,453_taro_terrace
bataf,216_breadfruit
manjok,224_casava
kumala,316_sweet_potato
nambʷeta_lamʉs,492_taro_wild
nambuc,493_yam_wild
puʷa,396_pig
puʷa_norman,401_pig_male
pʷerpʷer,398_pig_female
puʷa_verver_vavin,399_pig_hermaphrodite
naul,421_sea_worm
nait,371_octopus
nalul,389_owl
kara,287_flying_fox
mara,254_eel
pæɛ,425_shark
nonoŋam_cac,213_magic
nonoŋam_merekete_rumen_cəcənu,467_deaden_ones_thoughts
cənumbamlesⁿcel,247_traditional_dreamer
cənuba_merekete_cənʉ,405_man_who_makes_poison
mokete_suri_cənʉ,329_magic_for_love
roa,317_traditional_medicine
cənuba_mekete_roa_cəcnʉ,318_traditional_doctor_male
visevina_mekete_roa,318_traditional_doctor_male
ramkete_kastom,395_peace_ceremony
nasupaməlep,227_chief
namaŋgi,400_pig_killing_ceremony
saŋavil,226_ceremony_of_the_first_harvest
ŋola,487_wedding
awul_fisefin,217_bride_price
rom_kelkel,428_sister_exchange
moirinim,324_woman_who_married_brother_of_dead_husband
ətex_visevin_amilep,406_polygamy
nonoŋamarcac,242_spirit
alolamkat,442_spirit_human
remelŋenacənumaroknac,194_afterlife
toŋsarewowol,475_direction_inland
mevila,476_direction_sea
mevil_nevitan,370_north
melŋen_nasukonvan_reŋen,413_restricted_place
melŋen_nasukonsəpari,414_restriction_taboo
melŋen_cac_kolna_remelŋenen,409_prepare_taboo
lolak,304_heart
bitom,478_umbilical_cord
nuʷavel_pʷare_bitom,197_amniotic_fluid
ⁿdeŋ_ne_təpis,403_placenta
luen_puʷa,200_armband
kəterur_ŋkunsun,360_piercing_nose
məkəterur_porom,250_ear_piercing
motivecvec,357_penis_sheath
poɾotwon,323_leaves_for_making_mats
niʲat,322_leaves_for_house
nem_se_norman,332_gathering_house_for_men
re_nonom_se_nasup_amlep,228_clearing_in_front_of_chiefs_house
amal,440_space_for_dancing_ceremony
nak,223_canoe
nak_namban,418_sailing_canoe
amokpao,312_initiation_male
usəsəlo,338_menstruation
saŋavul_romon_sa,257_eleven
saŋavul_romon_iru,477_twelve
saŋavul_romnitul,459_thirteen
saŋavul_romnevat,288_fourteen
saŋavul_roməlim,284_fifteen
saŋavul_romniwon,430_sixteen
saŋavul_romimbʉt,423_seventeen
saŋavul_romxoal,255_eighteen
saŋavul_romisiv,367_nineteen
ŋovlətol,460_thirty
ŋovləvas,289_forty
ŋovləwon,431_sixty
ŋovləmbʉt,424_seventy
ŋovləwal,256_eighty
ŋovləwal,368_ninety
torwa,251_earth_oven
mʷelri,445_oven_stones
roʷa_ne_nalok,321_leaves_for_covering_oven
kalwat,474_wood_for_moving_stones
