Marapahu,English Translation
luas,48_hand
te pa smɛl,17_left
te pa smarua,16_right
laʰu,52_leg
miʰal,140_walk
ᵐbraːpa,113_roadpath
oʰim,139_come
loŋgo,145_turn
okul,147_swim
kora,129_dirty
jaə,94_dust
kuliepema,55_skin
masŭna,51_back
mapona,444_stomach
purijuna,54_bone
sinena,57_intestines
puriare,59_liver
ᵐbrajuna,58_breast
purkaonena,49_shoulder
naŋga kilia,315_know_understand
stomal,458_to_think
meroŋ,175_fear
ana kuruta,53_blood
barŭna,40_head
kɔlmekina,50_neck
viluna,41_hair
kununa,43_nose
ᵐbre laŋ,177_breathe
ponos,434_sniff
ŋgona,45_mouth
baruene,47_tooth
purumenena,46_tongue
bitaːle,163_laugh
taŋa,164_cry
milua,178_vomit
plaːsir,154_spit
kinan,151_eat
karamiau,464_to_chew
paraŋkap,188_cook
muña,152_drink
karpaj,212_to_bite
pere,448_suck
kiliŋgana,44_ear
milõŋge,161_hear
kenamɛrana,42_eye
kurave,160_see
maraŋgawa,153_yawn
mimaljo,156_sleep
noritano,144_liedown
muniniʰe,155_dream
tetano,142_sit
sumal,141_stand
jɛrŭna,306_person
jerumɛn,73_man
sira,74_woman
sisi,75_child
oʰu,79_husband
oʰu,80_wife
juma,111_house
maːjro,455_thatch
saŋgi,76_name
pisa,182_say
ŋgilika,112_rope
bijarja,179_tieup
sulua,167_sew
milaŋg kuli,173_hunt
binija,189_shoot
mijae,184_stab
mʷea,169_hit
pinau,186_steal
mʷemar,159_kill
mʷare,158_die
mal,157_live
kopar,183_scratch
tea,170_cut
lak,107_wood
mapla,187_plant
ʷaveveʰa,465_to_choose
mapla,302_to_grow
sirɔp,181_swell
puiŋ,180_squeeze
milaʰe,174_hold
kilia,172_dig
pulja,185_buy
pitaŋga,191_open
mʷea,168_pound
kwuan,149_throw
milor,143_fall
lokul,60_dog
manu,61_bird
kululakapor,69_egg
wilusɛnman,72_feather
kupena,71_wing
kaka,148_flyverb
kawe,66_rat
tata,336_meat
milapa,258_fat
kesina,70_tail
lomara,63_snake
kular,64_worm
kur,65_louse
nam,68_mosquito
kurumalil,67_spider
ika,62_fish
piwa,130_rotten
lasen lak,105_branch
masɜn lak,106_leaf
poloŋgas,104_root
winas,109_flower
ᵐbras,102_fruit
wilumɛn,108_grass
porotano,93_earthsoil
klaʷɛr,92_stone
none,95_sand
wiː,86_water
wiːmĭlao,286_flow
wiːmɛlkaleka,88_sea
mɛlkaleka,419_salt
pululowe,87_lake
jamaruawowe,103_woodsforest
sinapane,85_sky
kuparijo,83_moon
ʷerue,84_star
lul,97_cloud
lul,340_fog
juwa,96_rain
polul,99_thunder
jepla,100_lightning
laŋ,98_wind
oᵐju,165_blow
pavisu,483_hot
miaŋgarŋgo,134_cold
jomema,135_dry
metu,136_wet
urmi,131_heavy
kap,89_fire
kapkekanko,166_burn
kapiju,90_smoke
sĭnokap,91_ash
malolo,114_black
miwowo,115_white
mene,116_red
mlɛr,118_yellow
memeje,117_green
tekak,120_small
keviju,119_big
plas,426_short
piʰahu,328_long
minini,457_thin
merorol,456_thick
epatokak,359_narrow
rapa keviju,489_wide
maŋga,125_painfulsick
memawo,123_shyashamed
urŭmerua,124_old
oruviju,137_new
po,126_good
pjuwa,127_bad
mɛsmɛs,128_correcttrue
kolemalo,82_night
emlaŋ,81_day
kas,15_year
aura ia ,33_when
nalawan,150_hide
puju,146_climb
loʰoima,39_ininside
metaʷe,37_above
meʷatano,38_below
nanu,35_this
nanu arne,36_that
navis,133_near
poperina,132_far
pe,32_where
inu,18_i
ko,23_thou
naŋga,26_heshe
ita,22_weallincl
imem,19_weallexcl
iⁿdalua,20_webothincl
lalua,21_webothexcl
amju,25_youall
kam lua,24_youboth
lalamok,27_theyall
laluaŋga,28_theyboth
jara,30_what
aʰi,31_who
tapʷena,138_other
sulunanasau,195_all
amjo,199_and
joko,311_if
sanape,34_how
beraŋga,29_nonot
aʰulo,176_count
tava,1_one
lua,2_two
delu,3_three
ʷari,4_four
lima,5_five
orɑj,6_six
olua,7_seven
orɛl,8_eight
oʷar,9_nine
lualima,10_ten
lualima ʷa tanga pa lua,11_twenty
lualima ʷa tanga pa lima,12_fifty
ponotia taŋga,13_onehundred
tonaria,14_onethousand
