Tasmate,English Translation
tarpoe vaʔa tewa,14_onethousand
navul pitu,424_seventy
snaraβ lima,284_fifteen
navul tol,460_thirty
snarapit,423_seventeen
laviul vaʔa tewa,13_onehundred
tewa,1_one
sanaβul,10_ten
t͡ʃiwa,9_nine
navul lima,12_fifty
rua,2_two
lima,5_five
snaraβ tewa,257_eleven
snaraβ ono,430_sixteen
snaraβ t͡ʃiwa,367_nineteen
navul alu,256_eighty
navul ono,431_sixty
vati,4_four
tolu,3_three
navul vatɪ,289_forty
alu,8_eight
navulu rua,11_twenty
snaraβ rua,477_twelve
snaraβːat,288_fourteen
pitu,7_seven
navul t͡ʃiwa,368_ninety
ono,6_six
snaraw alu,255_eighteen
snaraβ tol,459_thirteen
laosi wot͡ʃara,478_umbilical_cord
ʔapatia kakan,290_full_moon
usa ta lapa,446_storm
matui,229_coconut
usa mʷasomʷaso,325_sun_shower
torow,492_taro_wild
patina poe,402_pig_tusk
ran si lele,411_rainy_season
pʷwelamane,401_pig_male
maraeβaso,410_rainbow
monaj marua,413_restricted_place
napaka,208_banyan_tree
wita,371_octopus
monaj si koru,248_dry_season
ʔapatia wotu,364_new_moon
peʔo,216_breadfruit
oβo,417_sail
tapolo,291_garden
lanlos,232_cyclone
rakue,246_dolphin
mʷala,408_pregnant
ʔapan,314_kava
tana,483_hot
mʷaso,450_sun
ʔapu,223_canoe
tiana,338_menstruation
kure,398_pig_female
kwalju,438_south
mʷalo sere,412_reef
kam,496_yam
muj,252_earthquake
ʔas ina puto,494_womb
paʔeo,425_shark
tana ina paule,227_chief
sula,230_coconut_sprout
pʷeta ina βura,485_taro_wet
moli naʔpalʔoro,227_chief
poe,396_pig
narawe,399_pig_hermaphrodite
tastup,461_tsunami
pʷeta ina mʷeo,249_taro_dry
pʷapʷana mʷalo,225_cave
kokoloa,243_deep_ocean
sari,474_wood_for_moving_stones
βetal,207_banana
tapeoka,333_manioc
alu,493_yam_wild
akua,488_west
mʷat͡ʃoe,84_star
tipaja,189_shoot
kora,164_cry
βikeβike,188_cook
t͡ʃiwa,9_nine
suina,54_bone
taʔaβariʔi,137_new
ice rara,195_all
patina,47_tooth
wawana,45_mouth
mapʷena,59_liver
tasi,88_sea
rarana,105_branch
matana,42_eye
nakaj,199_and
losia,169_hit
taʔalapa,489_wide
limana,71_wing
taʔalapa,119_big
tano,93_earthsoil
lima,48_hand
naw,18_i
apatia,83_moon
otolina,69_egg
pitu,7_seven
pon,82_night
aβanʔua,132_far
sale,148_flyverb
kutakuta,129_dirty
