Wunawai,English Translation
ruβun motea,14_onethousand
aβlalimaraβerua,424_seventy
aβlatea wanam lima,284_fifteen
aβlatolu,460_thirty
aβlatea wanam limaraβerua,423_seventeen
tar motea,13_onehundred
tea,1_one
aβlatea,10_ten
marajpat,9_nine
aβlalima,12_fifty
rua,2_two
lima,5_five
aβlatea wanamu tea,257_eleven
aβlatea wanamu limaraβe,430_sixteen
aβlatea wanam limaraβeβaːti,367_nineteen
aβla.alu,256_eighty
aβlalimaraβe,431_sixty
βaːti,4_four
tolu,3_three
aβlaβat,289_forty
limaraβetol,8_eight
aβlarua,11_twenty
aβlatea wanamu rua,477_twelve
aβlatea wanam βaːti,288_fourteen
raβerua,7_seven
aβlalimaraβepat,368_ninety
limaraβe,6_six
aβlatea wanam limaraβtolu,255_eighteen
aβlatea wanam tolu,459_thirteen
ima rot͡ʃo,478_umbilical_cord
βaliβut,290_full_moon
usa ta t͡siat͡sia,446_storm
matui,229_coconut
usa mʷasomʷaso,325_sun_shower
turuila,492_taro_wild
patinapoe,303_half_moon
poe patina,402_pig_tusk
ran βari,411_rainy_season
pʷewas,401_pig_male
morae marua,413_restricted_place
paka,208_banyan_tree
wita,371_octopus
masoturi,248_dry_season
apatia βut,364_new_moon
peɣo,216_breadfruit
joβo,417_sail
wuma,291_garden
lan los,232_cyclone
rakue,246_dolphin
poleakae,408_pregnant
t͡ʃama,314_kava
tana,483_hot
mʷaso,450_sun
ap,223_canoe
kuɣu,338_menstruation
kure,398_pig_female
mʷalo,412_reef
kam,496_yam
muj,252_earthquake
putona,494_womb
paɣeo,425_shark
tana ina paule,227_chief
nasulana,230_coconut_sprout
pʷeta ina pej,485_taro_wet
moli,227_chief
poe,396_pig
naraβe,399_pig_hermaphrodite
tas turi,461_tsunami
pʷeta ulu,249_taro_dry
pʷapʷanamʷalo,225_cave
pʷal,243_deep_ocean
sarae,474_wood_for_moving_stones
βatal,207_banana
tapiuka,333_manioc
alu,493_yam_wild
mʷat͡ʃoe,84_star
vineja,189_shoot
kora,164_cry
βikeβike,188_cook
maraepat,9_nine
suim,54_bone
taβari,137_new
βunβun,195_all
patim,47_tooth
wawam,45_mouth
mapʷem,59_liver
