Vaocanada,English Translation
ɣɛte,1_one
ɣi-ru,2_two
ɣe-tul,3_three
ɣɛ-ðat,4_four
ɣɪ-linɛ,5_five
ɣi-jon,6_six
ɣɛ-ᵐbʉt,7_seven
ɣo-al,8_eight
iɣɪ-xive,9_nine
-haŋavul,10_ten
momol_rul_ri-ru_ɣɛ-ru,11_twenty
momol_rul_ɣɛ-linɛ,12_fifty
mofu_aŋanavul,13_onehundred
hugav,15_year
matu,16_right
maɛr,17_left
ina,18_i
inɪɣe,19_weallexcl
iɣe_riru,20_webothincl
kanam_rɪru,21_webothexcl
iɣe,22_weallincl
inɪɣɔ,23_thou
kami,24_youboth
kami_iru,25_youall
χini,26_heshe
inirɛ,27_theyall
mutige,29_nonot
naxa,30_what
iʃɪ,31_who
ambe,32_where
haravan,33_when
iðaðiha,34_how
hine,35_this
ilak,36_that
-a͡ul,37_above
-nɛloloðinɛ,38_below
-lolon,39_ininside
ᵐbatu-ne,40_head
vulu-ne,41_hair
nata-n,42_eye
ɲohori-ne,43_nose
ᵐbororo-n,44_ear
nɛnɪ-m,46_tongue
wuru-ne,47_tooth
ni-na-n,48_hand
ᵐbili-nɛ,49_shoulder
ᵐbulaɣaho-n,50_neck
hotura-n,51_back
karu-ne,52_leg
ren,53_blood
hu-nɛ,54_bone
vulvulu-ne,55_skin
taᵐbaŋɛ-n,56_belly
t͡ʃinɛn,57_intestines
huhu-nɛ,58_breast
ᵐbɛᵐbɛn,59_liver
viɣi,60_dog
na-nan,61_bird
na-nas,62_fish
na-mat,63_snake
taᵐbaraxas,64_worm
xarið,66_rat
na-ᵐbar,67_spider
na-muɣe,68_mosquito
tool,69_egg
vilaɣao-nɛ,70_tail
ɣaᵐbɛ-n,71_wing
vulu-ne,72_feather
namɛr,73_man
ðaðinɛ,74_woman
nasorik,75_child
ne-ha-n,76_name
ᵐbi,77_mother
te,78_father
nuku_nahoᵐbɛ,79_husband
nuku_ðaðinɛ,80_wife
utɛran,81_day
utaᵐboŋ,82_night
na-vule,83_moon
na-vʉt,84_star
ⁿdakaran,85_sky
nu-ɛ,86_water
nɛ-teh,88_sea
na-xamb,89_fire
nehe_na-xamb,90_smoke
na-ðat,92_stone
na-tan,93_earthsoil
ᵐbetnaɣaɸ,94_dust
ta-ᵐbaŋ_na-on,95_sand
na-xue,96_rain
ᵐbaᵐbor,97_cloud
na-laŋ,98_wind
na-kur,99_thunder
na-vile,100_lightning
ðihiɣo-n,101_meatflesh
vuan,102_fruit
xɔari-nɛ,104_root
raŋa-n,105_branch
roxii-nɛ,106_leaf
nɛ-χe,107_wood
na-nux,108_grass
ðɪhira-n,109_flower
ni-at,110_thatchroof
ne-ɪmɛ,111_house
nu-ɛh,112_rope
na-hal,113_roadpath
-not,114_black
-vuhe,115_white
-nɛne,116_red
-roχe,117_green
-seax,119_big
-vilele,120_small
-ᵐbasis,122_bluntdull
-noɣonɣan,123_shyashamed
-mɛrsean,124_old
-ros,125_painfulsick
-rux,126_good
-hat,127_bad
-vararux,128_correcttrue
-lalo,129_dirty
-momo,130_rotten
-rov,131_heavy
axa,132_far
-nerit,133_near
-nanah,135_dry
-ramɪn,136_wet
-ᵐbar,137_new
-mɛ,139_come
-moɛh,140_walk
-tur,141_stand
-at,142_sit
-rori,145_turn
-ðɛn,146_climb
-kar,147_swim
-vir,148_flyverb
-vireni,149_throw
-hilveni,150_hide
-ɣɛnɣan,151_eat
-muni,152_drink
-ɣinma,153_yawn
-litoð,154_spit
-naliɣɔ,156_sleep
-naur,157_live
-nat,158_die
-lux-mɛtei,159_kill
-lehi,160_see
-roŋe,161_hear
-ᵐboni,162_sniffsmell
-nan,163_laugh
-taŋ,164_cry
-hirhir,165_blow
-axan,166_burn
lohi,168_pound
-lohi,169_hit
-te,170_cut
-xorxor,173_hunt
-tori,174_hold
-matax,175_fear
-ðɛðe,176_count
-lav_hovan,177_breathe
-lulu,178_vomit
-sali,179_tieup
-virihi,180_squeeze
-vɛre,182_say
-hororohi,183_scratch
-susi,184_stab
-voli,185_buy
-ðanaɣɔ,186_steal
-lavɔ,187_plant
-tutun,188_cook
-vinei,189_shoot
-ðihahax,190_work
-vuɣe,191_open
