Evuindondo,English Translation
katikal,1_one
kairo,2_two
kai_tol,3_three
kai_ɸes,4_four
βes,4_four
kai_lem,5_five
kai_on,6_six
kai_ᵐbit,7_seven
kai_wol,8_eight
kai_sewo,9_nine
haŋaβul,10_ten
ŋarɡʷer,11_twenty
ŋarβulgʷero,11_twenty
ŋarɡelem,12_fifty
ŋarβul_gelem,12_fifty
ɸuⁿdolo,13_onehundred
teri,14_onethousand
hikau,15_year
mato,16_right
mawiri,17_left
nieu,18_i
kamai,19_weallexcl
kamai_hokse,19_weallexcl
kinde-ru,20_webothincl
kama-ru,21_webothexcl
keⁿde,22_weallincl
nieᵑɡo,23_thou
kimi-ru,24_youboth
kimiu,25_youall
nie,26_heshe
ŋiere,27_theyall
ka-ro,28_theyboth
hate,29_nonot
ɸakhao,30_what
hien,31_who
lo,32_where
haβtaro,33_when
mʷerhilo,34_how
ɡisiu,35_this
ɡiβano,36_that
awul,37_above
ɸaɸaik,38_below
lolon,39_ininside
ᵑɡʷatu,40_head
ɸulu,41_hair
mataku̥,42_eye
ᵑɡʷaŋo,43_nose
ᵐbʷaŋo,43_nose
ᵑɡʷero,44_ear
wuwaⁿda,45_mouth
waⁿda,45_mouth
mea,46_tongue
leβo,47_tooth
lim,48_hand
seᵑɡʷe,49_shoulder
mʷakoro,50_neck
kainhere,51_back
karʊ,52_leg
ⁿdai,53_blood
hui,54_bone
ɸinu,55_skin
taŋbʷeŋ,56_belly
sinai,57_intestines
huhu,58_breast
ate,59_liver
kiriu,60_dog
manu,61_bird
eke,62_fish
teltele,63_snake
siloti,64_worm
kutu,65_louse
kariβi,66_rat
takak,67_spider
lalaᵑɡasi,68_mosquito
toli,69_egg
kolo,70_tail
ᵐban,71_wing
βulu,72_feather
wulu,72_feather
ŋʷera,73_man
ɸaβin,74_woman
marus,75_child
heᵑɡu,76_name
ratahi-ᵑɡu,77_mother
retahi-ᵑgu,77_mother
tama-ᵑɡu,78_father
tamainitu-ᵑɡu,79_husband
tuᵐbulabale-ᵑɡu,80_wife
rain,81_day
ᵐboiŋ,82_night
ɸole,83_moon
ɸisiu,84_star
ŋʷel,85_sky
wai,86_water
tahi,88_sea
aβi,89_fire
ahuneβi,90_smoke
ᵑɡʷəe,91_ash
βatu,92_stone
tano,93_earthsoil
ᵑɡʷe,94_dust
one,95_sand
ohe,96_rain
taenleŋ,97_cloud
laŋi,98_wind
mantawa,99_thunder
ɸele,100_lightning
ᵐbiki,101_meatflesh
mʷas_kai,102_fruit
lalaᵐbot,103_woodsforest
kʷairi,104_root
raŋ,105_branch
raŋa,105_branch
rau,106_leaf
kai,107_wood
ⁿduβu,108_grass
βer,109_flower
ɸere,109_flower
taᵑɡor,110_thatchroof
ɸale,111_house
karo,112_rope
turek,113_roadpath
maeto,114_black
maβote,115_white
memea,116_red
ɡesak,117_green
aŋoɡa,118_yellow
luwo,119_big
ᵐbiti,120_small
manɡenɡenu,121_sharp
ᵑɡʷatɔ,122_bluntdull
maimai,123_shyashamed
malek,124_old
kakaras,125_painfulsick
kariek,126_good
hasik,127_bad
hok,128_correcttrue
soᵑɡoro,129_dirty
maⁿda,130_rotten
mʷaβa,131_heavy
ɸakhao,132_far
ɡaᵑɡarani,133_near
kamʷaⁿdiⁿdi,134_cold
mamah,135_dry
ᵐbiᵐbilu,136_wet
ᵐbʷarok,137_new
ᵑgʷarok,137_new
tuek,138_other
mai,139_come
ⁿdek,140_walk
laᵐbe,141_stand
tok,142_sit
soi,143_fall
eno,144_liedown
kilou,145_turn
ᵑɡalo,146_climb
karkeru,147_swim
olo,148_flyverb
tuli,149_throw
hilik,150_hide
kakani,151_eat
inu,152_drink
mamau,153_yawn
loⁿdo,154_spit
ᵐboᵐbore,155_dream
maturu,156_sleep
mʷaso,157_live
maete̥,158_die
oβaɡmat,159_kill
leo,160_see
roŋo,161_hear
suŋuri,162_sniffsmell
mana,163_laugh
ŋara,164_cry
uβi,165_blow
kara,166_burn
turu,167_sew
ɸʷosa,168_pound
owe,169_hit
teβe,170_cut
ɸese,171_split
keli,172_dig
tureki,173_hunt
haᵑɡo,174_hold
mataku̥,175_fear
ɸelu,176_count
βelu,176_count
maᵐbu,177_breathe
lue,178_vomit
fahi,179_tieup
woro,180_squeeze
ɸoke,181_swell
ɸeβe,182_say
taᵑɡari,183_scratch
turu,184_stab
ɸoli,185_buy
ᵐbalu,186_steal
riβu,187_plant
tutunu̥,188_cook
ɸene,189_shoot
taᵐbana,190_work
roa,191_open
