Ctlsungwadogarata,English Translation
tea,1_one
təɸʷale,1_one
rua,2_two
irua,2_two
toli,3_three
ɸat,4_four
iɸat,4_four
teβelma,5_five
letbʷale,6_six
laβrua,7_seven
laβtol,8_eight
liβat,9_nine
saŋaβul_tuwale,10_ten
saŋaβul_rua,11_twenty
saŋaβul_teβelma,12_fifty
ŋʷeldol_tuwale,13_onehundred
tarβa_tuɸʷale,14_onethousand
ⁿdam,15_year
matua,16_right
xaloa,17_left
nau,18_i
kami,19_weallexcl
ⁿda-ruah,20_webothincl
hiⁿda-ruah,20_webothincl
kami-rua,21_webothexcl
hiⁿda,22_weallincl
ihiⁿda,22_weallincl
niko,23_thou
kamrua,24_youboth
ikam,25_youall
kam,25_youall
hia,26_heshe
hira,27_theyall
hirarua,28_theyboth
tei,29_nonot
asa,30_what
ise,31_who
jaᵐbe,32_where
tagsasa,33_when
takasa,33_when
taɣasa,33_when
ɸʷarsa,34_how
ⁿdoa,35_this
ⁿdoβano,36_that
jaulna,37_above
laβaβah,38_below
lolo,39_ininside
ᵐbʷatu,40_head
ulu,41_hair
mataɣ,42_eye
lisu-kʰ,43_nose
ᵐboroɣ,44_ear
ɸʷaɸʷa-kʰ,45_mouth
luame,46_tongue
liwox,47_tooth
liβʷo,47_tooth
limakʰ,48_hand
tuᵐbʷa-kʰ,49_shoulder
xawa,50_neck
tau-kʰ,51_back
taɣu-kʰ,51_back
karukʰ,52_leg
ⁿdi,53_blood
suru-kʰ,54_bone
ɸinu-kʰ,55_skin
taŋa-kʰ,56_belly
tinaie-kʰ,57_intestines
susu-kʰ,58_breast
ɸara-kʰ,59_liver
xiriu,60_dog
maslaraɣai,61_bird
mas,62_fish
mʷaxatʰa,63_snake
mʷaatʰa,63_snake
sulate,64_worm
mʷaⁿdi,65_louse
xariɸ,66_rat
taɣaɣa,67_spider
taxaɣa,67_spider
taɰaɣa,67_spider
nam,68_mosquito
toli,69_egg
xolo,70_tail
ᵐbana,71_wing
ulna,72_feather
mʷeriata,73_man
ɸaɸine,74_woman
mʷera,75_child
sasaɣ,76_name
ᵐbʷau,77_mother
tata,78_father
tuᵐbuk,79_husband
reinatuk,80_wife
ran,81_day
ᵐbʷoŋ,82_night
ɸula,83_moon
ɸitiu,84_star
maβin,85_sky
maɸin,85_sky
wi,86_water
ᵐbulo,87_lake
tas,88_sea
iaɸ,89_fire
ias,90_smoke
taniaɸ,91_ash
ɸat,92_stone
tano,93_earthsoil
taniaβ,94_dust
one,95_sand
usa,96_rain
taelaŋ,97_cloud
laŋ_roβo,98_wind
manβara,99_thunder
ɸəlah,100_lightning
ᵐbiɣiᵐbiɣi,101_meatflesh
ɸʷia_na_xai,102_fruit
uta_βono,103_woodsforest
uta_ɸono,103_woodsforest
xoari,104_root
raŋah,105_branch
luɣai,106_leaf
xai,107_wood
ᵐbalis,108_grass
ɸasa,109_flower
ⁿdu_takra,110_thatchroof
imʷa,111_house
xau,112_rope
sala,113_roadpath
maeto,114_black
wowoβʷo,115_white
wowowo,115_white
memea,116_red
ᵐbʷaroha,117_green
jaŋoha,118_yellow
ᵐboi,119_big
rikrik_ᵐbʷa,120_small
mamatan,121_sharp
ᵐbʷatola,122_bluntdull
maman,123_shyashamed
moni,124_old
wawale,125_painfulsick
xarea,126_good
sat,127_bad
tarsa,128_correcttrue
sasaŋora,129_dirty
ⁿdar,130_rotten
ⁿdem,131_heavy
mʷənβano,132_far
ⁿdoaᵐbʷa,133_near
xamʷaⁿdi,134_cold
mamasa,135_dry
samʷale,136_wet
xaraᵐbʷe,137_new
tuara,138_other
ɸanma,139_come
xau,140_walk
tul,141_stand
mᵚam,142_sit
soe,143_fall
weno,144_liedown
ⁿdiɣe,145_turn
kalo,146_climb
xaɣar,147_swim
xaβa,148_flyverb
ᵐbʷaleⁿdan,149_throw
silβah,150_hide
xan,151_eat
min,152_drink
mʷamʷaoβa,153_yawn
ɸura,154_spit
matur_ᵐbʷoᵐbʷore,155_dream
matur,156_sleep
mʷaso,157_live
mate,158_die
wasɸaɣamate,159_kill
wete,160_see
roŋo,161_hear
ᵐbunas,162_sniffsmell
mana,163_laugh
ŋara,164_cry
uɸ,165_blow
nos,166_burn
tuɣuru,167_sew
waswasia,168_pound
was,169_hit
teβe,170_cut
ⁿdara,171_split
xil,172_dig
xaraβaɣ,173_hunt
tor,174_hold
mataɣ,175_fear
ɸal,176_count
maᵐbus,177_breathe
lulua,178_vomit
wet,179_tieup
ɸiris,180_squeeze
ɸoro,180_squeeze
riɣa,181_swell
ɸeβe,182_say
takar,183_scratch
susu,184_stab
ɸol,185_buy
bal,186_steal
riβu,187_plant
raŋi,188_cook
ɸene,189_shoot
roᵐba,190_work
roa,191_open
