Saa_Baie Barrier,English Translation
cijat,259_uncle_paternal
cijat ætlap,262_uncle_paternal_older
cijat æntekan,280_uncle_paternal_younger
itnik,274_aunt_paternal
itnik ætlap,273_aunt_paternal_older
itnik entekan,281_aunt_paternal_younger
micjak,342_uncle_maternal
micjak etlap,346_uncle_maternal_older
micjak antekan,354_uncle_maternal_younger
dasik,348_aunt_maternal
dasik etlap,347_aunt_maternal_older
dasik entekan,355_aunt_maternal_younger
watok,374_brother
wæinik,381_sister_older
wæinik æntekan,498_younger_sister
watok,264_first_cousin_male_paternal_uncle
wæinik,263_first_cousin_female_paternal_uncle
mæbik,277_first_cousin_male_paternal_aunt
mæbik,275_first_cousin_female_paternal_aunt
biɸi,343_first_cousin_male_maternal_uncle
biɸi ɪsɪn,344_first_cousin_female_maternal_uncle
watok,351_first_cousin_male_maternal_aunt
wæinik,350_first_cousin_female_maternal_aunt
micijak,260_father_in_law
itnik,341_mother_in_law
wancun,261_father_in_law_of_woman
itnik,310_mother_in_law_of_woman
nakisin,80_wife
naxarman,79_husband
tasik,235_daughter_in_law
wasisik,300_grandson_son
wæinik,300_grandson_son
wancuk,435_son
wancuk ɪsɪn,234_daughter
mæbik,238_grandson_daughter
mæbik ɪsɪn,236_granddaughter_daughter
taɾɪt,237_son_in_law
wancuk arman,220_nephew_fraternal
wancuk ɪsɪn,214_niece_fraternal
alak,363_nephew_sororal
alak isin,365_niece_sororal
su:,1_one
bɛɾu,2_two
bɛtɪl,3_three
bɛ:ɪt,4_four
belim,5_five
bɛlesu,6_six
belɛuɾu,7_seven
belɛtɪl,8_eight
beliʲapat,9_nine
benul su:,10_ten
nulsu æsu,257_eleven
nulsu æmbeɾu,477_twelve
nulsu æmbetil,459_thirteen
nulsu æmbɛ:ɪt,288_fourteen
nulsu æmbelim,284_fifteen
nulsu æmbelesu,430_sixteen
nulsu æmbelɛuɾu,423_seventeen
nulsu æmbelɛtɪl,255_eighteen
nulsu æbeliʲapat,367_nineteen
nul feɾu,11_twenty
nul betɪl,460_thirty
nul bɛ:ɪt,289_forty
nul belim,12_fifty
nul belesu:,431_sixty
nul belɛuɾu,424_seventy
nul belɛtɪl,256_eighty
nul beliʲapat,368_ninety
møɾəfan,13_onehundred
