Panas,English Translation
sanaβul wana lina,284_fifteen
sanaβul wana raβerua,423_seventeen
ese,1_one
sanaβul,10_ten
rapat,9_nine
rua,2_two
lina,5_five
sanaβul wana ese,257_eleven
sanaβul wana linaraβe,430_sixteen
sanaβul wana rapati,367_nineteen
βati,4_four
tolu,3_three
raptol,8_eight
sanaβul wana sanaβul,11_twenty
sanaβul wana rua,477_twelve
sanaβul wana βat,288_fourteen
raβerua,7_seven
linaraβe,6_six
sanaβul wana raptolu,255_eighteen
sanaβul wana tolu,459_thirteen
puʔuriʔi,478_umbilical_cord
usa taʔa was,446_storm
natui,229_coconut
usa mʷaso,325_sun_shower
torow,492_taro_wild
ut͡ʃuj pʷeʔi,402_pig_tusk
ran koru,411_rainy_season
pʷat warus,401_pig_male
saʔar tej mʷat͡ʃa,410_rainbow
paka,208_banyan_tree
wita,371_octopus
ran arat͡ʃi,248_dry_season
pʷasia na lumlum,364_new_moon
leβo,216_breadfruit
oβo,417_sail
umʷa,291_garden
lan,232_cyclone
ura kue,246_dolphin
apan,314_kava
tana,483_hot
mʷaso,450_sun
aːβi,223_canoe
teana,338_menstruation
mʷat͡ʃuʔa,398_pig_female
mʷalo,412_reef
ʔolow,496_yam
moj,252_earthquake
as ina putono,494_womb
paʔoj,425_shark
tuwuna natuj,230_coconut_sprout
pʷete ina loma,485_taro_wet
mol,227_chief
pʷeʔi,396_pig
raːwe,399_pig_hermaphrodite
tasua,461_tsunami
pʷete ina umʷa,249_taro_dry
pʷapʷa sula,225_cave
tas taʔa pʷaʔ,243_deep_ocean
soru ina sula,474_wood_for_moving_stones
vetal,207_banana
tapjuka,333_manioc
ʔolow ila,493_yam_wild
βitu,84_star
βinej,189_shoot
ces,164_cry
eβat͡ʃβat͡ʃ,188_cook
rapat,9_nine
suim,54_bone
taʔarat͡ʃi,137_new
ira βunβun,195_all
ut͡ʃum,47_tooth
lompʷam,45_mouth
mʷapʷem,59_liver
taːs,88_sea
tawana,105_branch
natam,42_eye
roj,199_and
βitiʔi,169_hit
taʔawas,489_wide
apauna,71_wing
taʔawas,119_big
taːno,93_earthsoil
linaku,48_hand
nao,18_i
pasiʔa,83_moon
tolina,69_egg
raβe rua,7_seven
pon,82_night
βan pʷati,132_far
sala,148_flyverb
nunuʔu,129_dirty
t͡ʃot͡ʃo,85_sky
naːno,61_bird
toaj,138_other
etus,212_to_bite
mamaʔan,123_shyashamed
lolos,147_swim
