Burmbarburmbar,English Translation
soɣa,1_one
e-ru,2_two
e-tɛr,3_three
e-vɛt,4_four
e-rim,5_five
marov-tɛs,6_six
marov-ro,7_seven
marov-tɛr,8_eight
maro-pe,9_nine
saŋavor,10_ten
ŋavor_e-ruʰ,11_twenty
ŋavor_e-rim,12_fifty
moŋot_varsera,13_onehundred
na-ⁿdʳam,15_year
ŋe-tin,16_right
maɛr,17_left
inau,18_i
ⁿdaru,20_webothincl
ⁿdʳato,22_weallincl
ɣaoŋ,23_thou
ŋai,26_heshe
rato,27_theyall
raro,28_theyboth
ʧɛve,30_what
ise,31_who
ambe,32_where
ŋais,33_when
kasiŋɛᵐbe,34_how
-ɣapoɣte,37_above
-ɣaɣoɣom,39_ininside
ᵐbatu-ŋ,40_head
nɛ-vuron_ᵐbatu-ŋ,41_hair
mata-ŋ,42_eye
na-ɣonʧu-ŋ,43_nose
xɛrsa-ŋ,44_ear
ᵐbaŋo-ŋ,45_mouth
mɛ-ŋ,46_tongue
nɛ-lufo-ŋ,47_tooth
fara-ŋ,48_hand
ᵐbotfosɛ-ŋ,49_shoulder
ⁿdofɛ-ŋ,50_neck
maⁿdru-ŋ,51_back
nɛ-ruɛ-ŋ,52_leg
nɛ-ⁿdʳe,53_blood
ᵐbaraŋo-ŋ,54_bone
no-hoɣoᵐbɛ-ŋ,55_skin
ⁿdaᵐba-ŋ,56_belly
mɛrta-ŋ,57_intestines
ne-susu-ŋ,58_breast
ᵐbovsɛ-ŋ,59_liver
no-kri,60_dog
ᵐbasir,61_bird
na-ix,62_fish
na-mat,63_snake
na-tuŋlat͡s,64_worm
na-ɣut,65_louse
ɣasuf,66_rat
ⁿdrumarau,67_spider
na-nam,68_mosquito
ⁿdʳuru-n,69_egg
ᵑgarɛ-n,70_tail
ɣavɛ-n,71_wing
nɛ-vuɣ_basir,72_feather
van,73_man
vavin,74_woman
ⁿdɪmare,75_child
nɛ-ɣsa-m,76_name
nana,77_mother
tata,78_father
fana_sa-ŋ,79_husband
vavɪn_sa-ŋ,80_wife
nautmʷerɪn,81_day
ruᵐbasɔ,82_night
na-ɣɪᵐbatiʰ,83_moon
masɔ,84_star
na-maɸ,85_sky
nu-ai,86_water
ne-ⁿdʳunuʰ,87_lake
ne-tes,88_sea
na-ɣamp,89_fire
ᵐbasoɣte,90_smoke
ᵐboɣto_ɣamp,91_ash
nɛ-vɛt,92_stone
ne-tɛn,93_earthsoil
baraŋaɸ,94_dust
ⁿdobornon,95_sand
na-os,96_rain
ᵐborᵐban,97_cloud
ne-rɛŋ,98_wind
na-urvar,99_thunder
na-ᵐbir,100_lightning
ᵐbumɪt,101_meatflesh
fʷɛnarte,102_fruit
ⁿduᵐbʷai,103_woodsforest
nɛ-ᵐbarar-te,104_root
ᵐbasoɣ-te,105_branch
na-rarte,106_leaf
na-ɣai,107_wood
na-munwai,108_grass
na-mat,110_thatchroof
na-im,111_house
no-ɣɔ,112_rope
na-pʷesar,113_roadpath
ma-mirmir,114_black
ma-pœx,115_white
ma-ᵐbisᵐbis,116_red
ma-maᵐbraɣis,117_green
ma-ŋaŋ,118_yellow
ma-ɣovon,119_big
ma-kagɪs,120_small
savi,121_sharp
ma-ᵐʙʊx,122_bluntdull
u-maɣamaɣan,123_shyashamed
u-taram,124_old
ma-masax,125_painfulsick
ma-vɔʰ,126_good
mʷi-se,127_bad
u-ketin,128_correcttrue
ma-ŋoⁿdʳ,130_rotten
ma-mɪrɪs,131_heavy
-tɛnmɪs,132_far
-morokon,133_near
-maɣaɣas,134_cold
ma-mamæs,135_dry
ma-ᵐbarox,136_wet
ma-βɪβeoʰ,137_new
-ᵑgune,139_come
mɛ-vnɪvɛn,140_walk
nɪma-tu,141_stand
nɪma-non,142_sit
ma-ⁿdʳum,143_fall
kuma-sax,146_climb
-ⁿdʳorox,147_swim
kumo-kuᵐbax,148_flyverb
kuma-kuᵐbeni,149_throw
tu-sususuarni,150_hide
nɪma-ɣan,151_eat
nɪma-mun,152_drink
nɪma-ɣɛnmoŋ,153_yawn
nɪmɪ-pre,154_spit
mapit_naᵐbor,155_dream
nɪm-pat,156_sleep
kume-maur,157_live
kume-mɪt,158_die
-tues-ᵐbɛni,159_kill
nɪ-mʷɛsi,160_see
ma-raŋoni-,161_hear
-ᵐboɣte,162_sniffsmell
nɪma-man,163_laugh
nɪma-ⁿdʳaŋ,164_cry
ma-pœrpœrur,166_burn
kuma-saⁿdʳo,167_sew
u-ᵐbraᵐbrasi,168_pound
tu-vurasi,169_hit
gu-tai,170_cut
kuti-tepoi,171_split
ku-viti,172_dig
nɪma-kokau,173_hunt
ne-mamatax,175_fear
kutu-forɛŋi,176_count
na-maŋfaŋaɸ,177_breathe
nɪma-ru,178_vomit
kuma-ᵐbɛŋsi,179_tieup
kute-vuvsi,180_squeeze
ma-kus,181_swell
kuma-woke,182_say
karkaro,183_scratch
nɪma-tari,184_stab
-ᵑgare,185_buy
kuma-vɪnaɣɔ,186_steal
gutu-ruwi,187_plant
nɪmɛ-psoŋ,188_cook
nɪma-vini,189_shoot
gutu-ᵑgas,190_work
-ʧaŋaɸ,191_open
