Ssungagageavavanvae,English Translation
tea,1_one
rua,2_two
tolu,3_three
ɸeti,4_four
lima,5_five
ono,6_six
ᵐbitu,7_seven
ɸʷelu,8_eight
siβʷo,9_nine
saŋaβulu,10_ten
ŋaβuɣeirua,11_twenty
ŋaβuɣeilima,12_fifty
ɸuⁿdolua,13_onehundred
saŋaβulɸaɣatuale,14_onethousand
ⁿdamu,15_year
mʷetua,16_right
mʷeriri,17_left
neu,18_i
ᵑɡamai,19_weallexcl
xiⁿdaru,20_webothincl
ᵑɡamaru,21_webothexcl
xiⁿda,22_weallincl
niᵑɡo,23_thou
ᵑɡemiru,24_youboth
ᵑɡemiu,25_youall
xaia,26_heshe
xaira,27_theyall
laɣarua,28_theyboth
ᵐbʷeli,29_nonot
sãnã,30_what
sei,31_who
jeᵐbe,32_where
saβataro,33_when
loli,34_how
xaɣe,35_this
laxⁱaβano,36_that
aulu,37_above
ɸaɸana,38_below
lolona,39_ininside
ᵐbʷatu,40_head
ɸulu,41_hair
mata,42_eye
xansu,43_nose
ᵐbʷero,44_ear
ɸʷaβʷa,45_mouth
mɛa,46_tongue
liβʷo,47_tooth
lima,48_hand
limaʰ,48_hand
tiᵐbʷa,49_shoulder
mʷaɣoro,50_neck
xanteɣu,51_back
ᵑɡaru,52_leg
ⁿdaɪ,53_blood
sui,54_bone
ɸinu,55_skin
taŋaⁿda,56_belly
tinae,57_intestines
susu,58_breast
ɸara,59_liver
xiriu,60_dog
manu,61_bird
iɣa,62_fish
mʷaɣata,63_snake
siloti,64_worm
mʷaⁿdi,65_louse
xariβi,66_rat
taɣaɣa,67_spider
namo,68_mosquito
toli,69_egg
xolo,70_tail
xaᵐbau,71_wing
lalau,72_feather
mʷera,73_man
ɸaɸine,74_woman
maresu,75_child
ase,76_name
ᵐbʷotaɛ,77_mother
ᵐbʷotaɪ,77_mother
tata,78_father
asoaᵑɡu,79_husband
tasalaᵑɡu,80_wife
uta_rani,81_day
taᵐbʷoŋi,82_night
ɸula,83_moon
ɸitiu,84_star
taetae,85_sky
wai,86_water
ᵐbʷaᵑɡa,87_lake
tasi,88_sea
aβi,89_fire
asu,90_smoke
tiᵑɡeβu,91_ash
ɸatu,92_stone
tano,93_earthsoil
tiᵑɡeβu,94_dust
one,95_sand
use,96_rain
ⁿdoⁿdo,97_cloud
laŋi,98_wind
mantaβʷa,99_thunder
ɸila,100_lightning
ᵐbiɣi,101_meatflesh
ɸʷaina,102_fruit
taβono,103_woodsforest
taβʷono,103_woodsforest
xoarina,104_root
raŋana,105_branch
rau,106_leaf
xaɪ,107_wood
ɸalisi,108_grass
ɸira,109_flower
ɸale_ⁿdolu,110_thatchroof
ɸale,111_house
xao,112_rope
sala,113_roadpath
maeto,114_black
maβuta,115_white
memea,116_red
malaɣesa,117_green
aŋoɣa,118_yellow
xaiβua,119_big
ᵐbiti,120_small
maᵑɡeᵑɡeni,121_sharp
ᵐbʷatola,122_bluntdull
ᵐbusiɣa,123_shyashamed
muniɣa,124_old
xaɣarati,125_painfulsick
xarea,126_good
satiɣi,127_bad
loɣarea,128_correcttrue
soŋora,129_dirty
ᵐboᵐboɣa,130_rotten
mamaβa,131_heavy
salaŋaβa,132_far
ᵑɡaᵑɡarani,133_near
xamʷaⁿdiⁿdi,134_cold
ŋalaŋala,135_dry
ⁿdoβu,136_wet
xaraᵐbʷa,137_new
ɸʷate,138_other
ɸanai,139_come
laxo,140_walk
laɣoʰ,140_walk
mʷatmeⁿdu,141_stand
noro,142_sit
soβi,143_fall
ɛno,144_liedown
ɸaⁿdori,145_turn
ᵑɡalo,146_climb
xaru,147_swim
olo,148_flyverb
tulia,149_throw
silβeɣi,150_hide
xaxani,151_eat
minu,152_drink
mʷamao,153_yawn
loⁿdo,154_spit
ᵐbʷoᵐbʷore,155_dream
maturu,156_sleep
mʷaso,157_live
mate,158_die
wesɸaɣa_mate,159_kill
leo,160_see
roŋo,161_hear
ᵐbʊnina,162_sniffsmell
ᵐbonina,162_sniffsmell
mana,163_laugh
ŋara,164_cry
sere,165_blow
mʷaβʷi,166_burn
liɣoa,167_sew
raᵐbatia,168_pound
wesia,169_hit
taia,170_cut
ᵐbʷoᵐbo,171_split
xeli,172_dig
ruɣu,173_hunt
saᵑɡo,174_hold
mataɣu,175_fear
ᵐbʷiri,176_count
maᵐbusa,177_breathe
lua,178_vomit
ɸawa,179_tieup
ɸaua,179_tieup
ɸʷoro,180_squeeze
ɸuɣe,181_swell
ɸeβe,182_say
taᵑɡariak̚,183_scratch
taᵑɡariax,183_scratch
susu,184_stab
ɸʷoli,185_buy
ᵐbalua,186_steal
riβua,187_plant
taᵐbʷarere,188_cook
ɸene,189_shoot
roᵐbana,190_work
talaɛ,191_open
