Nombotkotemelkin,English Translation
i-sua,1_one
ɛ-rua,2_two
i-tɬ,3_three
i-vas,4_four
i-ləmɛ,5_five
i-lavšua,6_six
i-laβrua,7_seven
i-lavutl,8_eight
i-laəvəs,9_nine
i-laŋavʊl,10_ten
i-laŋavʊl_i-rua,11_twenty
i-laŋavʊl_i-ləme,12_fifty
nɛ-ⁿdaˑm,15_year
boraŋənə,16_right
mʷoɛr,17_left
naŋənə,18_i
kəⁿdal_ⁿdoᵐbo,19_weallexcl
kəⁿdal,20_webothincl
kəⁿdal,22_weallincl
naŋu,23_thou
nəŋal,25_youall
ie,26_heshe
ⁿdl,27_theyall
ⁿdara_ruɔ,28_theyboth
i-skan,29_nonot
nɛspi,30_what
wani,31_who
i-osɛ,32_where
ŋaisɛt,33_when
iɛv-seᵐbʷaŋ,34_how
kunaŋa,35_this
etiwa,36_that
-lumʷari,37_above
vi,38_below
-laotli,39_ininside
nɛ-ᵐbʷatɪ-m,40_head
nɛ-fulɛ-m,41_hair
nɪ-mɪta-m,42_eye
nə-ᵑgarsɛ-m,43_nose
ɛⁿdɛliᵑga-m,44_ear
na-ᵐbʷoŋə-m,45_mouth
nɛ-mɛluə-m,46_tongue
nɛ-luvʷə-m,47_tooth
na-vɛra-m,48_hand
na-ᵐbʷotvorɛ_nɛ-vɛra-m,49_shoulder
nɛ-ⁿdɛlɛ-m,50_neck
nɛ-taxə-m,51_back
na-lɛ-m,52_leg
na-ⁿdʳai,53_blood
na-vʷigai,54_bone
a-wivɪnɪs,55_skin
avtə-m,56_belly
nɛ-snɛ-na-n,57_intestines
na-asɪs,58_breast
na-maːᵐbora,59_liver
pʊɾʊman,60_dog
nɪ-mæn,61_bird
na-ik,62_fish
na-mʷɔt,63_snake
nɛ-ⁿdəlas,64_worm
na-kət,65_louse
na-asua,66_rat
nɛ-ⁿdɛŋəl,67_spider
togas,68_mosquito
na-mʷop,69_egg
nɛ-ᵐpəsi,70_tail
nɛ-vari,71_wing
nɛ-pli,72_feather
a-mʊɣʊtʰ,73_man
ɛ-tuvʷɔt,74_woman
a-tɛɪᵐborai,75_child
na-ksɛ-m,76_name
kaⁿde,77_mother
kamɪva,78_father
na-mʷʊgʊt_tɪgənə,79_husband
nɛ-tuvʷɔte_tɪgənə,80_wife
a-raniɛl,81_day
luβukotɛ,82_night
nɛᵐbasi,83_moon
ɛ-vʊnvʊt,84_star
a-map,85_sky
ne-ɛmp,86_water
nɛ-tas,88_sea
na-ɣamp,89_fire
i-ⁿdɛl,90_smoke
mʷosuan,91_ash
nɛ-vat,92_stone
nɛ-tɛn,93_earthsoil
na-tɛnɛsɛlɛ,94_dust
nɪ-movsuan,95_sand
ausɛ,96_rain
namʷap,97_cloud
mɛlasɛ,98_wind
aᵐbɛlɛ,99_thunder
laŋa_ᵐbʷas,101_meatflesh
na-wani,102_fruit
a-ɪⁿdua,103_woodsforest
a-waːɾi,104_root
na-raŋi,105_branch
na-raui,106_leaf
na-i,107_wood
nə-mʷonai,108_grass
ivʷɛvʷɛn,109_flower
a-raoɛt,110_thatchroof
ne-mʷə,111_house
a-tal,112_rope
nɛsɛlɛ,113_roadpath
i-mɛt,114_black
i-fWovʷolaɸ,115_white
-miɛmiɛl,116_red
i-mɛrmɛr,117_green
i-wəswasi,118_yellow
i-lɪᵐbəⁿdʳao,119_big
i-rʊguᵐbʷai,120_small
maŋal,121_sharp
mʷolɛ,123_shyashamed
-mʷaˑtiɛnɛ,124_old
ᵑɡɛlɛtɛ,125_painfulsick
i-vʷaɪ,126_good
i-sɛt,127_bad
i-vɛlvɛlᵐbʷɔtɛ,128_correcttrue
au-mɛt,129_dirty
ŋataŋatɛ,130_rotten
i-nɛndʳ,131_heavy
-tiəwə,132_far
-saŋasaŋ,133_near
-mɛmɪlua,134_cold
i-mɪsɪmɪs,135_dry
i-ləmᵇ,136_wet
i-vovo,137_new
wɔ-ɸul,139_come
wə-ləŋ,140_walk
wɔ-tɪɾa,141_stand
wɔ-sam,142_sit
i-amor,143_fall
o-wunmun,144_liedown
wa-ⁿdʳi,145_turn
-folosaˑk,146_climb
wə-lɛlɛse,147_swim
ni-al,148_flyverb
wɔ-kuᵐbuk,149_throw
valɛs,150_hide
wo-taotao,151_eat
mɛn_aɛmp,152_drink
-momoial,153_yawn
wo-mɛmsir,154_spit
lɛsᵐbʷari,155_dream
wo-mʷonɛ,156_sleep
i-emaor,157_live
i-emas,158_die
wa-raβis-ie-mas,159_kill
wa-lɪs,160_see
wə-rəŋ,161_hear
wo-βɪsɛŋal,163_laugh
wo-uarɛtɛ,164_cry
i-rap,165_blow
i-nɛmᵇ,166_burn
tr,167_sew
wɔ-raβis,168_pound
wa-raβis,169_hit
wɔ-tək,170_cut
wɔ-təkᵐborai,171_split
kl,172_dig
wo-garə,173_hunt
-purundao,174_hold
wo-mɛtak,175_fear
o-ᵐbulunᵑk,176_count
nɛ-mɛlaːsɛ,177_breathe
wo-lualua,178_vomit
wo-tuwu_ⁿdaotao,179_tieup
ko-ᵐbus,180_squeeze
i-lɛᵐbɛ,181_swell
wɔ-sɛɾɛ,182_say
wɔ-kai,183_scratch
wa-sa,184_stab
wo-vul,185_buy
wa-mɛrak,186_steal
wɔ-kovak,187_plant
wo-tntn,188_cook
wo-vini,189_shoot
wa-rak,190_work
wo-sɛvan,191_open
