Naatiwindua,English Translation
-siʔ,1_one
i-ru,2_two
i-tʉl,3_three
i-vɛs,4_four
i-lim,5_five
-seosiʔ,6_six
-seoru,7_seven
-seotʉl,8_eight
-seove,9_nine
-laŋaβəl,10_ten
-morlala_i-se,11_twenty
-morlala_i-ru_noʔoron_i-laŋavəl,12_fifty
morlala_i-lim,13_onehundred
ni-teo,15_year
ᵐbaraŋin,16_right
del-mʷir,17_left
ᵑgaᵑk,18_i
ᵑgalul,19_weallexcl
ⁿdaro,20_webothincl
ᵑgaro,21_webothexcl
ⁿdolʉl,22_weallincl
nuᵑk,23_thou
amuru,24_youboth
xamulul,25_youall
ei,26_heshe
rolul,27_theyall
rolulte,28_theyboth
awaʔ,29_nonot
naːti,30_what
aʔin,31_who
nih,33_when
ɪ-ŋɪⁿdeen,34_how
iɛⁿdi,35_this
i-taⁿdʳa,36_that
i-toʔran,37_above
i-toʔovʉn,38_below
i-toʔlen,39_ininside
ᵐbʷatʰ-n,40_head
na-usul,41_hair
mata-n,42_eye
na-ᵑgunhu-n,43_nose
ⁿdeliŋa-n,44_ear
ᵐboŋo-n,45_mouth
nɛ-mɪlaᵐbo-n,46_tongue
ne-livʷu-n,47_tooth
vara-n,48_hand
ᵐbʷatawal,49_shoulder
ni-ⁿdolo-n,50_neck
taʔu-n,51_back
bulu-n,52_leg
nɛ-ⁿdʳi,53_blood
ᵐboloh,54_bone
ni-viɔʔ,55_skin
vɛti-n,56_belly
huβeʔ,57_intestines
sʉsʉ-n,58_breast
nu-mam,59_liver
lɪᵐbʷər,60_dog
nɪ-mɛn,61_bird
nɪ-mahal,62_fish
nɪ-mʷat,63_snake
nɪ-ⁿdulɛs,64_worm
no-ʔut,65_louse
ni-lɛᵐbut,66_rat
nɪ-ᵑgɪngapleo,67_spider
teoʔas,68_mosquito
mʷaⁿdɪlɪ-n,69_egg
ne-ᵐʙʉsʉ-n,70_tail
nɪ-sivʉlɪ-n,72_feather
nɛ-murut,73_man
nɛ-mumɔʔ,74_woman
nɛ-βutinbʷuno,75_child
nɛ-ʔia-n,76_name
hina-n,77_mother
tatai,78_father
noŋu_aiwut,79_husband
noŋu_momoʔ,80_wife
lerɛŋ,81_day
lɛvʷaat,82_night
nɛ-vʉl,83_moon
nu-mʷosi,84_star
nu-map,85_sky
nu-we,86_water
tisɛriʔ,87_lake
ni-tɛs,88_sea
ni-amp,89_fire
nɪ-ᵐbʷisnɛp,91_ash
ni-βɛt,92_stone
ni-tan,93_earthsoil
ᵐbʷisnɛp,94_dust
nɛ-ᵐbinwɛn,95_sand
no-wɔ,96_rain
nu-meliŋ,97_cloud
ⁿdleŋ,98_wind
neβʉl_varavar,99_thunder
i-mɛlᵑɡavut,100_lightning
neβʉl_varavar_i-mɛlᵑɡavut,100_lightning
ni-viɔʔ,101_meatflesh
nɪ-vʷan,102_fruit
nɛ-ᵐʙʉnai,103_woodsforest
na-ʔara-n,104_root
ni-ᵐbal,105_branch
ni-rɛʔe,106_leaf
na-ʔai,107_wood
nɪ-muni,108_grass
ne-tivʉn,109_flower
ne-tivʉn_nai,109_flower
nu-wuriɛt,110_thatchroof
ni-um,111_house
ni-tɛl,112_rope
na-hal,113_roadpath
-mitmɪt,114_black
-mɪβs,115_white
-mimal,116_red
-asan,117_green
-lʉtlʉt,118_yellow
i-ᵐbo,119_big
-waˑrɪ,120_small
-makan,121_sharp
-mʷa,122_bluntdull
-mʷal,123_shyashamed
marlam,124_old
-ma,125_painfulsick
i-lɛh,126_good
i-ᵐbil,127_bad
-mʷolol,129_dirty
i-ᵐbu,130_rotten
-ⁿdip,131_heavy
-sili,132_far
-masaŋsaŋ,133_near
-malah,134_cold
-mahama,135_dry
-mil,136_wet
-βeoβeo,137_new
amataŋ,138_other
-ᵐbʷiliŋ,139_come
-loŋ,140_walk
-tarɪs,141_stand
-sump,142_sit
-sep,143_fall
-liŋdeo,144_liedown
-viʔis,145_turn
-haʔ,146_climb
i-vɛmp,148_flyverb
-ᵑgoᵐb,149_throw
u-ⁿdeulalaʔ,150_hide
uⁿdetehuʔ,150_hide
-ᵑgaan,151_eat
-mɪn,152_drink
-mʷoli,153_yawn
-ᵐʙure,154_spit
-ᵐbʷeri,155_dream
-mɛtur,156_sleep
-meor,157_live
-mɛs,158_die
-ⁿdʳup-ᵐbun,159_kill
-lʉs,160_see
-roŋ,161_hear
-mas,163_laugh
-tɛŋ,164_cry
-huphup,165_blow
-huli,166_burn
-tur,167_sew
-ⁿduʔtuʔ,168_pound
-ᵐbʷil,169_hit
-ᵑgurus,170_cut
-por,171_split
-ᵑgil,172_dig
-ᵐburᵐbur,174_hold
-mataʔ,175_fear
u-ᵐbuluŋ,176_count
-ŋaraŋar,177_breathe
-lu,178_vomit
-ᵑɡos,179_tieup
-ᵑɡos_tutu,179_tieup
-ᵐbur,180_squeeze
-timp,181_swell
-nu,182_say
-ᵑgoi,183_scratch
-tur,184_stab
-ᵐbul,185_buy
-ᵐbanaʔ,186_steal
-ᵑgiᵐbʷiʔ,187_plant
-sum,188_cook
-ᵐbini,189_shoot
-sisivan,191_open
