Netimbbangir,English Translation
-ᵐboɣol,1_one
i-ⁿdʳua,2_two
i-ⁿdil,3_three
i-ᵐbes,4_four
i-lma,5_five
i-ⁿdʳo-voɣol,6_six
i-ⁿdʳo-rua,7_seven
i-ⁿdʳɔɣ-til,8_eight
i-ⁿdʳɔɣ-ves,9_nine
ŋaviŋβoɣol,10_ten
ŋavʊl_i-ⁿdʳua,11_twenty
ŋavʊl_i-lma,12_fifty
ŋot,13_onehundred
ŋotsar,14_onethousand
nɛ-ⁿdɪm,15_year
tuᵐbo,16_right
maɛɾ,17_left
ano,18_i
amiⁿdil,19_weallexcl
aⁿdara,20_webothincl
amara,21_webothexcl
aⁿdil,22_weallincl
aŋ,23_thou
amurua,24_youboth
amuⁿdul,25_youall
ɣɛn,26_heshe
xɛr,27_theyall
xaru,28_theyboth
nevax,30_what
hasi,31_who
ambe,32_where
ŋesa,33_when
ɬasᵐbi,34_how
naɣal,35_this
namɪŋ,36_that
-lɪmɛve,37_above
-fɪvaɣte,38_below
-lɛlɣema,39_ininside
ᵐbati-ŋ,40_head
nɛ-vul-on_ᵐbatɪ-n,41_hair
mɛtɛ-n,42_eye
ᵑguns-ⁿda,43_nose
xarsɪ-n,44_ear
ᵐboŋo-n,45_mouth
nɛ-lfa-n,47_tooth
fari-ŋ,48_hand
na-vsu-ŋ,49_shoulder
tavuŋa-n,50_neck
maⁿdi-ŋ,51_back
ne-lua-ŋ,52_leg
nɛ-ⁿdʳe,53_blood
ᵐboloŋo-n,54_bone
na-loɣte,55_skin
taᵐba-n,56_belly
martɛ-n,57_intestines
maᵐb-ⁿda,59_liver
na-kuli,60_dog
nɛ-mɛm,61_bird
nɛ-ɣa,62_fish
na-matʰ,63_snake
toŋules,64_worm
na-ɣʊt,65_louse
xova,66_rat
tɛᵐbluŋaŋo,67_spider
toɣas,68_mosquito
mɛⁿdul-na,69_egg
tɛ-na,70_tail
na-ɣavɪ-na,71_wing
nɛ-vul-na,72_feather
asnank,73_man
taᵐbalʊx,74_woman
hɛtɛrtamare,75_child
na-ɣsɛ-n,76_name
anana,77_mother
atata,78_father
asnank_taɣɪ-n,79_husband
taᵐbalɔɣ_tarɪ-,80_wife
tɪⁿdʳɛn,81_day
mɛlaŋɔ,82_night
xaᵐbesa,83_moon
mʷose,84_star
ne-mav,85_sky
na-ve,86_water
ᵐbulɛsⁿduŋ,87_lake
nɛ-tes,88_sea
na-ɣamb,89_fire
ᵐbasua,90_smoke
nɛ-vmɛs_ɣamp,91_ash
nɛ-vɛt,92_stone
nɛ-tɛn,93_earthsoil
tova,94_dust
taᵐbawan,95_sand
no-sa,96_rain
ᵐboroᵐbor,97_cloud
ne-laŋ,98_wind
no-rvar,99_thunder
nɛ-ᵐbəla,100_lightning
ᵐʙumis,101_meatflesh
fanare,102_fruit
taᵐʙe_taram,103_woodsforest
xoror-te,104_root
ᵐbasaɣ-te,105_branch
nɛ-rar-te,106_leaf
na-ɣe,107_wood
na-mɪne,108_grass
ne-pɪnaɣ-te,109_flower
ni-ɛt,110_thatchroof
ne-ma,111_house
no-ɣɔ,112_rope
havilan,113_roadpath
hɪ-miɛt,114_black
hɪ-ᵐbsa,115_white
hɪ-miɛl,116_red
-nineɣaᵐbun,117_green
hɪ-oŋo,118_yellow
-loᵐbon,119_big
-kakas,120_small
ᵑga-ɣan,121_sharp
-moɣmoɣon,123_shyashamed
-marsaram,124_old
-maɣta,125_painfulsick
i-ᵐbu,126_good
hi-samp,127_bad
-paŋasa,128_correcttrue
-miɛt,129_dirty
ɣə-ŋond,130_rotten
-maranz,131_heavy
-tɛmnis,132_far
-morokon,133_near
-mɛloɣo,134_cold
-mɛmɛs,135_dry
-ⁿdiᵐbətimp,136_wet
-ᵐbovo,137_new
-fʷɛne,139_come
-tu,141_stand
-xaⁿdoluh,142_sit
hi-lit_ʧarɪx,143_fall
hɪ-ⁿdidlaman,144_liedown
hu-vtɛna,145_turn
-saxana,146_climb
-lolo,147_swim
-xuᵐbarna,149_throw
-lɪŋsisuana,150_hide
-ɣan,151_eat
ho-min,152_drink
-ᵑganmoŋ,153_yawn
-ᵐbuvare,154_spit
-ᵐbore,155_dream
-iɛn,156_sleep
-mɛor,157_live
-mes,158_die
-ᵐbules-atimis,159_kill
ho-lisa,160_see
ho-ⁿdʳoŋe,161_hear
-muⁿt͡sa,162_sniffsmell
hi-mɛn,163_laugh
hɪ-ⁿdaŋ,164_cry
-ᵐbᵐbʷil,165_blow
i-or,166_burn
-sɛⁿde,167_sew
-ᵐbəlɛᵐbəlesa,168_pound
-ᵐbulesa,169_hit
-tea,170_cut
-teɪᵐborea,171_split
-ɣila,172_dig
-ᵑgoɣo,173_hunt
hosugove,174_hold
-mʷɛtax,175_fear
-fuloŋa,176_count
ho-ŋavaŋaɸ,177_breathe
hu-loa,178_vomit
-ᵐbaŋsa,179_tieup
hu-ᵐʙuvsa,180_squeeze
hɪ-ⁿdiatimb,181_swell
-tɛna,182_say
-xorxore,183_scratch
-sara,184_stab
-ᵑgole,185_buy
-ᵐbenoɣe,186_steal
-furona,187_plant
ho-tamaɸ,188_cook
-finia,189_shoot
hu-ma,190_work
-paŋasa,191_open
