Sakao,English Translation
œmøn ti,14_onethousand
oɣoløneɾeɾu,424_seventy
oxolðøl,460_thirty
eter ða ti,13_onehundred
te,1_one
saɣyl,10_ten
repeð,9_nine
oɣolːøn,12_fifty
tu,2_two
køløn,5_five
saɣyl te,257_eleven
oɣoløneɾetøl,256_eighty
oɣolønara,431_sixty
jet,4_four
tøl,3_three
oɣolieð,289_forty
retøl,8_eight
oɣoluɾu,11_twenty
kɒɾu,7_seven
oɣoløneɾepeð,368_ninety
kora,6_six
swaðaðːi,478_umbilical_cord
aðijøβ,290_full_moon
otoh,446_storm
œnøð,229_coconut
manːørkar,325_sun_shower
ɛrɛβyl,492_taro_wild
aðiβ menesar βieð,303_half_moon
øryra,402_pig_tusk
ralu,411_rainy_season
arawaɾi,401_pig_male
nukar,410_rainbow
emðe,413_restricted_place
aðah,208_banyan_tree
rørkar,248_dry_season
aroaðːi,364_new_moon
jahu,253_east
iðja,216_breadfruit
aːx,417_sail
jar,291_garden
ɒhɒr,232_cyclone
enes βeli,246_dolphin
mesere,408_pregnant
jel,370_north
aːx aðen,314_kava
aðax,483_hot
eme,450_sun
naβ,223_canoe
merian,338_menstruation
ora,398_pig_female
ys,438_south
amal,412_reef
ina,496_yam
ynyn,252_earthquake
œβiðːeli,494_womb
aða,425_shark
ɒðɒŋðːa,227_chief
myryp,230_coconut_sprout
ɒβɒð ɒru,485_taro_wet
watyɾ,227_chief
ara,396_pig
ere,399_pig_hermaphrodite
tsunami,461_tsunami
ɒβɒð,249_taro_dry
uβujeð,225_cave
ðeβyɾ,243_deep_ocean
sytːeamœr,474_wood_for_moving_stones
iðel,207_banana
maniok,333_manioc
nal,493_yam_wild
jaha,488_west
nið,84_star
xyp,189_shoot
ŋor,164_cry
kœ,188_cook
repeθ,9_nine
aklyx,54_bone
oxaraβ,137_new
jørerip,195_all
yryx,47_tooth
sŋɡøx,45_mouth
epekar,59_liver
eðe,88_sea
ɛvŋan,105_branch
mðɛx,42_eye
ɣɛ,199_and
ilp,169_hit
βliβ,489_wide
aviljan,71_wing
bɾif,119_big
ɒlœð,93_earthsoil
aklex,48_hand
jøn,18_i
aðːi,83_moon
atøl,69_egg
kɑru,7_seven
poro,82_night
jetːør,132_far
moxol,148_flyverb
meŋɡøn,129_dirty
βlaɣøð,85_sky
ɛnɛs wyð,61_bird
opel,138_other
kort,212_to_bite
myŋys,123_shyashamed
lːep,147_swim
βøn,162_sniffsmell
βŋøn,131_heavy
lulœm,39_ininside
βosβos,155_dream
niep,465_to_choose
merere,143_fall
jaru,28_theyboth
laŋ,33_when
kɑrkɑrp,168_pound
ɣie,15_year
kala,136_wet
ojo,63_snake
waxari,179_tieup
nil atːyr,362_needle
tøl,3_three
nao,66_rat
noðoð,36_that
poxpox,258_fat
non,35_this
jenara,17_left
ɑmønti,14_onethousand
jeljal,140_walk
ɣɑlry,11_twenty
ataŋtaŋ,94_dust
okuðnøx,57_intestines
aðalβarce,49_shoulder
olom,111_house
uru,86_water
