Saa_Pointcross,English Translation
wa:to,268_grandfather_paternal
temæselax ætlap,262_uncle_paternal_older
selætemaxantekæn,280_uncle_paternal_younger
nak piɸi,269_grandmother_paternal
itnik ætlap,273_aunt_paternal_older
nak tadat,78_father
itnik æntekan,281_aunt_paternal_younger
nak ɸiɸi,298_grandfather_maternal
mɪtɪx ætlap,346_uncle_maternal_older
naxase,77_mother
mɪtɪx æntekan,354_uncle_maternal_younger
nak wa:to ciɸwit,299_grandmother_maternal
naxase ætlap,347_aunt_maternal_older
naxase æntekan,355_aunt_maternal_younger
wəmwinik ætlap,374_brother
selax ætlap,381_sister_older
selax æntekan,498_younger_sister
wancu nak tadat ætlap,264_first_cousin_male_paternal_uncle
səlaxaɾina tadat cin bæsi,264_first_cousin_male_paternal_uncle
ʊtnak,277_first_cousin_male_paternal_aunt
ʊtnak ɪsin,275_first_cousin_female_paternal_aunt
ʊtnak arman,277_first_cousin_male_paternal_aunt
wancu mitik,343_first_cousin_male_maternal_uncle
wancu mete ɪsin,344_first_cousin_female_maternal_uncle
wəmwinik,351_first_cousin_male_maternal_aunt
wancuk tawas,261_father_in_law_of_woman
waiŋok,310_mother_in_law_of_woman
nan taɾɪt,260_father_in_law
iŋon,341_mother_in_law
nax arman,79_husband
nan isɪn,80_wife
waiŋok,235_daughter_in_law
mæbik arman,300_grandson_son
mæbik ɪsɪn,296_granddaughter_son
wancuk arman,435_son
wancuk ɪsɪn,234_daughter
wəmwinik,238_grandson_daughter
wasisik,236_granddaughter_daughter
nak taɾɪt,237_son_in_law
nak tadat,376_nephew_fraternal_older
ɪtnɪk,375_niece_fraternal_older
nak tadat,501_nephew_fraternal_younger
ɪtnɪk,500_niece_fraternal_younger
wancuselak,385_nephew_sororal_older
wancuselak ætlap,384_niece_sororal_older
wancuselax æntekan,506_nephew_sororal_younger
wancuselax æntekanənbe:ɪsɪn,505_niece_sororal_younger
nak tadat,259_uncle_paternal
ɪtnɪk,274_aunt_paternal
mitɪk,342_uncle_maternal
naxase,348_aunt_maternal
su,1_one
ɾu,2_two
tɪl,3_three
e:ɪt,4_four
lim,5_five
licja,6_six
leuɾu,7_seven
le:tɪl,8_eight
lɪjapat,9_nine
suŋul,10_ten
nulsuæsu,257_eleven
nulsuæmbeɾu,477_twelve
nulsuæmbetɪl,459_thirteen
nulsuæmbe:ɪt,288_fourteen
nulsu æmbelim,284_fifteen
nulsu æmbelicja,430_sixteen
nulsu æmbeleuɾu,423_seventeen
nulsu æmbele:tɪl,255_eighteen
nulsu æmbelijapat,367_nineteen
nul ɸeɾu,11_twenty
nul ɸetɪl,460_thirty
nul ɸe:ɪt,289_forty
nul ɸelim,12_fifty
nul ɸelicja,431_sixty
nɨl ɸeleuɾu,424_seventy
nɨl ɸele:tɪl,256_eighty
nɨl ɸelijapat,368_ninety
nɨl saŋul,13_onehundred
