Letemboinevatanyene,English Translation
i-sua,1_one
i-rua,2_two
-tl,3_three
i-vas,4_four
i-ləmɛ,5_five
i-lausua,6_six
ilau-rua,7_seven
au-tl,8_eight
naha-vas,9_nine
la:βɪn,10_ten
i-laŋavəl_i-lme,12_fifty
i-lɛŋavəl_i-lɛŋavəl,13_onehundred
boraŋənə,16_right
mʷoir,17_left
aŋɛnɛ,18_i
i-sɪgai_i-sɪgan,29_nonot
nɛva_tigɛ,30_what
aimat_tɪtiŋe,31_who
iosɛ_tigɛ,32_where
itɛmʷok,34_how
-lɛmɛsao,37_above
ᵑgas-vɪvɛne,38_below
-vanua,39_ininside
ɛ-ᵐbʷaːt-m,40_head
ɛ-vɛlɛ-m,41_hair
ɛ-mɛta-ŋk,42_eye
ᵑgarsɛ-m,43_nose
ɛ-ⁿdɛlɛg-ɛŋk,44_ear
a-ᵐʙuraᵑga-m,45_mouth
ɛ-mɛlua-ŋk,46_tongue
ɛ-luvu-m,47_tooth
nɛ-vɛra-ŋk,48_hand
a-ᵐbʷosvɛre_nɛ-vɛra-ŋk,49_shoulder
ɛ-ⁿdɛlɛ-m,50_neck
a-tægə-m,51_back
na-ᵐbulɛ-ŋə,52_leg
ɛⁿdre,53_blood
nɛ-bʷigai,54_bone
na-wivɪnɪs,55_skin
na-ᵐbʷaːbu-ŋ,56_belly
ɛsɪne,57_intestines
a-asis,58_breast
maːmʙura,59_liver
na-kelu,60_dog
naman,61_bird
na-ixə,62_fish
na-mʷote,63_snake
ɛ-ⁿtɛlas,64_worm
agʊt,65_louse
asua,66_rat
a-taogas,68_mosquito
namʷɔvi,69_egg
ɛ-ᵐbɛlɛᵐbusne,70_tail
ɛ-vɛlɛᵑgaunɛ,71_wing
nɛ-vəlɛ-m,72_feather
ɛ-mægʊt,73_man
ɛ-tuvʷɔteˑ,74_woman
a-teɪᵐboɾai,75_child
aⁿdai,77_mother
tata,78_father
lɛran,81_day
lɪvuɛdi,82_night
ə-ᵐbasi,83_moon
ɛ-vʊnəvʊt,84_star
nɛ-mɛsao,85_sky
e-jɛmbə,86_water
ne-ɛᵐʙ,86_water
na-ɣam,89_fire
ɛ-ⁿdɪŋə_na-amb,90_smoke
mosuan,91_ash
nɛ-vat,92_stone
nɛ-tɛne,93_earthsoil
nɛ-tɛnɛsɛlɛ_na-ᵐboniapsɛle,94_dust
a-movsuan,95_sand
na-use,96_rain
na-map,97_cloud
nɛ-mɛlæsɛ,98_wind
aᵐbɛlɛ,99_thunder
na-ɪⁿduɔ,103_woodsforest
a-waːrnɛ,104_root
ɛ-saŋə-nɛ,105_branch
na-avus,106_leaf
na-i,107_wood
ɛ-valawa,109_flower
a-raojɛte,110_thatchroof
ne-imʷɔ,111_house
nɛ-tal,112_rope
i-mɛte,114_black
i-βoβolao,115_white
-miɛle,116_red
eti-mɛrmɛr,117_green
i-lʉtlʉt,118_yellow
i-lɛᵐbɛⁿdʳao,119_big
i-rukumæ,120_small
i-maŋan,121_sharp
ᵐbul,122_bluntdull
-gaiwutiɛne,124_old
ɪ-ᵑgəlɛte,125_painfulsick
ɪ-ⁿdɛŋəme,126_good
i-sɛde,127_bad
nɛ-lɛliŋə,129_dirty
i-ᵑgɛte,130_rotten
i-laᵐb,131_heavy
lɛk,132_far
saŋasaŋa,133_near
i-melase,134_cold
te-tɛrɛmɛsɛ,135_dry
i-vovou,137_new
-tuare,141_stand
ⁿdɛle-samp,142_sit
u-rage,143_fall
-pusaxiɛv,146_climb
dɛrɛ-lɛlɪt͡s,147_swim
al-ial,148_flyverb
ⁿdele-guᵐʙuk,149_throw
-lumʷɔlumʷok,150_hide
tɪle-taotao,151_eat
ᵑgəna-mun_a-jɛmbə,152_drink
mɛməsɪr,154_spit
ᵑgas_li_ᵐboriɛŋajɛne,155_dream
ⁿdɛlɛ-ᵑgas,156_sleep
-maursaⁿdʳɪk,157_live
ɛ-mas,158_die
ⁿdɛlə-ravɪs_ᵐbʊn,159_kill
ᵑgɛnɛ-li,160_see
ᵑgɛnɛ-rɛŋə,161_hear
a-musnɛne,162_sniffsmell
mɛ-ᵐbɪsɛᵑgal,163_laugh
-uarɛtɛjɛne,164_cry
me-iuviuv,165_blow
i-nɛne,166_burn
tr,167_sew
ɛltɛ-ⁿdʳavɪs,169_hit
ⁿdɛle-ᵑgaras,170_cut
al-takɛᵐbarəvar,171_split
æle-gl,172_dig
ɛle-ᵐburɛndao,174_hold
ɛ-mɛtakme,175_fear
æl-ᵐbuluᵑk,176_count
i-lɛŋe-ᵑgɛrɛ,177_breathe
ɛ-lualua,178_vomit
ⁿdɛle-tur,179_tieup
rao-ᵐbus,180_squeeze
lɛᵐbe,181_swell
kəne-vetaŋ,182_say
ⁿdɛle-ᵑgaiᵑgai,183_scratch
ⁿdelɛ-tr,184_stab
ⁿdɛle-vul,185_buy
-mæragutanijatajɛne,186_steal
-ᵑgawakʰ,187_plant
ⁿdele-vini,189_shoot
ⁿdɛleɡʊⁿdʳak,190_work
ɛl-sɛvan,191_open
