Nmwerlap,English Translation
tʊwɛl,1_one
irɔ,2_two
tʊɵ͡l,3_three
ɸɛa͡t,4_four
taβalɛam,5_five
liβitɛa,6_six
lɛβiarɔ,7_seven
liβiatɛl,8_eight
leβɛt,9_nine
saŋoβul,10_ten
saŋoβul_rɔ,11_twenty
saŋoβalɛam,12_fifty
saŋoβul_tʊwalɛam,12_fifty
ŋʷɛldʊɛl,13_onehundred
tɛrβɛ_tʊwɛl,14_onethousand
tœ,15_year
mato,16_right
ɣala,17_left
inɔ,18_i
nɔ,18_i
kɛmɛm,19_weallexcl
ⁿdɔrɔ,20_webothincl
iⁿdɔrɔ,20_webothincl
kamrɔ,21_webothexcl
iɣi_ɣɛan,22_weallincl
nɛak,23_thou
kɛmi,25_youall
kisɛan,26_heshe
ikɛar,27_theyall
kɛar,27_theyall
kararʊ,28_theyboth
ⁿdɛɣiɛ,29_nonot
nasãŋ,30_what
isikan,31_who
aβɛa,32_where
sa,33_when
ⁿdaɣɛsʊwa,34_how
kɛkɛ,35_this
ɡaβaliŋɛ,36_that
kɛtkɛt,37_above
lalaŋan,38_below
lɛlon,39_ininside
ᵑɡʷato-ŋ,40_head
ɸʷʊlo-ŋ,41_hair
mata-ŋ,42_eye
maⁿdo-ŋ,43_nose
ɡʷoro-ŋ,44_ear
ɸala-ŋ,45_mouth
βala-ŋ,45_mouth
lʊemea-ŋ,46_tongue
liwo-ŋ,47_tooth
lima-ŋ,48_hand
ᵐbania-ŋ,49_shoulder
ⁿdalo-ŋ,50_neck
ɣatʊwɔŋ,51_back
raŋo-ŋ,52_leg
ⁿdar,53_blood
sʊri,54_bone
βʷʊni,55_skin
takʷa-ŋ,56_belly
tɪnɛ,57_intestines
sus,58_breast
βere,59_liver
ɡʊrʊt,60_dog
mʷan,61_bird
nɪaʊ,62_fish
ŋʷat,63_snake
tɛrmelis,64_worm
nu_wʊt,65_louse
ɣai_seo,66_rat
taɣaɣ,67_spider
nam,68_mosquito
ɣʊtoli,69_egg
ɡʷolon,70_tail
ᵐbaneaŋ,71_wing
ᵐbanẽn,71_wing
ɸʊtien,72_feather
ŋʷarat,73_man
βaβian,74_woman
lʊŋlʊŋʷer,75_child
na_sãŋ,76_name
iβieβ,77_mother
mam,78_father
tomiɔ,79_husband
rɛnatu-k,80_wife
mɛrɛn,81_day
kʷoŋ,82_night
βʷol,83_moon
βiti,84_star
malɛɵ,85_sky
ni_ᵐbɛ,86_water
na_naʊ,88_sea
niɛɸ,89_fire
os,90_smoke
ɸɞ,91_ash
ɸʷɵt,92_stone
tan,93_earthsoil
nɔβɔ,94_dust
na_ɞn,95_sand
nɛ_rɪɛ,96_rain
tɔk,97_cloud
lɛaŋ,98_wind
ɸial,99_thunder
waŋ,100_lightning
ᵐbʉɣᵐbʉɣ,101_meatflesh
wie,102_fruit
nʊ_won,103_woodsforest
wɛri,104_root
ɛri,105_branch
ⁿdui,106_leaf
ⁿdɪɛnkɛ,107_wood
ɸɛlis,108_grass
mɪti,109_flower
waras,110_thatchroof
niaŋ,111_house
ɣiæ,112_rope
metsal,113_roadpath
ᵐbʊlʊ,114_black
wɛnwɛn,115_white
mːɛ,116_red
mɛlaɣɛs,117_green
ŋaŋaŋ,118_yellow
laɸ,119_big
wɪrɪʊ,120_small
ɣien,121_sharp
tɛa͡mel,122_bluntdull
ᵐbɛm_mɛriɣɛ,123_shyashamed
mʊsi,124_old
manoʊ,125_painfulsick
wɛa,126_good
siɛt,127_bad
sʊrʊwɛa,128_correcttrue
nor,129_dirty
ⁿdar,130_rotten
wen,131_heavy
kavan,132_far
xomtʊ,133_near
mɛrir,134_cold
masmas,135_dry
ᵐbʷom,136_wet
ɣarak,137_new
tuwar,138_other
ɸɛa͡ŋme,139_come
wʊlʊ,140_walk
tʊr,141_stand
salsoʊ,142_sit
so,143_fall
ɦan,144_liedown
tʊris,145_turn
kal,146_climb
sʊsʊ,147_swim
xaɸ,148_flyverb
barta,149_throw
liŋra,150_hide
ɣiɛ̃n,151_eat
sim,152_drink
ŋʷæv,153_yawn
kʷɛrkʷɛr,155_dream
mʷatʊr,156_sleep
es,157_live
mɛa͡t,158_die
ⁿdomɛa͡t,159_kill
mata-ŋ,160_see
rːoŋ,161_hear
nʊ_sʊŋ,162_sniffsmell
man,163_laugh
ŋar,164_cry
nʊ_ʊɸ,165_blow
xanɵ,166_burn
sʊr,167_sew
ɸʷʊs,168_pound
βʊs,169_hit
tar,170_cut
sak,171_split
ɣiel,172_dig
ɣetiɣet,173_hunt
tɵr,174_hold
mʷɛtawʊt,175_fear
ɸiɛɸ,176_count
mʷomsa,177_breathe
lːo,178_vomit
ʊwet,179_tieup
war,180_squeeze
ɸʷtɞr,181_swell
sʊr,182_say
teker,183_scratch
sor,184_stab
wɞl,185_buy
ᵐbʷal,186_steal
ɸʷaso,187_plant
tuntun,188_cook
ɸiẽn,189_shoot
laᵐbas,190_work
woʊ,191_open
oʊ,191_open
