Vilakara,English Translation
limana,48_hand
mʷɛli,17_left
marua,16_right
la:na,52_leg
mija:li,140_walk
de:pa,416_road
wɛjmi,139_come
lomɔ:j,145_turn
ku:lu,147_swim
taŋgaraj,129_dirty
supuluja:j,94_dust
kulu:sĭja,55_skin
kasmʷɛne:na,51_back
mopʷɛna,444_stomach
purijuna,54_bone
sne:na,57_intestines
puriere,59_liver
daju:na,58_breast
sivi,49_shoulder
lɛŋgilia,315_know_understand
stome:na,458_to_think
marau,175_fear
ta:,53_blood
kʷa:na,40_head
kɔmɛlki:na,50_neck
ilupa:na,41_hair
kunu:na,43_nose
mije:ʋe,177_breathe
lopon᷈a,434_sniff
kuluŋgona,45_mouth
daluwena,47_tooth
kumenena,46_tongue
pitaːle,163_laugh
taŋi,164_cry
lulua,178_vomit
pla:siri,154_spit
kina:na,151_eat
karia,464_to_chew
mɛⁿginane:na,188_cook
omun᷈a,152_drink
kara:ria,212_to_bite
munmun᷈a,448_suck
kiliŋgana,44_ear
loŋgea,161_hear
komarana,42_eye
ma:lĭa,160_see
me:li,153_yawn
momalijo,156_sleep
kaperemono,144_liedown
mʷaninija,155_dream
totono,142_sit
su:malu,141_stand
jarlala,306_person
erumene,73_man
sira,74_woman
nuⁿkariki,75_child
saɛr marua,79_husband
sasa marua,80_wife
te:te,77_mother
ta:ta,78_father
juma,111_house
rakinita,455_thatch
ki:,76_name
ojĭsa,182_say
kilika,112_rope
ojiʰaria,179_tieup
sulu:ja,167_sew
kuru:sja,362_needle
tɛjkɔri,173_hunt
pini:ja,189_shoot
miju:ria,184_stab
mʷeʰa,169_hit
pinao,186_steal
wemorarja,159_kill
mare,158_die
ma:li,157_live
kuparĭja,183_scratch
tea,170_cut
laki,107_wood
tepa:ja,171_split
meto:to,121_sharp
maʰo,122_bluntdull
mĭumʷe,190_work
mapila,187_plant
sĭnun᷈a,465_to_choose
su:sija,302_to_grow
siropⁱ,181_swell
po:n᷈a,180_squeeze
pura:rja,174_hold
kilija,172_dig
pulija,185_buy
pikea,191_open
amʷemʷe:ʰa,168_pound
kʷa:n᷈a,149_throw
loru,143_fall
lɔkuli,60_dog
manu,61_bird
kɔlusja,69_egg
ilu:sĭja,72_feather
kupe:na,71_wing
ka,148_flyverb
ka:we,66_rat
kuᵐbui,336_meat
sna:jita,258_fat
ki:na,70_tail
lomara,63_snake
kula:ri,64_worm
kuru,65_louse
namu,68_mosquito
kĭrumalulu,67_spider
ɛjka,62_fish
menu:ni,130_rotten
korowa:sja,105_branch
mʷaki,106_leaf
kuliŋga:sia,104_root
inaki,109_flower
daki,102_fruit
mʷamuni,108_grass
sna:tono,93_earthsoil
kila:ru,92_stone
no:ne,95_sand
wi,86_water
wikiriri,286_flow
loʰosi,88_sea
si:,419_salt
lapa,87_lake
lokonmarua,103_woodsforest
japɛnka:wa,85_sky
kupario,83_moon
eruʷe,84_star
sikɔriko,97_cloud
polulu,340_fog
juwa,96_rain
polu:lu,99_thunder
jokarpila,100_lightning
laŋi,98_wind
mĭjuwi,165_blow
pisusu:nu,483_hot
mija:ʋa,134_cold
meme,135_dry
ma,136_wet
urumi,131_heavy
kapi,89_fire
ʋaŋga,166_burn
jopuwa,90_smoke
kulame:me,91_ash
mokɔliko,114_black
mʷjuwowo,115_white
pili:li:,116_red
lele:ru:,118_yellow
meme:e,117_green
taki:to,120_small
tahura,119_big
pŭlasia,426_short
piaj,328_long
menini:vi,457_thin
merorɔlu,456_thick
pulujo taki:to,359_narrow
lolopana,489_wide
mila:,125_painfulsick
mʷawa,123_shyashamed
namarua,124_old
na:ʰu,137_new
po,126_good
polupuli,127_bad
mɛsmɛs,128_correcttrue
poŋgena,82_night
lipa:j,81_day
ka:sia,15_year
poŋgiaj,33_when
kʷanlo:n᷈a,150_hide
umaʋa,146_climb
loʰosia,39_ininside
ma:ʋa,37_above
loporɛna,38_below
naŋgani,35_this
naŋgar:aru,36_that
laisĭ,133_near
a:rtena,132_far
pe,32_where
nu,18_i
ko,23_thou
naŋga,26_heshe
ita,22_weallincl
memi,19_weallexcl
italua,20_webothincl
italua,21_webothexcl
amju,23_thou
amjulua,24_youboth
naŋgala,27_theyall
naŋgalalua,28_theyboth
ja,30_what
ja:j,31_who
kʷa:sĭja,138_other
nala:lani,195_all
alĭjo,199_and
isaʰe,311_if
se:pe,34_how
po:li,29_nonot
pulu:ja,176_count
taŋga,1_one
lua,2_two
tolu,3_three
ʋari,4_four
lima,5_five
orɑ:j,6_six
olu:a,7_seven
orɔlu,8_eight
ova:ri,9_nine
lualima,10_ten
lualima lua,11_twenty
lualima lima,12_fifty
lualima taŋga pɛn taŋga,13_onehundred
limanu ta:ŋga,14_onethousand
